,0,1,2,3
0,H0,HEAD,"(0,)",
1,Q00,maw,"(0,)","(0,)"
2,Q01,maw,"(0,)","(1,)"
3,Q02,maw,"(0,)","(2,)"
4,Q03,maw,"(0,)","(3,)"
5,Q04,maw,"(0,)","(4,)"
6,Q05,maw,"(0,)","(5,)"
7,Q06,maw,"(0,)","(6,)"
8,Q07,maw,"(0,)","(7,)"
9,Q08,maw,"(0,)","(8,)"
10,Q09,maw,"(0,)","(9,)"
11,Q10,maw,"(0,)","(10,)"
12,Q11,maw,"(0,)","(11,)"
13,Q12,maw,"(0,)","(12,)"
14,Q13,maw,"(0,)","(13,)"
15,Q14,maw,"(0,)","(14,)"
16,Q15,maw,"(0,)","(15,)"
17,Q16,maw,"(0,)","(16,)"
18,Q17,maw,"(0,)","(17,)"
19,Q18,maw,"(0,)","(18,)"
20,Q19,maw,"(0,)","(19,)"
21,Q20,maw,"(0,)","(20,)"
22,Q21,maw,"(0,)","(21,)"
23,Q22,maw,"(0,)","(22,)"
24,Q23,maw,"(0,)","(23,)"
25,Q24,maw,"(0,)","(24,)"
26,Q25,maw,"(0,)","(25,)"
27,Q26,maw,"(0,)","(26,)"
28,Q27,maw,"(0,)","(27,)"
29,Q28,maw,"(0,)","(28,)"
30,Q29,maw,"(0,)","(29,)"
31,Q30,maw,"(0,)","(30,)"
32,Q31,maw,"(0,)","(31,)"
33,Q32,maw,"(0,)","(32,)"
34,Q33,maw,"(0,)","(33,)"
35,Q34,maw,"(0,)","(34,)"
36,Q35,maw,"(0,)","(35,)"
37,Q36,maw,"(0,)","(36,)"
38,Q37,maw,"(0,)","(37,)"
