,0,1,2
0,0,-1,
1,1,0,-2.0
2,2,1,-3.0
3,3,2,-4.0
4,4,3,-5.0
5,5,4,-6.0
6,6,5,-7.0
7,7,6,-8.0
8,8,7,-9.0
9,9,8,-10.0
10,10,9,-11.0
11,11,10,-12.0
12,12,11,-13.0
13,13,12,-14.0
14,14,13,-15.0
15,15,14,-16.0
16,16,15,-17.0
17,17,16,-18.0
18,18,17,-19.0
19,19,18,-20.0
20,20,19,-21.0
21,21,20,-22.0
22,22,21,-23.0
23,23,22,-24.0
24,24,23,-25.0
25,25,24,-26.0
26,26,25,-27.0
27,27,26,-28.0
28,28,27,-29.0
29,29,28,-30.0
30,30,29,-31.0
31,31,30,-32.0
32,32,31,-33.0
33,33,32,-34.0
34,34,33,-35.0
35,35,34,-36.0
36,36,35,-37.0
37,37,36,-38.0
38,38,37,-39.0
39,39,38,-40.0
40,40,39,-41.0
41,41,40,-42.0
42,42,41,-43.0
43,43,42,-44.0
44,44,43,-45.0
45,45,44,-46.0
46,46,45,-47.0
47,47,46,-48.0
48,48,47,-49.0
49,49,48,-50.0
50,50,49,-51.0
51,51,50,-52.0
52,52,51,-53.0
53,53,52,-54.0
54,54,53,-55.0
55,55,54,-56.0
56,56,55,-57.0
57,57,56,-58.0
58,58,57,-59.0
59,59,58,-60.0
60,60,59,-61.0
61,61,60,-62.0
62,62,61,-63.0
63,63,62,-64.0
64,64,63,-65.0
65,65,64,-66.0
66,66,65,-67.0
67,67,66,-68.0
68,68,67,-69.0
69,69,68,-70.0
70,70,69,-71.0
71,71,70,-72.0
72,72,71,-73.0
73,73,72,-74.0
74,74,73,-75.0
75,75,74,-76.0
76,76,75,-77.0
77,77,76,-78.0
78,78,77,-79.0
79,79,78,-80.0
80,80,79,-81.0
81,81,80,-82.0
82,82,81,-83.0
83,83,82,-84.0
84,84,83,-85.0
85,85,84,-86.0
86,86,85,-87.0
87,87,86,-88.0
88,88,87,
