,parent,child,top_bot,idomainp,ncpp,ncppl,p0,p1,p2,c0,c1,c2
0,"(0, 6, 1)","(0, 0, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,6,1,0,0,0
1,"(0, 5, 2)","(0, 0, 0)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,5,2,0,0,0
2,"(0, 5, 2)","(0, 0, 1)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,5,2,0,0,1
3,"(0, 5, 2)","(0, 0, 2)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,5,2,0,0,2
4,"(0, 5, 3)","(0, 0, 3)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,5,3,0,0,3
5,"(0, 5, 3)","(0, 0, 4)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,5,3,0,0,4
6,"(0, 5, 3)","(0, 0, 5)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,5,3,0,0,5
7,"(0, 5, 4)","(0, 0, 6)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,5,4,0,0,6
8,"(0, 5, 4)","(0, 0, 7)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,5,4,0,0,7
9,"(0, 5, 4)","(0, 0, 8)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,5,4,0,0,8
10,"(0, 5, 5)","(0, 0, 9)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,5,5,0,0,9
11,"(0, 5, 5)","(0, 0, 10)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,5,5,0,0,10
12,"(0, 5, 5)","(0, 0, 11)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,5,5,0,0,11
13,"(0, 5, 6)","(0, 0, 12)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,5,6,0,0,12
14,"(0, 5, 6)","(0, 0, 13)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,5,6,0,0,13
15,"(0, 5, 6)","(0, 0, 14)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,5,6,0,0,14
16,"(0, 5, 7)","(0, 0, 15)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,5,7,0,0,15
17,"(0, 5, 7)","(0, 0, 16)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,5,7,0,0,16
18,"(0, 6, 8)","(0, 0, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,6,8,0,0,17
19,"(0, 5, 7)","(0, 0, 17)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,5,7,0,0,17
20,"(0, 6, 1)","(0, 1, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,6,1,0,1,0
21,"(0, 6, 8)","(0, 1, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,6,8,0,1,17
22,"(0, 6, 1)","(0, 2, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,6,1,0,2,0
23,"(0, 6, 8)","(0, 2, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,6,8,0,2,17
24,"(0, 7, 1)","(0, 3, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,7,1,0,3,0
25,"(0, 7, 8)","(0, 3, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,7,8,0,3,17
26,"(0, 7, 1)","(0, 4, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,7,1,0,4,0
27,"(0, 7, 8)","(0, 4, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,7,8,0,4,17
28,"(0, 7, 1)","(0, 5, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,7,1,0,5,0
29,"(0, 7, 8)","(0, 5, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,7,8,0,5,17
30,"(0, 8, 1)","(0, 6, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,8,1,0,6,0
31,"(0, 8, 8)","(0, 6, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,8,8,0,6,17
32,"(0, 8, 1)","(0, 7, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,8,1,0,7,0
33,"(0, 8, 8)","(0, 7, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,8,8,0,7,17
34,"(0, 8, 1)","(0, 8, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,8,1,0,8,0
35,"(0, 8, 8)","(0, 8, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,8,8,0,8,17
36,"(0, 9, 1)","(0, 9, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,9,1,0,9,0
37,"(0, 9, 8)","(0, 9, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,9,8,0,9,17
38,"(0, 9, 1)","(0, 10, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,9,1,0,10,0
39,"(0, 9, 8)","(0, 10, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,9,8,0,10,17
40,"(0, 9, 1)","(0, 11, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,9,1,0,11,0
41,"(0, 9, 8)","(0, 11, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,9,8,0,11,17
42,"(0, 10, 1)","(0, 12, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,10,1,0,12,0
43,"(0, 10, 8)","(0, 12, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,10,8,0,12,17
44,"(0, 10, 1)","(0, 13, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,10,1,0,13,0
45,"(0, 10, 8)","(0, 13, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,10,8,0,13,17
