,0,1
0,0.0,0.8096021
1,0.5,0.8096021
2,1.0,0.80960211
3,1.5,0.80960212
4,2.0,0.8096021
5,2.5,0.80960209
6,3.0,0.80960216
7,3.5,0.8096022
8,4.0,0.80960191
9,4.5,0.80960183
10,5.0,0.80960287
11,5.5,0.80960331
12,6.0,0.80959984
13,6.5,0.80959806
14,7.0,0.80961312
15,7.5,0.80961853
16,8.0,0.80956902
17,8.5,0.80954718
18,9.0,0.80976097
19,9.5,0.80982555
20,10.0,0.80912043
21,10.5,0.80885893
22,11.0,0.8125871
23,11.5,0.82110941
24,12.0,0.83458525
25,12.5,0.85302994
26,13.0,0.87985583
27,13.5,0.91277717
28,14.0,0.94747637
29,14.5,0.98720951
30,15.0,1.03806423
31,15.5,1.09509371
32,16.0,1.15129288
33,16.5,1.21259107
34,17.0,1.28778579
35,17.5,1.3692346
36,18.0,1.44721035
37,18.5,1.5303502
38,19.0,1.61866946
39,19.5,1.72436087
40,20.0,1.83640435
41,20.5,1.94166246
42,21.0,2.05216507
43,21.5,2.18289205
44,22.0,2.3196629
45,22.5,2.44340071
46,23.0,2.56387296
47,23.5,2.67594841
48,24.0,2.78538404
49,24.5,2.87502349
50,25.0,2.93809402
51,25.5,2.98723141
52,26.0,3.02712313
53,26.5,3.05294024
54,27.0,3.06447585
55,27.5,3.0664892
56,28.0,3.05838992
57,28.5,3.04137486
58,29.0,3.02001031
59,29.5,2.99453412
60,30.0,2.96647691
61,30.5,2.93288966
62,31.0,2.89703581
63,31.5,2.86273273
64,32.0,2.82580058
65,32.5,2.780598
66,33.0,2.73129875
67,33.5,2.68344228
68,34.0,2.63147749
69,34.5,2.56682919
70,35.0,2.49376546
71,35.5,2.41921903
72,36.0,2.33401911
73,36.5,2.23878921
74,37.0,2.12369112
75,37.5,2.00522986
76,38.0,1.90071814
77,38.5,1.79813777
78,39.0,1.68437695
79,39.5,1.57144785
80,40.0,1.47110748
81,40.5,1.37066923
82,41.0,1.27084806
83,41.5,1.16039656
84,42.0,1.05289011
85,42.5,0.96104275
86,43.0,0.87394114
87,43.5,0.78345589
88,44.0,0.70211315
89,44.5,0.63826703
90,45.0,0.58114009
91,45.5,0.52349548
92,46.0,0.47102555
93,46.5,0.42831718
94,47.0,0.38899887
95,47.5,0.35286725
96,48.0,0.31595704
97,48.5,0.28288943
98,49.0,0.25705666
99,49.5,0.23464476
100,50.0,0.21370591
101,50.5,0.19623844
102,51.0,0.18196131
103,51.5,0.16698585
104,52.0,0.14726014
105,52.5,0.12500568
106,53.0,0.10543738
107,53.5,0.08853821
108,54.0,0.07624396
109,54.5,0.06685801
110,55.0,0.05845986
111,55.5,0.04878943
112,56.0,0.03599087
113,56.5,0.02000816
114,57.0,0.00514449
115,57.5,0.0
116,58.0,0.0
117,58.5,0.0
118,59.0,0.0
