,0
0,1937-04-23 13:05:55.000
1,1937-04-23 13:05:55.500
2,1937-04-23 13:05:56.000
3,1937-04-23 13:05:56.500
4,1937-04-23 13:05:57.000
5,1937-04-23 13:05:57.500
6,1937-04-23 13:05:58.000
7,1937-04-23 13:05:58.500
8,1937-04-23 13:05:59.000
9,1937-04-23 13:05:59.500
10,1937-04-23 13:06:00.000
11,1937-04-23 13:06:00.500
12,1937-04-23 13:06:01.000
13,1937-04-23 13:06:01.500
14,1937-04-23 13:06:02.000
15,1937-04-23 13:06:02.500
16,1937-04-23 13:06:03.000
17,1937-04-23 13:06:03.500
18,1937-04-23 13:06:04.000
19,1937-04-23 13:06:04.500
20,1937-04-23 13:06:05.000
21,1937-04-23 13:06:05.500
22,1937-04-23 13:06:06.000
23,1937-04-23 13:06:06.500
24,1937-04-23 13:06:07.000
25,1937-04-23 13:06:07.500
26,1937-04-23 13:06:08.000
27,1937-04-23 13:06:08.500
28,1937-04-23 13:06:09.000
29,1937-04-23 13:06:09.500
30,1937-04-23 13:06:10.000
31,1937-04-23 13:06:10.500
32,1937-04-23 13:06:11.000
33,1937-04-23 13:06:11.500
34,1937-04-23 13:06:12.000
35,1937-04-23 13:06:12.500
36,1937-04-23 13:06:13.000
37,1937-04-23 13:06:13.500
38,1937-04-23 13:06:14.000
39,1937-04-23 13:06:14.500
40,1937-04-23 13:06:15.000
41,1937-04-23 13:06:15.500
42,1937-04-23 13:06:16.000
43,1937-04-23 13:06:16.500
44,1937-04-23 13:06:17.000
45,1937-04-23 13:06:17.500
46,1937-04-23 13:06:18.000
47,1937-04-23 13:06:18.500
48,1937-04-23 13:06:19.000
49,1937-04-23 13:06:19.500
50,1937-04-23 13:06:20.000
51,1937-04-23 13:06:20.500
52,1937-04-23 13:06:21.000
53,1937-04-23 13:06:21.500
54,1937-04-23 13:06:22.000
55,1937-04-23 13:06:22.500
56,1937-04-23 13:06:23.000
57,1937-04-23 13:06:23.500
58,1937-04-23 13:06:24.000
59,1937-04-23 13:06:24.500
60,1937-04-23 13:06:25.000
61,1937-04-23 13:06:25.500
62,1937-04-23 13:06:26.000
63,1937-04-23 13:06:26.500
64,1937-04-23 13:06:27.000
65,1937-04-23 13:06:27.500
66,1937-04-23 13:06:28.000
67,1937-04-23 13:06:28.500
68,1937-04-23 13:06:29.000
69,1937-04-23 13:06:29.500
70,1937-04-23 13:06:30.000
71,1937-04-23 13:06:30.500
72,1937-04-23 13:06:31.000
73,1937-04-23 13:06:31.500
74,1937-04-23 13:06:32.000
75,1937-04-23 13:06:32.500
76,1937-04-23 13:06:33.000
77,1937-04-23 13:06:33.500
78,1937-04-23 13:06:34.000
79,1937-04-23 13:06:34.500
80,1937-04-23 13:06:35.000
81,1937-04-23 13:06:35.500
82,1937-04-23 13:06:36.000
83,1937-04-23 13:06:36.500
84,1937-04-23 13:06:37.000
85,1937-04-23 13:06:37.500
86,1937-04-23 13:06:38.000
87,1937-04-23 13:06:38.500
88,1937-04-23 13:06:39.000
89,1937-04-23 13:06:39.500
90,1937-04-23 13:06:40.000
91,1937-04-23 13:06:40.500
92,1937-04-23 13:06:41.000
93,1937-04-23 13:06:41.500
94,1937-04-23 13:06:42.000
95,1937-04-23 13:06:42.500
96,1937-04-23 13:06:43.000
97,1937-04-23 13:06:43.500
98,1937-04-23 13:06:44.000
99,1937-04-23 13:06:44.500
100,1937-04-23 13:06:45.000
101,1937-04-23 13:06:45.500
102,1937-04-23 13:06:46.000
103,1937-04-23 13:06:46.500
104,1937-04-23 13:06:47.000
105,1937-04-23 13:06:47.500
106,1937-04-23 13:06:48.000
107,1937-04-23 13:06:48.500
108,1937-04-23 13:06:49.000
109,1937-04-23 13:06:49.500
110,1937-04-23 13:06:50.000
111,1937-04-23 13:06:50.500
112,1937-04-23 13:06:51.000
113,1937-04-23 13:06:51.500
114,1937-04-23 13:06:52.000
115,1937-04-23 13:06:52.500
116,1937-04-23 13:06:53.000
117,1937-04-23 13:06:53.500
118,1937-04-23 13:06:54.000
