,0
0,0.5
1,0.6
2,0.72
3,0.864
4,1.0368
5,1.24416
6,1.4929919999999999
7,1.7915903999999998
8,2.1499084799999997
9,2.5798901759999997
10,3.0958682111999996
11,3.7150418534399994
12,4.458050224127999
13,5.349660268953598
14,6.419592322744317
15,7.7035107872931805
16,9.244212944751816
17,11.093055533702179
18,13.311666640442615
19,15.973999968531137
20,19.168799962237365
21,23.002559954684838
22,27.603071945621803
23,33.12368633474616
24,39.74842360169539
25,47.69810832203447
26,57.237729986441366
27,68.68527598372964
28,82.42233118047557
29,98.90679741657068
30,100.0
31,100.0
32,100.0
33,100.0
34,100.0
