,totim,W3_1_1
0,0.5,0.0
1,1.0,0.0
2,1.5,0.0
3,2.0,0.0
4,2.5,0.0
5,3.0,0.0
6,3.5,0.0
7,4.0,0.0
8,4.5,0.0
9,5.0,0.0
10,5.5,0.0
11,6.0,0.0
12,6.5,0.0
13,7.0,0.0
14,7.5,0.0
15,8.0,0.0
16,8.5,0.0
17,9.0,0.0
18,9.5,1.999999987845058e-08
19,10.0,3.999999975690116e-08
20,10.5,-1.999999987845058e-08
21,11.0,0.0
22,11.5,8.399999984476381e-07
23,12.0,3.869999998684648e-06
24,12.5,1.0959999999116121e-05
25,13.0,2.4299999999755073e-05
26,13.5,4.632999999998333e-05
27,14.0,7.92699999987434e-05
28,14.5,0.00012465999999911048
29,15.0,0.00018386999999897569
30,15.5,0.0002584499999986889
31,16.0,0.00034963999999959583
32,16.5,0.00045785999999914395
33,17.0,0.0005834399999997686
34,17.5,0.0007273199999993096
35,18.0,0.0008901999999988419
36,18.5,0.0010718099999991182
37,19.0,0.0012713699999995498
38,19.5,0.0014887199999993328
39,20.0,0.0017248399999996167
40,20.5,0.0019805099999992137
41,21.0,0.002255219999998559
42,21.5,0.002548479999999742
43,22.0,0.0028609299999988735
44,22.5,0.003192770000000067
45,23.0,0.003542139999998639
46,23.5,0.003905209999999215
47,24.0,0.004277129999998408
48,24.5,0.0046523399999998105
49,25.0,0.0050237199999987325
50,25.5,0.005382809999998628
51,26.0,0.005721519999999813
52,26.5,0.006033369999999039
53,27.0,0.0063134499999986105
54,27.5,0.006558239999998605
55,28.0,0.00676552000000008
56,28.5,0.006934219999999769
57,29.0,0.0070643900000000315
58,29.5,0.007157199999999975
59,30.0,0.007214809999998906
60,30.5,0.007239879999998422
61,31.0,0.00723520999999927
62,31.5,0.007203749999998621
63,32.0,0.007148659999998586
64,32.5,0.0070726499999995696
65,33.0,0.006977499999999637
66,33.5,0.006864509999999768
67,34.0,0.006735039999998804
68,34.5,0.0065898600000000584
69,35.0,0.0064285999999995624
70,35.5,0.006250339999999355
71,36.0,0.006054109999999113
72,36.5,0.005838719999999853
73,37.0,0.0056021199999989335
74,37.5,0.005341599999999502
75,38.0,0.005055999999999727
76,38.5,0.004747099999999449
77,39.0,0.004418009999998418
78,39.5,0.004071479999998573
79,40.0,0.0037104499999998097
80,40.5,0.003338579999999425
81,41.0,0.0029595399999990946
82,41.5,0.0025757999999989067
83,42.0,0.0021883299999991834
84,42.5,0.001798249999998447
85,43.0,0.0014081199999989025
86,43.5,0.001020859999998791
87,44.0,0.0006389799999997336
88,44.5,0.0002654299999989007
89,45.0,-9.595000000039988e-05
90,45.5,-0.00044162000000014245
91,46.0,-0.0007693199999998512
92,46.5,-0.0010776799999998588
93,47.0,-0.001365640000001278
94,47.5,-0.0016326500000012345
95,48.0,-0.001878910000000289
96,48.5,-0.002105359999999834
97,49.0,-0.0023130000000008977
98,49.5,-0.0025024200000007824
99,50.0,-0.0026740100000015588
100,50.5,-0.0028283200000007724
101,51.0,-0.002965940000001055
102,51.5,-0.003087670000001097
103,52.0,-0.003194950000001029
104,52.5,-0.003290060000001205
105,53.0,-0.003375550000001226
106,53.5,-0.0034533400000000825
107,54.0,-0.003524360000000115
108,54.5,-0.0035886200000003754
109,55.0,-0.003645690000000812
110,55.5,-0.0036953500000009853
111,56.0,-0.003738039999999998
112,56.5,-0.0037750200000008505
113,57.0,-0.0038079100000008026
114,57.5,-0.003837620000000541
115,58.0,-0.0038636100000015716
116,58.5,-0.0038845500000004307
117,59.0,-0.0038992800000006156
