time,H1_1_2
0.3831380695111,0.5104662071E-11
0.7854330424977,0.2528044254E-11
1.207842764134,0.1871221992E-11
1.651372971851,0.1539795577E-11
2.117079689955,0.1330412518E-11
2.606071743964,0.1182260790E-11
3.119513400673,0.1069969840E-11
3.658627140218,0.9808294971E-12
4.224696566740,0.9076747050E-12
4.819069464588,0.8461168627E-12
5.443161007328,0.7932967577E-12
6.098457127206,0.7472603490E-12
6.786518053077,0.7066202529E-12
7.508982025242,0.6703602049E-12
8.267569196015,0.6377161923E-12
9.064085725327,0.6081005248E-12
9.900428081105,0.5810544563E-12
10.77858755467,0.5562114776E-12
11.70065500192,0.5332760351E-12
12.66882582152,0.5120064355E-12
13.68540518211,0.4922027966E-12
14.75281351073,0.4736981411E-12
15.87359225577,0.4563517093E-12
17.05040993807,0.4400438631E-12
18.28606850449,0.4246721531E-12
19.58350999922,0.4101482468E-12
20.94582356870,0.3963955036E-12
22.37625281664,0.3833470408E-12
23.87820352698,0.3709441783E-12
25.45525177285,0.3591351754E-12
27.11115243100,0.3478741990E-12
28.84984812206,0.3371204733E-12
30.67547859767,0.3268375746E-12
32.59239059707,0.3169928434E-12
34.60514819643,0.3075568902E-12
36.71854367577,0.2985031796E-12
38.93760892907,0.2898076760E-12
41.26762744503,0.2814485431E-12
43.71414688679,0.2734058852E-12
46.28299230064,0.2656615254E-12
48.98027998519,0.2581988133E-12
51.81243205396,0.2510024577E-12
54.78619172617,0.2440583805E-12
57.90863938198,0.2373535873E-12
61.18720942059,0.2308760523E-12
64.62970796114,0.2246146139E-12
68.24433142870,0.2185588788E-12
72.03968606965,0.2126991321E-12
76.02480844264,0.2070262508E-12
80.20918693429,0.2015316192E-12
84.60278435051,0.1962070443E-12
89.21606163755,0.1910446709E-12
94.06000278894,0.1860368951E-12
99.14614099789,0.1811762774E-12
104.4865861173,0.1764554562E-12
110.0940534927,0.1718670649E-12
115.9818942368,0.1674036538E-12
122.1641270182,0.1630576219E-12
128.6554714386,0.1588211619E-12
135.4713830800,0.1546862220E-12
142.6280903035,0.1506444887E-12
150.1426328882,0.1466873932E-12
158.0329026022,0.1428061427E-12
166.3176858018,0.1389917788E-12
175.0167081614,0.1352352594E-12
184.1506816390,0.1315275652E-12
193.7413537904,0.1278598243E-12
203.8115595494,0.1242234511E-12
214.3852755964,0.1206102941E-12
225.4876774458,0.1170127863E-12
237.1451993876,0.1134240904E-12
249.3855974265,0.1098382353E-12
262.2380153673,0.1062502360E-12
275.7330542052,0.1026561935E-12
289.9028449849,0.9905337199E-13
304.7811253037,0.9544024929E-13
320.4033196384,0.9181654168E-13
336.8066236898,0.8818320211E-13
354.0300929438,0.8454239384E-13
372.1147356605,0.8089744145E-13
391.1036105131,0.7725276213E-13
411.0419291082,0.7361378023E-13
431.9771636331,0.6998682840E-13
453.9591598843,0.6637903826E-13
477.0402559480,0.6279822332E-13
501.2754068149,0.5925275646E-13
526.7223152252,0.5575144390E-13
553.4415690560,0.5230339694E-13
581.4967855783,0.4891790264E-13
610.9547629267,0.4560429419E-13
641.8856391426,0.4237182161E-13
674.3630591692,0.3922952339E-13
708.4643501972,0.3618609997E-13
744.2707057765,0.3324978988E-13
781.8673791349,0.3042824977E-13
821.3438861611,0.2772844003E-13
862.7942185387,0.2515651764E-13
906.3170675351,0.2271773841E-13
952.0160589814,0.2041637091E-13
1000.000000000,0.1825562431E-13
