time,HD01,HD02,HD03,HD04,HD05,HD06,HD07,HD08,HD09,HD10,HD11,HD12,HD13,HD14
30.43750000000,-0.8050000000E-02,1.200961649,3.369189211,5.642286296,6.740360294,6.741200000,6.741399131,6.754810063,6.763889505,6.755327786,6.741200000,6.224800811,5.522000000,5.522941649
60.87500000000,-0.2415000000E-01,1.041892582,3.335102315,5.656120668,6.689656479,6.690400000,6.690768317,6.721885853,6.746978755,6.723249105,6.690400000,6.101906250,5.471200000,5.472943747
91.31250000000,-0.4025000000E-01,0.9651152109,3.295727573,5.637242507,6.638883282,6.639600000,6.639991233,6.681397951,6.720551058,6.683404152,6.639600000,6.040520069,5.420400000,5.422174091
121.7500000000,-0.5635000000E-01,0.9209533824,3.256384514,5.603155705,6.588097010,6.588800000,6.589205235,6.637122755,6.686905316,6.639547073,6.588800000,5.988162526,5.369600000,5.371375339
152.1875000000,-0.7245000000E-01,0.8899352966,3.218308977,5.562202420,6.537305083,6.538000000,6.538414531,6.590657674,6.648068132,6.593348080,6.538000000,5.937133231,5.318800000,5.320575393
182.6250000000,-0.8855000000E-01,0.8643506596,3.181534935,5.518267874,6.486510709,6.487200000,6.487620849,6.542804889,6.605576831,6.545667264,6.487200000,5.886299467,5.268000000,5.269775394
213.0625000000,-0.1046500000,0.8411015036,3.145816002,5.473118806,6.435715337,6.436400000,6.436825189,6.494029391,6.560537207,6.497005355,6.436400000,5.835494493,5.217200000,5.218975394
243.5000000000,-0.1207500000,0.8189155446,3.110893874,5.427534771,6.384919607,6.385600000,6.386028184,6.444626300,6.513727633,6.447678652,6.385600000,5.784693758,5.166400000,5.168175393
273.9375000000,-0.1368500000,0.7972525936,3.076560151,5.381844350,6.334123790,6.334800000,6.335230254,6.394792014,6.465690951,6.397896364,6.334800000,5.733893647,5.115600000,5.117375393
304.3750000000,-0.1529500000,0.7758716421,3.042658920,5.336174943,6.283327990,6.284000000,6.284431686,6.344660173,6.416804200,6.347800184,6.284000000,5.683093628,5.064800000,5.066575392
334.8125000000,-0.1690500000,0.7546574700,3.009076106,5.290567206,6.232532241,6.233200000,6.233632677,6.294322614,6.367328782,6.297487188,6.233200000,5.632293622,5.014000000,5.015775392
365.2500000000,-0.1851500000,0.7335500396,2.975728508,5.245026489,6.181736546,6.182400000,6.182833363,6.243842718,6.317445783,6.247024250,6.182400000,5.581493618,4.963200000,4.964975391
395.6875000000,-0.2012500000,0.7125755093,2.942905147,5.201487739,6.136007262,6.136679167,6.137077886,6.195943208,6.268358254,6.199045157,6.136679167,5.535031277,4.917479167,4.919083822
