time,LAKE1,LAKE2
4.382077105465,122.5422154,121.0395215
8.786064596457,119.5488832,116.7635199
13.21207202490,118.1157080,114.5014142
17.66020949049,117.3557413,113.2087415
22.13058764341,116.9259849,112.4258326
26.62331768709,116.6733472,111.9317396
31.13851138099,116.5221398,111.6115688
35.67628104336,116.4310511,111.4010372
40.23673955405,116.3765377,111.2619613
44.82000035728,116.3451247,111.1706738
49.42617746453,116.3280511,111.1117360
54.05538545732,116.3202290,111.0749246
58.70773949007,116.3181358,111.0532318
63.38335529299,116.3199024,111.0419391
68.08234917492,116.3243380,111.0378471
72.80483802626,116.3303037,111.0386524
77.55093932185,116.3377017,111.0429341
82.32077112393,116.3460215,111.0496567
87.11445208501,116.3547625,111.0580184
91.93210145090,116.3644303,111.0677112
96.77383906362,116.3745052,111.0783641
101.6397853644,116.3846771,111.0896422
106.5300613967,116.3952234,111.1014424
111.4447888091,116.4062277,111.1137317
116.3840898586,116.4173537,111.1263675
121.3480874134,116.4284188,111.1391978
126.3369049559,116.4393306,111.1520987
131.3506665862,116.4500492,111.1649819
136.3894970246,116.4605644,111.1777914
141.4535216152,116.4708810,111.1904959
146.5428663287,116.4810117,111.2030816
151.6576577658,116.4909718,111.2155458
156.7980231601,116.5007774,111.2278927
161.9640903814,116.5104433,111.2401300
167.1559879387,116.5199830,111.2522669
172.3738449839,116.5294080,111.2643130
177.6177913143,116.5387282,111.2762771
182.8879573763,116.5479520,111.2881672
188.1844742687,116.5570860,111.2999902
193.5074737455,116.5661357,111.3117517
198.8570882197,116.5751053,111.3234564
204.2334507662,116.5839978,111.3351075
209.6366951255,116.5928154,111.3467074
215.0669557066,116.6015593,111.3582577
220.5243675906,116.6102302,111.3697587
226.0090665340,116.6188280,111.3812105
231.5211889722,116.6273523,111.3926122
237.0608720225,116.6358024,111.4039624
242.6282534881,116.6441774,111.4152594
248.2234718610,116.6524759,111.4265010
253.8466663258,116.6606968,111.4376847
259.4979767629,116.6688385,111.4488079
265.1775437521,116.6768995,111.4598676
270.8855085764,116.6848785,111.4708607
276.6220132247,116.6927739,111.4817843
282.3872003963,116.7005843,111.4926350
288.1812135037,116.7083081,111.5034096
294.0041966767,116.7159438,111.5141048
299.8562947656,116.7234896,111.5247172
305.7376533449,116.7309432,111.5352427
311.6484187171,116.7383010,111.5456769
317.5887379161,116.7455591,111.5560143
323.5587587111,116.7527123,111.5662487
329.5586296102,116.7597556,111.5763735
335.5884998637,116.7666848,111.5863824
341.6485194685,116.7734966,111.5962691
347.7388391713,116.7801881,111.6060282
353.8596104726,116.7867574,111.6156548
360.0109856304,116.7932028,111.6251444
366.1931176640,116.7995234,111.6344933
372.4061603578,116.8057181,111.6436979
378.6502682651,116.8117866,111.6527553
384.9255967119,116.8177284,111.6616626
391.2323018009,116.8235432,111.6704173
397.5705404154,116.8292307,111.6790171
403.9404702229,116.8347905,111.6874597
410.3422496795,116.8402223,111.6957425
416.7760380333,116.8455249,111.7038629
423.2419953290,116.8506971,111.7118180
429.7402824111,116.8557381,111.7196049
436.2710609286,116.8606470,111.7272211
442.8344933387,116.8654236,111.7346641
449.4307429109,116.8700679,111.7419321
456.0599737309,116.8745799,111.7490231
462.7223507050,116.8789599,111.7559353
469.4180395640,116.8832083,111.7626674
476.1472068673,116.8873263,111.7692185
482.9100200071,116.8913150,111.7755884
489.7066472126,116.8951756,111.7817768
496.5372575541,116.8989093,111.7877841
503.4020209474,116.9025177,111.7936108
510.3011081576,116.9060022,111.7992577
517.2346908038,116.9093647,111.8047260
524.2029413633,116.9126071,111.8100171
531.2060331756,116.9157316,111.8151331
538.2441404469,116.9187408,111.8200763
545.3174382546,116.9216371,111.8248494
552.4261025514,116.9244230,111.8294553
559.5703101696,116.9271012,111.8338970
566.7502388259,116.9296745,111.8381781
573.9660671255,116.9321460,111.8423021
581.2179745666,116.9345183,111.8462727
588.5061415449,116.9367943,111.8500938
595.8307493581,116.9389769,111.8537691
603.1919802103,116.9410690,111.8573026
610.5900172168,116.9430738,111.8606980
618.0250444084,116.9449941,111.8639594
625.4972467359,116.9468329,111.8670905
633.0068100750,116.9485931,111.8700954
640.5539212309,116.9502773,111.8729780
648.1387679425,116.9518884,111.8757421
655.7615388877,116.9534291,111.8783917
663.4224236876,116.9549020,111.8809308
671.1216129115,116.9563097,111.8833632
678.8592980815,116.9576544,111.8856923
686.6356716774,116.9589384,111.8879216
694.4509271412,116.9601639,111.8900546
702.3052588824,116.9613332,111.8920947
710.1988622823,116.9624487,111.8940454
718.1319336991,116.9635126,111.8959099
726.1046704731,116.9645270,111.8976916
734.1172709309,116.9654941,111.8993936
742.1699343911,116.9664159,111.9010191
750.2628611685,116.9672944,111.9025710
758.3962525798,116.9681314,111.9040523
766.5703109482,116.9689288,111.9054657
774.7852396084,116.9696884,111.9068137
783.0412429119,116.9704117,111.9080989
791.3385262319,116.9711004,111.9093238
799.6772959685,116.9717561,111.9104908
808.0577595538,116.9723802,111.9116025
816.4801254571,116.9729741,111.9126612
824.9446031898,116.9735392,111.9136693
833.4514033112,116.9740767,111.9146290
842.0007374332,116.9745879,111.9155423
850.5928182259,116.9750741,111.9164115
859.2278594225,116.9755363,111.9172385
867.9060758250,116.9759757,111.9180251
876.6276833096,116.9763932,111.9187732
885.3928988316,116.9767899,111.9194846
894.2019404313,116.9771668,111.9201608
903.0550272389,116.9775247,111.9208036
911.9523794805,116.9778646,111.9214144
920.8942184834,116.9781872,111.9219947
929.8807666813,116.9784935,111.9225459
938.9122476202,116.9787841,111.9230694
947.9888859637,116.9790599,111.9235663
957.1109074990,116.9793214,111.9240381
966.2785391420,116.9795695,111.9244857
975.4920089432,116.9798046,111.9249105
984.7515460933,116.9800275,111.9253134
994.0573809293,116.9802388,111.9256954
1003.409744939,116.9804390,111.9260577
1012.808870770,116.9806286,111.9264010
1022.254992229,116.9808082,111.9267264
1031.748344295,116.9809782,111.9270347
1041.289163122,116.9811391,111.9273267
1050.877686043,116.9812914,111.9276032
1060.514151579,116.9814355,111.9278650
1070.198799443,116.9815718,111.9281128
1079.931870545,116.9817008,111.9283473
1089.713607003,116.9818226,111.9285691
1099.544252144,116.9819378,111.9287789
1109.424050510,116.9820467,111.9289771
1119.353247868,116.9821496,111.9291644
1129.332091213,116.9822467,111.9293412
1139.360828774,116.9823385,111.9295082
1149.439710024,116.9824251,111.9296659
1159.568985679,116.9825068,111.9298146
1169.748907713,116.9825839,111.9299550
1179.979729357,116.9826567,111.9300873
1190.261705109,116.9827253,111.9302121
1200.595090740,116.9827900,111.9303298
1210.980143300,116.9828509,111.9304407
1221.417121122,116.9829084,111.9305452
1231.906283833,116.9829625,111.9306436
1242.447892357,116.9830135,111.9307363
1253.042208925,116.9830615,111.9308235
1263.689497075,116.9831067,111.9309057
1274.390021665,116.9831492,111.9309830
1285.144048879,116.9831892,111.9310557
1295.951846229,116.9832268,111.9311241
1306.813682566,116.9832621,111.9311884
1317.729828084,116.9832954,111.9312488
1328.700554330,116.9833266,111.9313056
1339.726134207,116.9833559,111.9313590
1350.806841984,116.9833835,111.9314091
1361.942953299,116.9834094,111.9314561
1373.134745171,116.9834336,111.9315003
1384.382496002,116.9834564,111.9315417
1395.686485588,116.9834778,111.9315806
1407.046995121,116.9834978,111.9316171
1418.464307202,116.9835166,111.9316513
1429.938705844,116.9835342,111.9316833
1441.470476478,116.9835507,111.9317134
1453.059905966,116.9835661,111.9317415
1464.707282601,116.9835806,111.9317678
1476.412896120,116.9835941,111.9317925
1488.177037706,116.9836068,111.9318156
1500.000000000,116.9836187,111.9318372
