,Kij,Q,b0,b1,b2
0,"(0, 0, 0)",0.01,0,0,0
1,"(0, 0, 50)",-0.01,0,0,50
2,"(0, 1, 0)",0.01,0,1,0
3,"(0, 1, 50)",-0.01,0,1,50
4,"(0, 2, 0)",0.01,0,2,0
5,"(0, 2, 50)",-0.01,0,2,50
6,"(0, 3, 0)",0.01,0,3,0
7,"(0, 3, 50)",-0.01,0,3,50
8,"(0, 4, 0)",0.01,0,4,0
9,"(0, 4, 50)",-0.01,0,4,50
10,"(0, 5, 0)",0.01,0,5,0
11,"(0, 5, 50)",-0.01,0,5,50
12,"(0, 6, 0)",0.01,0,6,0
13,"(0, 6, 50)",-0.01,0,6,50
14,"(0, 7, 0)",0.01,0,7,0
15,"(0, 7, 50)",-0.01,0,7,50
16,"(0, 8, 0)",0.01,0,8,0
17,"(0, 8, 50)",-0.01,0,8,50
18,"(0, 9, 0)",0.01,0,9,0
19,"(0, 9, 50)",-0.01,0,9,50
20,"(1, 0, 0)",0.01,1,0,0
21,"(1, 0, 50)",-0.01,1,0,50
22,"(1, 1, 0)",0.01,1,1,0
23,"(1, 1, 50)",-0.01,1,1,50
24,"(1, 2, 0)",0.01,1,2,0
25,"(1, 2, 50)",-0.01,1,2,50
26,"(1, 3, 0)",0.01,1,3,0
27,"(1, 3, 50)",-0.01,1,3,50
28,"(1, 4, 0)",0.01,1,4,0
29,"(1, 4, 50)",-0.01,1,4,50
30,"(1, 5, 0)",0.01,1,5,0
31,"(1, 5, 50)",-0.01,1,5,50
32,"(1, 6, 0)",0.01,1,6,0
33,"(1, 6, 50)",-0.01,1,6,50
34,"(1, 7, 0)",0.01,1,7,0
35,"(1, 7, 50)",-0.01,1,7,50
36,"(1, 8, 0)",0.01,1,8,0
37,"(1, 8, 50)",-0.01,1,8,50
38,"(1, 9, 0)",0.01,1,9,0
39,"(1, 9, 50)",-0.01,1,9,50
40,"(2, 0, 0)",0.01,2,0,0
41,"(2, 0, 50)",-0.01,2,0,50
42,"(2, 1, 0)",0.01,2,1,0
43,"(2, 1, 50)",-0.01,2,1,50
44,"(2, 2, 0)",0.01,2,2,0
45,"(2, 2, 50)",-0.01,2,2,50
46,"(2, 3, 0)",0.01,2,3,0
47,"(2, 3, 50)",-0.01,2,3,50
48,"(2, 4, 0)",0.01,2,4,0
49,"(2, 4, 50)",-0.01,2,4,50
50,"(2, 5, 0)",0.01,2,5,0
51,"(2, 5, 50)",-0.01,2,5,50
52,"(2, 6, 0)",0.01,2,6,0
53,"(2, 6, 50)",-0.01,2,6,50
54,"(2, 7, 0)",0.01,2,7,0
55,"(2, 7, 50)",-0.01,2,7,50
56,"(2, 8, 0)",0.01,2,8,0
57,"(2, 8, 50)",-0.01,2,8,50
58,"(2, 9, 0)",0.01,2,9,0
59,"(2, 9, 50)",-0.01,2,9,50
60,"(3, 0, 0)",0.01,3,0,0
61,"(3, 0, 50)",-0.01,3,0,50
62,"(3, 1, 0)",0.01,3,1,0
63,"(3, 1, 50)",-0.01,3,1,50
64,"(3, 2, 0)",0.01,3,2,0
65,"(3, 2, 50)",-0.01,3,2,50
66,"(3, 3, 0)",0.01,3,3,0
67,"(3, 3, 50)",-0.01,3,3,50
68,"(3, 4, 0)",0.01,3,4,0
69,"(3, 4, 50)",-0.01,3,4,50
70,"(3, 5, 0)",0.01,3,5,0
71,"(3, 5, 50)",-0.01,3,5,50
72,"(3, 6, 0)",0.01,3,6,0
73,"(3, 6, 50)",-0.01,3,6,50
74,"(3, 7, 0)",0.01,3,7,0
75,"(3, 7, 50)",-0.01,3,7,50
76,"(3, 8, 0)",0.01,3,8,0
77,"(3, 8, 50)",-0.01,3,8,50
78,"(3, 9, 0)",0.01,3,9,0
79,"(3, 9, 50)",-0.01,3,9,50
80,"(4, 0, 0)",0.01,4,0,0
81,"(4, 0, 50)",-0.01,4,0,50
82,"(4, 1, 0)",0.01,4,1,0
83,"(4, 1, 50)",-0.01,4,1,50
84,"(4, 2, 0)",0.01,4,2,0
85,"(4, 2, 50)",-0.01,4,2,50
86,"(4, 3, 0)",0.01,4,3,0
87,"(4, 3, 50)",-0.01,4,3,50
88,"(4, 4, 0)",0.01,4,4,0
89,"(4, 4, 50)",-0.01,4,4,50
90,"(4, 5, 0)",0.01,4,5,0
91,"(4, 5, 50)",-0.01,4,5,50
92,"(4, 6, 0)",0.01,4,6,0
93,"(4, 6, 50)",-0.01,4,6,50
94,"(4, 7, 0)",0.01,4,7,0
95,"(4, 7, 50)",-0.01,4,7,50
96,"(4, 8, 0)",0.01,4,8,0
97,"(4, 8, 50)",-0.01,4,8,50
98,"(4, 9, 0)",0.01,4,9,0
99,"(4, 9, 50)",-0.01,4,9,50
100,"(5, 0, 0)",0.01,5,0,0
101,"(5, 0, 50)",-0.01,5,0,50
102,"(5, 1, 0)",0.01,5,1,0
103,"(5, 1, 50)",-0.01,5,1,50
104,"(5, 2, 0)",0.01,5,2,0
105,"(5, 2, 50)",-0.01,5,2,50
106,"(5, 3, 0)",0.01,5,3,0
107,"(5, 3, 50)",-0.01,5,3,50
108,"(5, 4, 0)",0.01,5,4,0
109,"(5, 4, 50)",-0.01,5,4,50
110,"(5, 5, 0)",0.01,5,5,0
111,"(5, 5, 50)",-0.01,5,5,50
112,"(5, 6, 0)",0.01,5,6,0
113,"(5, 6, 50)",-0.01,5,6,50
114,"(5, 7, 0)",0.01,5,7,0
115,"(5, 7, 50)",-0.01,5,7,50
116,"(5, 8, 0)",0.01,5,8,0
117,"(5, 8, 50)",-0.01,5,8,50
118,"(5, 9, 0)",0.01,5,9,0
119,"(5, 9, 50)",-0.01,5,9,50
120,"(6, 0, 0)",0.01,6,0,0
121,"(6, 0, 50)",-0.01,6,0,50
122,"(6, 1, 0)",0.01,6,1,0
123,"(6, 1, 50)",-0.01,6,1,50
124,"(6, 2, 0)",0.01,6,2,0
125,"(6, 2, 50)",-0.01,6,2,50
126,"(6, 3, 0)",0.01,6,3,0
127,"(6, 3, 50)",-0.01,6,3,50
128,"(6, 4, 0)",0.01,6,4,0
129,"(6, 4, 50)",-0.01,6,4,50
130,"(6, 5, 0)",0.01,6,5,0
131,"(6, 5, 50)",-0.01,6,5,50
132,"(6, 6, 0)",0.01,6,6,0
133,"(6, 6, 50)",-0.01,6,6,50
134,"(6, 7, 0)",0.01,6,7,0
135,"(6, 7, 50)",-0.01,6,7,50
136,"(6, 8, 0)",0.01,6,8,0
137,"(6, 8, 50)",-0.01,6,8,50
138,"(6, 9, 0)",0.01,6,9,0
139,"(6, 9, 50)",-0.01,6,9,50
140,"(7, 0, 0)",0.01,7,0,0
141,"(7, 0, 50)",-0.01,7,0,50
142,"(7, 1, 0)",0.01,7,1,0
143,"(7, 1, 50)",-0.01,7,1,50
144,"(7, 2, 0)",0.01,7,2,0
145,"(7, 2, 50)",-0.01,7,2,50
146,"(7, 3, 0)",0.01,7,3,0
147,"(7, 3, 50)",-0.01,7,3,50
148,"(7, 4, 0)",0.01,7,4,0
149,"(7, 4, 50)",-0.01,7,4,50
150,"(7, 5, 0)",0.01,7,5,0
151,"(7, 5, 50)",-0.01,7,5,50
152,"(7, 6, 0)",0.01,7,6,0
153,"(7, 6, 50)",-0.01,7,6,50
154,"(7, 7, 0)",0.01,7,7,0
155,"(7, 7, 50)",-0.01,7,7,50
156,"(7, 8, 0)",0.01,7,8,0
157,"(7, 8, 50)",-0.01,7,8,50
158,"(7, 9, 0)",0.01,7,9,0
159,"(7, 9, 50)",-0.01,7,9,50
160,"(8, 0, 0)",0.01,8,0,0
161,"(8, 0, 50)",-0.01,8,0,50
162,"(8, 1, 0)",0.01,8,1,0
163,"(8, 1, 50)",-0.01,8,1,50
164,"(8, 2, 0)",0.01,8,2,0
165,"(8, 2, 50)",-0.01,8,2,50
166,"(8, 3, 0)",0.01,8,3,0
167,"(8, 3, 50)",-0.01,8,3,50
168,"(8, 4, 0)",0.01,8,4,0
169,"(8, 4, 50)",-0.01,8,4,50
170,"(8, 5, 0)",0.01,8,5,0
171,"(8, 5, 50)",-0.01,8,5,50
172,"(8, 6, 0)",0.01,8,6,0
173,"(8, 6, 50)",-0.01,8,6,50
174,"(8, 7, 0)",0.01,8,7,0
175,"(8, 7, 50)",-0.01,8,7,50
176,"(8, 8, 0)",0.01,8,8,0
177,"(8, 8, 50)",-0.01,8,8,50
178,"(8, 9, 0)",0.01,8,9,0
179,"(8, 9, 50)",-0.01,8,9,50
180,"(9, 0, 0)",0.01,9,0,0
181,"(9, 0, 50)",-0.01,9,0,50
182,"(9, 1, 0)",0.01,9,1,0
183,"(9, 1, 50)",-0.01,9,1,50
184,"(9, 2, 0)",0.01,9,2,0
185,"(9, 2, 50)",-0.01,9,2,50
186,"(9, 3, 0)",0.01,9,3,0
187,"(9, 3, 50)",-0.01,9,3,50
188,"(9, 4, 0)",0.01,9,4,0
189,"(9, 4, 50)",-0.01,9,4,50
190,"(9, 5, 0)",0.01,9,5,0
191,"(9, 5, 50)",-0.01,9,5,50
192,"(9, 6, 0)",0.01,9,6,0
193,"(9, 6, 50)",-0.01,9,6,50
194,"(9, 7, 0)",0.01,9,7,0
195,"(9, 7, 50)",-0.01,9,7,50
196,"(9, 8, 0)",0.01,9,8,0
197,"(9, 8, 50)",-0.01,9,8,50
198,"(9, 9, 0)",0.01,9,9,0
199,"(9, 9, 50)",-0.01,9,9,50
