,sfrcells[i],rlen[i],rwid,rgrd,rbtp[i],rbth,rbhk,man,ncon,ustrf,ndv,sfrcells0,sfrcells1,sfrcells2
0,"(0, 0, 1)",65.613029,5,0.0012869035,49.409676,1.5,0.1,0.04,1,1.0,0,0,0,1
1,"(0, 1, 1)",72.488609,5,0.0012869035,49.320812,1.5,0.1,0.04,2,1.0,0,0,1,1
2,"(0, 2, 1)",81.424789,5,0.0012869035,49.221775,1.5,0.1,0.04,2,1.0,0,0,2,1
3,"(0, 2, 2)",35.85041,5,0.0012869035,49.146317,1.5,0.1,0.04,2,1.0,0,0,2,2
4,"(0, 3, 2)",75.02739,5,0.0012869035,49.07497,1.5,0.1,0.04,2,1.0,0,0,3,2
5,"(0, 4, 2)",90.88752,5,0.0012869035,48.968212,1.5,0.1,0.04,2,1.0,0,0,4,2
6,"(0, 4, 3)",77.565651,5,0.0012869035,48.859821,1.5,0.1,0.04,2,1.0,0,0,4,3
7,"(0, 5, 3)",74.860397,5,0.0012869035,48.761742,1.5,0.1,0.04,1,1.0,0,0,5,3
8,"(0, 8, 8)",120.44695,5,0.0012780087,45.550678,1.5,0.1,0.04,1,1.0,0,0,8,8
9,"(0, 8, 9)",112.31332,5,0.0012780087,45.401943,1.5,0.1,0.04,2,1.0,0,0,8,9
10,"(0, 8, 10)",109.00368,5,0.0012780087,45.260521,1.5,0.1,0.04,2,1.0,0,0,8,10
11,"(0, 8, 11)",91.234566,5,0.0012780087,45.132568,1.5,0.1,0.04,2,1.0,0,0,8,11
12,"(0, 7, 11)",67.486,5,0.0012780087,45.031143,1.5,0.1,0.04,2,1.0,0,0,7,11
13,"(0, 7, 12)",24.603355,5,0.0012780087,44.972298,1.5,0.1,0.04,2,1.0,0,0,7,12
14,"(0, 6, 12)",97.547943,5,0.0012780087,44.894241,1.5,0.1,0.04,2,1.0,0,0,6,12
15,"(0, 6, 13)",104.97595,5,0.0012780087,44.764832,1.5,0.1,0.04,2,1.0,0,0,6,13
16,"(0, 6, 14)",8.9454498,5,0.0012780087,44.692032,1.5,0.1,0.04,2,1.0,0,0,6,14
17,"(0, 5, 14)",92.638367,5,0.0012780087,44.627121,1.5,0.1,0.04,1,1.0,0,0,5,14
