time,H1_1_2
0.3831380695111,0.1275988924E-11
0.7854330424977,0.6319234614E-12
1.207842764134,0.4677409526E-12
1.651372971851,0.3848956558E-12
2.117079689955,0.3325569388E-12
2.606071743964,0.2955240079E-12
3.119513400673,0.2674551138E-12
3.658627140218,0.2451731308E-12
4.224696566740,0.2268870191E-12
4.819069464588,0.2114997646E-12
5.443161007328,0.1982966537E-12
6.098457127206,0.1867892392E-12
6.786518053077,0.1766307204E-12
7.508982025242,0.1675670646E-12
8.267569196015,0.1594072935E-12
9.064085725327,0.1520042531E-12
9.900428081105,0.1452438367E-12
10.77858755467,0.1390341063E-12
11.70065500192,0.1333011826E-12
12.66882582152,0.1279846502E-12
13.68540518211,0.1230345459E-12
14.75281351073,0.1184091315E-12
15.87359225577,0.1140732227E-12
17.05040993807,0.1099969148E-12
18.28606850449,0.1061545997E-12
19.58350999922,0.1025241983E-12
20.94582356870,0.9908655371E-13
22.37625281664,0.9582494827E-13
23.87820352698,0.9272471458E-13
25.45525177285,0.8977291987E-13
27.11115243100,0.8695810798E-13
28.84984812206,0.8427008685E-13
30.67547859767,0.8169975225E-13
32.59239059707,0.7923894080E-13
34.60514819643,0.7688030654E-13
36.71854367577,0.7461721679E-13
38.93760892907,0.7244366382E-13
41.26762744503,0.7035418951E-13
43.71414688679,0.6834382089E-13
46.28299230064,0.6640801454E-13
48.98027998519,0.6454260859E-13
51.81243205396,0.6274378096E-13
54.78619172617,0.6100801273E-13
57.90863938198,0.5933205589E-13
61.18720942059,0.5771290449E-13
64.62970796114,0.5614776859E-13
68.24433142870,0.5463405032E-13
72.03968606965,0.5316932132E-13
76.02480844264,0.5175130118E-13
80.20918693429,0.5037783627E-13
84.60278435051,0.4904687864E-13
89.21606163755,0.4775646468E-13
94.06000278894,0.4650469359E-13
99.14614099789,0.4528970561E-13
104.4865861173,0.4410966048E-13
110.0940534927,0.4296271657E-13
115.9818942368,0.4184701147E-13
122.1641270182,0.4076064494E-13
128.6554714386,0.3970166509E-13
135.4713830800,0.3866805894E-13
142.6280903035,0.3765774808E-13
150.1426328882,0.3666859023E-13
158.0329026022,0.3569838722E-13
166.3176858018,0.3474489940E-13
175.0167081614,0.3380586634E-13
184.1506816390,0.3287903333E-13
193.7413537904,0.3196218253E-13
203.8115595494,0.3105316779E-13
214.3852755964,0.3014995160E-13
225.4876774458,0.2925064250E-13
237.1451993876,0.2835353168E-13
249.3855974265,0.2745712682E-13
262.2380153673,0.2656018220E-13
275.7330542052,0.2566172369E-13
289.9028449849,0.2476106789E-13
304.7811253037,0.2385783487E-13
320.4033196384,0.2295195429E-13
336.8066236898,0.2204366495E-13
354.0300929438,0.2113350821E-13
372.1147356605,0.2022231569E-13
391.1036105131,0.1931119214E-13
411.0419291082,0.1840149402E-13
431.9771636331,0.1749480483E-13
453.9591598843,0.1659290774E-13
477.0402559480,0.1569775633E-13
501.2754068149,0.1481144398E-13
526.7223152252,0.1393617235E-13
553.4415690560,0.1307421930E-13
581.4967855783,0.1222790662E-13
610.9547629267,0.1139956755E-13
641.8856391426,0.1059151453E-13
674.3630591692,0.9806007066E-14
708.4643501972,0.9045220130E-14
744.2707057765,0.8311213170E-14
781.8673791349,0.7605900150E-14
821.3438861611,0.6931020937E-14
862.7942185387,0.6288114527E-14
906.3170675351,0.5678494615E-14
952.0160589814,0.5103228075E-14
1000.000000000,0.4563116936E-14
