time,H1_1_2
0.3831380695111,0.5102199714E-11
0.7854330424977,0.2526452998E-11
1.207842764134,0.1869957636E-11
1.651372971851,0.1538719825E-11
2.117079689955,0.1329464818E-11
2.606071743964,0.1181407945E-11
3.119513400673,0.1069191235E-11
3.658627140218,0.9801112505E-12
4.224696566740,0.9070069158E-12
4.819069464588,0.8454921575E-12
5.443161007328,0.7927094594E-12
6.098457127206,0.7467059698E-12
6.786518053077,0.7060951681E-12
7.508982025242,0.6698614347E-12
8.267569196015,0.6372412498E-12
9.064085725327,0.6076478570E-12
9.900428081105,0.5806217599E-12
10.77858755467,0.5557971916E-12
11.70065500192,0.5328787987E-12
12.66882582152,0.5116250536E-12
13.68540518211,0.4918362119E-12
14.75281351073,0.4733454125E-12
15.87359225577,0.4560119943E-12
17.05040993807,0.4397164031E-12
18.28606850449,0.4243562622E-12
19.58350999922,0.4098433017E-12
20.94582356870,0.3961009358E-12
22.37625281664,0.3830623297E-12
23.87820352698,0.3706688454E-12
25.45525177285,0.3588687796E-12
27.11115243100,0.3476163325E-12
28.84984812206,0.3368707577E-12
30.67547859767,0.3265956583E-12
32.59239059707,0.3167583984E-12
34.60514819643,0.3073296103E-12
36.71854367577,0.2982827778E-12
38.93760892907,0.2895938832E-12
41.26762744503,0.2812411061E-12
43.71414688679,0.2732045655E-12
46.28299230064,0.2654660980E-12
48.98027998519,0.2580090653E-12
51.81243205396,0.2508181875E-12
54.78619172617,0.2438793966E-12
57.90863938198,0.2371797077E-12
61.18720942059,0.2307071032E-12
64.62970796114,0.2244504290E-12
68.24433142870,0.2183992982E-12
72.03968606965,0.2125440013E-12
76.02480844264,0.2068754195E-12
80.20918693429,0.2013849399E-12
84.60278435051,0.1960643708E-12
89.21606163755,0.1909058568E-12
94.06000278894,0.1859017919E-12
99.14614099789,0.1810447326E-12
104.4865861173,0.1763273119E-12
110.0940534927,0.1717421557E-12
115.9818942368,0.1672818056E-12
122.1641270182,0.1629386509E-12
128.6554714386,0.1587048740E-12
135.4713830800,0.1545724132E-12
142.6280903035,0.1505329457E-12
150.1426328882,0.1465778953E-12
158.0329026022,0.1426984643E-12
166.3176858018,0.1388856926E-12
175.0167081614,0.1351305407E-12
184.1506816390,0.1314239960E-12
193.7413537904,0.1277571985E-12
203.8115595494,0.1241215795E-12
214.3852755964,0.1205090095E-12
225.4876774458,0.1169119478E-12
237.1451993876,0.1133235880E-12
249.3855974265,0.1097379928E-12
262.2380153673,0.1061502137E-12
275.7330542052,0.1025563900E-12
289.9028449849,0.9895382424E-13
304.7811253037,0.9534103220E-13
320.4033196384,0.9171776641E-13
336.8066236898,0.8808501353E-13
354.0300929438,0.8444496714E-13
372.1147356605,0.8080097806E-13
391.1036105131,0.7715748505E-13
411.0419291082,0.7351992910E-13
431.9771636331,0.6989465423E-13
453.9591598843,0.6628879814E-13
477.0402559480,0.6271017516E-13
501.2754068149,0.5916715388E-13
526.7223152252,0.5566853137E-13
553.4415690560,0.5222340527E-13
581.4967855783,0.4884104485E-13
610.9547629267,0.4553076180E-13
641.8856391426,0.4230178145E-13
674.3630591692,0.3916311493E-13
708.4643501972,0.3612343319E-13
744.2707057765,0.3319094372E-13
781.8673791349,0.3037327118E-13
821.3438861611,0.2767734363E-13
862.7942185387,0.2510928599E-13
906.3170675351,0.2267432289E-13
952.0160589814,0.2037669314E-13
1000.000000000,0.1821957816E-13
