,botm,strt,k33,iconvert,idz,idx,idy,ib_ctype,ib_thickness,ib_rnb,ib_kv,ib_head,ib_name
0,-36.8811,0.0,0.00914,1.0,1.0,0.0,0.0,CUNIT,5.48649,1.0,999.0,999.0,CUNIT
1,-42.3676,1.57,3.66e-06,0.0,2.0,0.0,0.0,CUNIT,8.229689999999998,1.0,999.0,999.0,CUNIT
2,-50.5973,3.38,3.66e-06,0.0,3.0,0.0,0.0,CUNIT,6.4008,1.0,999.0,999.0,CUNIT
3,-56.9981,5.56,3.66e-06,0.0,4.0,0.0,0.0,NODELAY,2.7432,1.0,999.0,999.0,NODELAY
4,-69.7998,6.77,0.00914,0.0,6.0,0.0,0.0,NODELAY,0.6096,1.0,999.0,999.0,NODELAY
5,-70.1046,6.77,0.00914,0.0,7.0,0.0,0.0,AQUITARD,5.1817,1.0,999.0,999.0,AQUITARD
6,-92.0504,6.77,0.00914,0.0,8.0,0.0,0.0,AQUITARD,8.53449,1.0,999.0,999.0,AQUITARD
7,-97.2321,6.77,4.57e-06,0.0,9.0,0.0,0.0,AQUITARD,5.4864,1.0,999.0,999.0,AQUITARD
8,-105.7666,6.77,4.57e-06,0.0,11.0,0.0,0.0,NODELAY,7.6201,1.0,999.0,999.0,NODELAY
9,-111.253,6.77,4.57e-06,0.0,13.0,0.0,0.0,NODELAY,0.9144000000000002,1.0,999.0,999.0,NODELAY
10,-111.5578,6.77,0.00914,0.0,4.0,0.0,0.0,DELAY,2.7432,1.92,4.57e-06,6.77,DELAY
11,-278.8945,6.77,0.00914,0.0,11.0,0.0,0.0,DELAY,3.048,1.66,4.57e-06,6.77,DELAY
12,-279.1993,5.55,0.00914,0.0,13.0,0.0,0.0,DELAY,2.7432,2.85,4.57e-06,5.55,DELAY
13,-332.5398,5.55,0.00914,0.0,,,,,,,,,
