,time,CUNIT1,CUNIT2,CUNIT3,AQUITARD6,AQUITARD7,AQUITARD8,NODELAY4,NODELAY5,NODELAY9,NODELAY10,DELAY11,DELAY12,DELAY13,ES14,TC02,SKC02,TC03,SKC03,TC04,SKC04,TC05,SKC05,TC07,SKC07,TC08,SKC08,TC09,SKC09,TC10,SKC10,TC12,SKC12,TC14,SKC14
0,30.4375,1.097441565e-05,4.822321575e-07,-2.854809167e-06,4.266223051e-07,2.826631837e-07,4.363132906e-07,4.407036777e-07,9.45016738e-08,2.251805685e-05,1.34106121e-07,8.211390062e-07,1.44106424e-05,1.11271404e-06,327.0168581,1.097441565e-05,0.0,4.822321575e-07,0.0,-2.854809167e-06,0.0,2.031592769e-06,7.697500849e-07,3.401969215e-06,3.307467541e-06,4.266223051e-07,0.0,2.826631837e-07,0.0,4.363132906e-07,0.0,0.0004939367435,0.0004570080443,7.788859762e-06,6.542039601e-06
1,60.875,1.570479137e-05,2.002731536e-06,-3.334773564e-06,1.351326744e-06,1.064931547e-06,1.390249377e-06,1.194603123e-06,2.617936761e-07,2.759391597e-05,3.819059016e-07,2.249965014e-06,1.817668314e-05,3.201467812e-06,327.0668557,1.570479137e-05,0.0,2.002731536e-06,0.0,-3.334773564e-06,0.0,5.531108145e-06,2.086540008e-06,9.424320128e-06,9.162526452e-06,1.351326744e-06,0.0,1.064931547e-06,0.0,1.390249377e-06,0.0,0.0006057941296,0.0005600235305,2.22137327e-05,1.863035898e-05
2,91.3125,1.79879871e-05,3.759103572e-06,-2.679821878e-06,2.488463898e-06,2.287440928e-06,2.575134089e-06,1.949534187e-06,4.295689775e-07,3.012931831e-05,6.335319922e-07,3.698713027e-06,1.993835831e-05,5.350843489e-06,327.1176254,1.79879871e-05,0.0,3.759103572e-06,0.0,-2.679821878e-06,0.0,9.053379012e-06,3.405131798e-06,1.546406935e-05,1.503450037e-05,2.488463898e-06,0.0,2.287440928e-06,0.0,2.575134089e-06,0.0,0.0006615476599,0.0006114799833,3.688971159e-05,3.090533611e-05
3,121.75,1.930126595e-05,5.51406232e-06,-1.49722748e-06,3.731970406e-06,3.843847291e-06,3.879328956e-06,2.704659646e-06,5.973737306e-07,3.229181423e-05,8.853023324e-07,5.148517113e-06,2.138659649e-05,7.503371201e-06,327.1684241,1.930126595e-05,0.0,5.51406232e-06,0.0,-1.49722748e-06,0.0,1.257723988e-05,4.724063124e-06,2.15048788e-05,2.090750507e-05,3.731970406e-06,0.0,3.843847291e-06,0.0,3.879328956e-06,0.0,0.0007090466429,0.0006553682321,5.157602366e-05,4.318735012e-05
4,152.1875,2.022367785e-05,7.212481239e-06,-7.640993118e-08,5.03698172e-06,5.640402715e-06,5.253166196e-06,3.459869195e-06,7.651940357e-07,3.439945e-05,1.137078595e-06,6.598513366e-06,2.278790425e-05,9.656052876e-06,327.2192241,2.022367785e-05,0.0,7.212481239e-06,0.0,-7.640993118e-08,0.0,1.610152389e-05,6.043141324e-06,2.75462481e-05,2.678105407e-05,5.03698172e-06,0.0,5.640402715e-06,0.0,5.253166196e-06,0.0,0.0007553304386,0.0006981430844,6.626278452e-05,5.546965305e-05
5,182.625,2.098451054e-05,8.852844952e-06,1.447838347e-06,6.38096788e-06,7.605992605e-06,6.671069012e-06,4.21511514e-06,9.330241776e-07,3.64990098e-05,1.388855115e-06,8.048583308e-06,2.41822685e-05,1.180874187e-05,327.2700241,2.098451054e-05,0.0,8.852844952e-06,0.0,1.447838347e-06,0.0,1.962598154e-05,7.362283097e-06,3.358797152e-05,3.265494735e-05,6.38096788e-06,0.0,7.605992605e-06,0.0,6.671069012e-06,0.0,0.0008014353118,0.0007407540335,8.094956549e-05,6.775196851e-05
6,213.0625,2.167589099e-05,1.044614391e-05,3.014222789e-06,7.750869219e-06,9.689464523e-06,8.118146924e-06,4.970375913e-06,1.100860857e-06,3.859738053e-05,1.640631646e-06,9.498683079e-06,2.557560892e-05,1.396143121e-05,327.3208241,2.167589099e-05,0.0,1.044614391e-05,0.0,3.014222789e-06,0.0,2.315050976e-05,8.681450768e-06,3.962993029e-05,3.852906944e-05,7.750869219e-06,0.0,9.689464523e-06,0.0,8.118146924e-06,0.0,0.0008475138394,0.00078334085,9.563634738e-05,8.003428453e-05
7,243.5,2.233565422e-05,1.200390011e-05,4.595697799e-06,9.138397038e-06,1.185481188e-05,9.58499412e-06,5.725642e-06,1.268701982e-06,4.069557617e-05,1.892408177e-06,1.094879364e-05,2.696879852e-05,1.611412056e-05,327.3716241,2.233565422e-05,0.0,1.200390011e-05,0.0,4.595697799e-06,0.0,2.667506336e-05,1.000062772e-05,4.567204911e-05,4.440334713e-05,9.138397038e-06,0.0,1.185481188e-05,0.0,9.58499412e-06,0.0,0.0008935884877,0.000825924113,0.0001103231293,9.231660058e-05
8,273.9375,2.297986431e-05,1.353540955e-05,6.180863737e-06,1.053803533e-05,1.407692357e-05,1.106538918e-05,6.480909391e-06,1.436546162e-06,4.279374602e-05,2.144184709e-06,1.239890695e-05,2.836196591e-05,1.826680991e-05,327.4224241,2.297986431e-05,0.0,1.353540955e-05,0.0,6.180863737e-06,0.0,3.01996233e-05,1.131980695e-05,5.171427787e-05,5.027773171e-05,1.053803533e-05,0.0,1.407692357e-05,0.0,1.106538918e-05,0.0,0.0009396625648,0.0008685068528,0.0001250099112,0.0001045989166
9,304.375,2.361568833e-05,1.504762708e-05,7.765300631e-06,1.194603072e-05,1.633835833e-05,1.255511859e-05,7.236176529e-06,1.604392449e-06,4.489191208e-05,2.395961241e-06,1.384901988e-05,2.975513004e-05,2.041949927e-05,327.4732241,2.361568833e-05,0.0,1.504762708e-05,0.0,7.765300631e-06,0.0,3.372418215e-05,1.263898574e-05,5.77565825e-05,5.615219006e-05,1.194603072e-05,0.0,1.633835833e-05,0.0,1.255511859e-05,0.0,0.0009857365577,0.0009110895156,0.0001396966932,0.0001168812327
10,334.8125,2.424655269e-05,1.654564108e-05,9.34759793e-06,1.335980387e-05,1.862702402e-05,1.405129554e-05,7.991442918e-06,1.772240193e-06,4.699007759e-05,2.647737772e-06,1.52991314e-05,3.114829368e-05,2.257218862e-05,327.5240241,2.424655269e-05,0.0,1.654564108e-05,0.0,9.34759793e-06,0.0,3.724873754e-05,1.395816322e-05,6.379893959e-05,6.20266994e-05,1.335980387e-05,0.0,1.862702402e-05,0.0,1.405129554e-05,0.0,0.001031810538,0.000953672167,0.0001543834751,0.0001291635487
11,365.25,2.487424278e-05,1.803316287e-05,1.09275701e-05,1.477757467e-05,2.093454385e-05,1.555193136e-05,8.746708491e-06,1.940088945e-06,4.908824301e-05,2.899514304e-06,1.674924135e-05,3.254145725e-05,2.472487798e-05,327.5748241,2.487424278e-05,0.0,1.803316287e-05,0.0,1.09275701e-05,0.0,4.077328912e-05,1.527733928e-05,6.984133297e-05,6.790124402e-05,1.477757467e-05,0.0,2.093454385e-05,0.0,1.555193136e-05,0.0,0.001077884517,0.0009962548167,0.0001690702571,0.0001414458648
12,395.6875,2.54979807e-05,1.949730028e-05,1.243808676e-05,1.612287315e-05,2.32052663e-05,1.697870413e-05,9.426643163e-06,2.091272084e-06,5.10072524e-05,3.126963823e-06,1.805899132e-05,3.381996822e-05,2.667571965e-05,327.6207157,2.54979807e-05,0.0,1.949730028e-05,0.0,1.243808676e-05,0.0,4.395057395e-05,1.646493947e-05,7.528378032e-05,7.319250823e-05,1.612287315e-05,0.0,2.32052663e-05,0.0,1.697870413e-05,0.0,0.001120028683,0.001035201462,0.000182344127,0.0001525414435
13,426.125,2.611557427e-05,2.092170236e-05,1.384572458e-05,1.736448028e-05,2.538514468e-05,1.829815589e-05,1.003108513e-05,2.225683306e-06,5.272097818e-05,3.329271702e-06,1.922395584e-05,3.496298715e-05,2.841202386e-05,327.6615346,2.611557427e-05,0.0,2.092170236e-05,0.0,1.384572458e-05,0.0,4.677572215e-05,1.752068118e-05,8.01224548e-05,7.789677149e-05,1.736448028e-05,0.0,2.538514468e-05,0.0,1.829815589e-05,0.0,0.001157665804,0.001069981839,0.0001941518411,0.0001624105455
14,456.5625,2.672621331e-05,2.230687687e-05,1.520041185e-05,1.856277859e-05,2.748182548e-05,1.957068019e-05,1.063535639e-05,2.359984579e-06,5.440473979e-05,3.530734389e-06,2.038432348e-05,3.608193229e-05,3.013497622e-05,327.702183,2.672621331e-05,0.0,2.230687687e-05,0.0,1.520041185e-05,0.0,4.959580461e-05,1.857612473e-05,8.495717124e-05,8.259718666e-05,1.856277859e-05,0.0,2.748182548e-05,0.0,1.957068019e-05,0.0,0.001194640759,0.001104154087,0.0002059041274,0.0001722384168
15,487.0,2.73302476e-05,2.365864627e-05,1.652623698e-05,1.973986687e-05,2.951464293e-05,2.081943263e-05,1.123961541e-05,2.494279899e-06,5.608410031e-05,3.732165239e-06,2.154450746e-05,3.719715976e-05,3.185723395e-05,327.7428249,2.73302476e-05,0.0,2.365864627e-05,0.0,1.652623698e-05,0.0,5.241566975e-05,1.963154689e-05,8.979167338e-05,8.729739348e-05,1.973986687e-05,0.0,2.951464293e-05,0.0,2.081943263e-05,0.0,0.001231518275,0.001138237015,0.0002176541342,0.000182064735
16,517.4375,2.792858533e-05,2.498368996e-05,1.783525126e-05,2.090488762e-05,3.150131294e-05,2.205451052e-05,1.184386844e-05,2.628572166e-06,5.776281325e-05,3.933594784e-06,2.270467386e-05,3.831183248e-05,3.357945775e-05,327.7834666,2.792858533e-05,0.0,2.498368996e-05,0.0,1.783525126e-05,0.0,5.523550091e-05,2.06869586e-05,9.462606563e-05,9.199749347e-05,2.090488762e-05,0.0,3.150131294e-05,0.0,2.205451052e-05,0.0,0.001268381445,0.001172306799,0.000229404042,0.0001918909895
17,547.875,2.852227682e-05,2.628800021e-05,1.913381903e-05,2.206233138e-05,3.34554371e-05,2.328101226e-05,1.24481178e-05,2.762862521e-06,5.944143085e-05,4.135024272e-06,2.386483287e-05,3.942642319e-05,3.530167993e-05,327.8241082,2.852227682e-05,0.0,2.628800021e-05,0.0,1.913381903e-05,0.0,5.805531457e-05,2.17423639e-05,9.946038904e-05,9.669752652e-05,2.206233138e-05,0.0,3.34554371e-05,0.0,2.328101226e-05,0.0,0.001305242503,0.001206374649,0.0002411539454,0.0002017172412
18,578.3125,2.911230399e-05,2.757648707e-05,2.042552257e-05,2.321475973e-05,3.538684484e-05,2.450186263e-05,1.305236475e-05,2.897151611e-06,6.112003441e-05,4.336453757e-06,2.502498717e-05,4.054100182e-05,3.702390204e-05,327.8647499,2.911230399e-05,0.0,2.757648707e-05,0.0,2.042552257e-05,0.0,6.087511691e-05,2.279776499e-05,0.0001042946669,0.0001013975153,2.321475973e-05,0.0,3.538684484e-05,0.0,2.450186263e-05,0.0,0.00134210325,0.001240442214,0.0002529038486,0.0002115434928
19,608.75,2.969950028e-05,2.885300687e-05,2.171251674e-05,2.436378378e-05,3.730246884e-05,2.571889257e-05,1.365661005e-05,3.031439842e-06,6.279863591e-05,4.537883242e-06,2.618513824e-05,4.165557866e-05,3.874612415e-05,327.9053916,2.969950028e-05,0.0,2.885300687e-05,0.0,2.171251674e-05,0.0,6.369491148e-05,2.385316319e-05,0.0001091289138,0.000106097474,2.436378378e-05,0.0,3.730246884e-05,0.0,2.571889257e-05,0.0,0.001378963952,0.001274509737,0.0002646537518,0.0002213697444
20,639.1875,3.028453734e-05,3.012052259e-05,2.299617932e-05,2.551047097e-05,3.920714811e-05,2.693330734e-05,1.426085417e-05,3.165727484e-06,6.44772371e-05,4.739312728e-06,2.734528704e-05,4.277015524e-05,4.046834625e-05,327.9460332,3.028453734e-05,0.0,3.012052259e-05,0.0,2.299617932e-05,0.0,6.651470056e-05,2.490855935e-05,0.0001139631396,0.0001107974121,2.551047097e-05,0.0,3.920714811e-05,0.0,2.693330734e-05,0.0,0.001415824646,0.001308577254,0.0002764036549,0.000231195996
21,669.625,3.08679405e-05,3.138128363e-05,2.427743621e-05,2.665554616e-05,4.110424494e-05,2.814592126e-05,1.486509745e-05,3.300014719e-06,6.615583825e-05,4.940742213e-06,2.850543419e-05,4.388473179e-05,4.219056835e-05,327.9866749,3.08679405e-05,0.0,3.138128363e-05,0.0,2.427743621e-05,0.0,6.933448568e-05,2.596395403e-05,0.0001187973507,0.000115497336,2.665554616e-05,0.0,4.110424494e-05,0.0,2.814592126e-05,0.0,0.00145268534,0.00134264477,0.0002881535581,0.0002410222476
22,700.0625,3.145011336e-05,3.26369862e-05,2.555693304e-05,2.779950706e-05,4.299609082e-05,2.935729157e-05,1.546934012e-05,3.434301673e-06,6.783443939e-05,5.142171698e-06,2.966558015e-05,4.499930833e-05,4.391279046e-05,328.0273166,3.145011336e-05,0.0,3.26369862e-05,0.0,2.555693304e-05,0.0,7.21542679e-05,2.701934763e-05,0.0001236315517,0.00012019725,2.779950706e-05,0.0,4.299609082e-05,0.0,2.935729157e-05,0.0,0.001489546033,0.001376712286,0.0002999034613,0.0002508484992
23,730.5,3.203136267e-05,3.388890438e-05,2.683513158e-05,2.894269704e-05,4.4884301e-05,3.056780197e-05,1.607358233e-05,3.568588433e-06,6.951304053e-05,5.343601183e-06,3.082572522e-05,4.611388487e-05,4.563501256e-05,328.0679582,3.203136267e-05,0.0,3.388890438e-05,0.0,2.683513158e-05,0.0,7.497404799e-05,2.807474044e-05,0.0001284657456,0.0001248971572,2.894269704e-05,0.0,4.4884301e-05,0.0,3.056780197e-05,0.0,0.001526406727,0.001410779801,0.0003116533645,0.0002606747508
24,760.9375,3.261186475e-05,3.513797716e-05,2.811236564e-05,3.008535346e-05,4.676999405e-05,3.177771738e-05,1.66778242e-05,3.702875058e-06,7.119164167e-05,5.545030669e-06,3.198586964e-05,4.72284614e-05,4.735723467e-05,328.1085999,3.261186475e-05,0.0,3.513797716e-05,0.0,2.811236564e-05,0.0,7.779382649e-05,2.913013265e-05,0.0001332999348,0.0001295970597,3.008535346e-05,0.0,4.676999405e-05,0.0,3.177771738e-05,0.0,0.00156326742,0.001444847317,0.0003234032677,0.0002705010023
25,791.375,3.319176983e-05,3.638490169e-05,2.938887881e-05,3.122764053e-05,4.865394448e-05,3.298722101e-05,1.728206581e-05,3.83716159e-06,7.287024281e-05,5.746460154e-06,3.314601356e-05,4.834303794e-05,4.907945677e-05,328.1492416,3.319176983e-05,0.0,3.638490169e-05,0.0,2.938887881e-05,0.0,8.06136038e-05,3.018552442e-05,0.0001381341206,0.000134296959,3.122764053e-05,0.0,4.865394448e-05,0.0,3.298722101e-05,0.0,0.001600128114,0.001478914833,0.0003351531709,0.0002803272539
26,821.8125,3.377125249e-05,3.763021325e-05,3.066485225e-05,3.236967193e-05,5.05366885e-05,3.419643959e-05,1.788630724e-05,3.971448058e-06,7.454884395e-05,5.947889639e-06,3.430615712e-05,4.945761448e-05,5.080167888e-05,328.1898832,3.377125249e-05,0.0,3.763021325e-05,0.0,3.066485225e-05,0.0,8.343338022e-05,3.124091587e-05,0.000142968304,0.000138996856,3.236967193e-05,0.0,5.05366885e-05,0.0,3.419643959e-05,0.0,0.001636988807,0.001512982349,0.0003469030741,0.0002901535055
27,852.25,3.435042858e-05,3.887431693e-05,3.194042156e-05,3.351152632e-05,5.241859733e-05,3.540546086e-05,1.849054852e-05,4.105734481e-06,7.62274451e-05,6.149319124e-06,3.54663004e-05,5.057219102e-05,5.252390098e-05,328.2305249,3.435042858e-05,0.0,3.887431693e-05,0.0,3.194042156e-05,0.0,8.625315598e-05,3.229630706e-05,0.0001478024859,0.0001436967514,3.351152632e-05,0.0,5.241859733e-05,0.0,3.540546086e-05,0.0,0.001673849501,0.001547049865,0.0003586529772,0.0002999797571
28,882.6875,3.492937911e-05,4.011751724e-05,3.321568841e-05,3.465325817e-05,5.429992798e-05,3.661434553e-05,1.90947897e-05,4.240020873e-06,7.790604624e-05,6.350748609e-06,3.662644347e-05,5.168676755e-05,5.424612308e-05,328.2711666,3.492937911e-05,0.0,4.011751724e-05,0.0,3.321568841e-05,0.0,8.907293124e-05,3.335169807e-05,0.0001526366666,0.0001483966458,3.465325817e-05,0.0,5.429992798e-05,0.0,3.661434553e-05,0.0,0.001710710194,0.00158111738,0.0003704028804,0.0003098060087
29,913.125,3.550816246e-05,4.136004235e-05,3.449072899e-05,3.57949052e-05,5.618085834e-05,3.782313563e-05,1.96990308e-05,4.374307244e-06,7.958464738e-05,6.552178095e-06,3.77865864e-05,5.280134409e-05,5.596834519e-05,328.3118082,3.550816246e-05,0.0,4.136004235e-05,0.0,3.449072899e-05,0.0,9.189270613e-05,3.440708894e-05,0.0001574708466,0.0001530965394,3.57949052e-05,0.0,5.618085834e-05,0.0,3.782313563e-05,0.0,0.001747570888,0.001615184896,0.0003821527836,0.0003196322603
30,943.5625,3.608682143e-05,4.260206293e-05,3.576560039e-05,3.69364935e-05,5.806151161e-05,3.903186027e-05,2.030327184e-05,4.5085936e-06,8.126324852e-05,6.75360758e-06,3.89467292e-05,5.391592063e-05,5.769056729e-05,328.3524499,3.608682143e-05,0.0,4.260206293e-05,0.0,3.576560039e-05,0.0,9.471248074e-05,3.54624797e-05,0.000162305026,0.0001577964324,3.69364935e-05,0.0,5.806151161e-05,0.0,3.903186027e-05,0.0,0.001784431581,0.001649252412,0.0003939026868,0.0003294585119
31,974.0,3.666538768e-05,4.384370656e-05,3.704034533e-05,3.807804115e-05,5.994197303e-05,4.024053959e-05,2.090751284e-05,4.642879945e-06,8.294184966e-05,6.955037065e-06,4.010687192e-05,5.503049717e-05,5.94127894e-05,328.3930916,3.666538768e-05,0.0,4.384370656e-05,0.0,3.704034533e-05,0.0,9.753225515e-05,3.651787039e-05,0.0001671392051,0.0001624963252,3.807804115e-05,0.0,5.994197303e-05,0.0,4.024053959e-05,0.0,0.001821292274,0.001683319928,0.00040565259,0.0003392847635
32,1004.4375,3.724388474e-05,4.508506859e-05,3.831499575e-05,3.921956065e-05,6.182230165e-05,4.144918754e-05,2.15117538e-05,4.777166284e-06,8.46204508e-05,7.15646655e-06,4.126701458e-05,5.614507371e-05,6.11350115e-05,328.4337332,3.724388474e-05,0.0,4.508506859e-05,0.0,3.831499575e-05,0.0,0.0001003520294,3.757326102e-05,0.0001719733839,0.0001671962176,3.921956065e-05,0.0,6.182230165e-05,0.0,4.144918754e-05,0.0,0.001858152968,0.001717387443,0.0004174024932,0.0003491110151
33,1034.875,3.782233014e-05,4.632622024e-05,3.958957554e-05,4.036106067e-05,6.370253834e-05,4.265781376e-05,2.211599474e-05,4.911452618e-06,8.629905194e-05,7.357896036e-06,4.242715718e-05,5.725965024e-05,6.285723361e-05,328.4743749,3.782233014e-05,0.0,4.632622024e-05,0.0,3.958957554e-05,0.0,0.0001031718035,3.862865161e-05,0.0001768075626,0.00017189611,4.036106067e-05,0.0,6.370253834e-05,0.0,4.265781376e-05,0.0,0.001895013661,0.001751454959,0.0004291523963,0.0003589372667
34,1065.3125,3.840073697e-05,4.756721474e-05,4.086410257e-05,4.150254719e-05,6.558271137e-05,4.386642495e-05,2.272023566e-05,5.045738948e-06,8.797765308e-05,7.559325521e-06,4.358729975e-05,5.837422678e-05,6.457945571e-05,328.5150166,3.840073697e-05,0.0,4.756721474e-05,0.0,4.086410257e-05,0.0,0.0001059915776,3.968404216e-05,0.0001816417411,0.0001765960021,4.150254719e-05,0.0,6.558271137e-05,0.0,4.386642495e-05,0.0,0.001931874355,0.001785522475,0.0004409022995,0.0003687635183
35,1095.75,3.897911498e-05,4.880809183e-05,4.213859018e-05,4.264402438e-05,6.746284034e-05,4.507502573e-05,2.332447656e-05,5.180025276e-06,8.965625422e-05,7.760755006e-06,4.47474423e-05,5.948880332e-05,6.630167781e-05,328.5556582,3.897911498e-05,0.0,4.880809183e-05,0.0,4.213859018e-05,0.0,0.0001088113516,4.073943269e-05,0.0001864759195,0.0001812958942,4.264402438e-05,0.0,6.746284034e-05,0.0,4.507502573e-05,0.0,0.001968735048,0.001819589991,0.0004526522027,0.0003785897699
36,1126.1875,3.955752522e-05,5.004888427e-05,4.341299506e-05,4.378543339e-05,6.934289791e-05,4.628355618e-05,2.392865566e-05,5.31429793e-06,9.133470839e-05,7.962164535e-06,4.590746968e-05,6.06032858e-05,6.802373433e-05,328.5962959,3.955752522e-05,0.0,5.004888427e-05,0.0,4.341299506e-05,0.0,0.0001116308406,4.179471527e-05,0.0001913096057,0.0001859953078,4.378543339e-05,0.0,6.934289791e-05,0.0,4.628355618e-05,0.0,0.002005592518,0.001853654524,0.0004644009468,0.0003884150479
37,1156.625,4.013599469e-05,5.12896167e-05,4.468730009e-05,4.492675128e-05,7.122285243e-05,4.749199185e-05,2.453277282e-05,5.448556824e-06,9.301299416e-05,8.163553439e-06,4.706737828e-05,6.171765714e-05,6.974561486e-05,328.6369294,4.013599469e-05,0.0,5.12896167e-05,0.0,4.468730009e-05,0.0,0.0001144500408,4.284988967e-05,0.0001961427965,0.0001906942397,4.492675128e-05,0.0,7.122285243e-05,0.0,4.749199185e-05,0.0,0.00204244629,0.001887715639,0.0004761484882,0.0003982393199
38,1187.0625,4.071448247e-05,5.253030414e-05,4.596155288e-05,4.606802946e-05,7.310271894e-05,4.870038435e-05,2.513688984e-05,5.582815626e-06,9.469125534e-05,8.364941649e-06,4.82272831e-05,6.283200872e-05,7.146748443e-05,328.6775627,4.071448247e-05,0.0,5.253030414e-05,0.0,4.596155288e-05,0.0,0.0001172692368,4.390506381e-05,0.0002009759841,0.0001953931685,4.606802946e-05,0.0,7.310271894e-05,0.0,4.870038435e-05,0.0,0.002079299519,0.001921776255,0.0004878959841,0.000408063558
39,1217.5,4.129297354e-05,5.377095729e-05,4.723577703e-05,4.720928734e-05,7.498251939e-05,4.990875413e-05,2.574100685e-05,5.717074423e-06,9.636951292e-05,8.566329834e-06,4.938718777e-05,6.394635725e-05,7.318935343e-05,328.718196,4.129297354e-05,0.0,5.377095729e-05,0.0,4.723577703e-05,0.0,0.0001200884326,4.496023794e-05,0.0002058091714,0.000200092097,4.720928734e-05,0.0,7.498251939e-05,0.0,4.990875413e-05,0.0,0.002116152668,0.001955836798,0.0004996434781,0.0004178877948
40,1247.9375,4.187146291e-05,5.501158432e-05,4.850998453e-05,4.835053332e-05,7.686227252e-05,5.111711045e-05,2.634512385e-05,5.851333217e-06,9.804776997e-05,8.767718017e-06,5.054709242e-05,6.506070533e-05,7.491122241e-05,328.7588294,4.187146291e-05,0.0,5.501158432e-05,0.0,4.850998453e-05,0.0,0.0001229076283,4.601541206e-05,0.0002106423587,0.0002047910255,4.835053332e-05,0.0,7.686227252e-05,0.0,5.111711045e-05,0.0,0.002153005806,0.001989897331,0.000511390972,0.0004277120316
