,0,1,2
0,w1l1,interbed-compaction,"(356,)"
1,w1l2,interbed-compaction,"(357,)"
2,w1l3,interbed-compaction,"(358,)"
3,w1l4,interbed-compaction,"(359,)"
4,w2l1,interbed-compaction,"(520,)"
5,w2l2,interbed-compaction,"(521,)"
6,w2l3,interbed-compaction,"(522,)"
7,w2l4,interbed-compaction,"(523,)"
8,s1l1,coarse-compaction,"(0, 8, 9)"
9,s1l2,coarse-compaction,"(1, 8, 9)"
10,s1l3,coarse-compaction,"(2, 8, 9)"
11,s1l4,coarse-compaction,"(3, 8, 9)"
12,s2l1,coarse-compaction,"(0, 11, 6)"
13,s2l2,coarse-compaction,"(1, 11, 6)"
14,s2l3,coarse-compaction,"(2, 11, 6)"
15,s2l4,coarse-compaction,"(3, 11, 6)"
16,c1l1,compaction-cell,"(0, 8, 9)"
17,c1l2,compaction-cell,"(1, 8, 9)"
18,c1l3,compaction-cell,"(2, 8, 9)"
19,c1l4,compaction-cell,"(3, 8, 9)"
20,c2l1,compaction-cell,"(0, 11, 6)"
21,c2l2,compaction-cell,"(1, 11, 6)"
22,c2l3,compaction-cell,"(2, 11, 6)"
23,c2l4,compaction-cell,"(3, 11, 6)"
24,w2l4q,csub-cell,"(3, 11, 6)"
25,gs1,gstress-cell,"(0, 8, 9)"
26,es1,estress-cell,"(0, 8, 9)"
27,pc1,preconstress-cell,"(0, 8, 9)"
28,gs2,gstress-cell,"(1, 8, 9)"
29,es2,estress-cell,"(1, 8, 9)"
30,pc2,preconstress-cell,"(1, 8, 9)"
31,gs3,gstress-cell,"(2, 8, 9)"
32,es3,estress-cell,"(2, 8, 9)"
33,pc3,preconstress-cell,"(2, 8, 9)"
34,gs4,gstress-cell,"(3, 8, 9)"
35,es4,estress-cell,"(3, 8, 9)"
36,pc4,preconstress-cell,"(3, 8, 9)"
37,sk1l2,ske-cell,"(1, 8, 9)"
38,sk2l4,ske-cell,"(3, 11, 6)"
39,t1l2,theta,"(1, 8, 9)"
40,w1qie,elastic-csub,"(357,)"
41,w1qii,inelastic-csub,"(357,)"
42,w1qaq,coarse-csub,"(1, 8, 9)"
43,w1qt,csub-cell,"(1, 8, 9)"
44,w1wc,wcomp-csub-cell,"(1, 8, 9)"
45,w2qie,elastic-csub,"(523,)"
46,w2qii,inelastic-csub,"(523,)"
47,w2qaq,coarse-csub,"(3, 11, 6)"
48,w2qt,csub-cell,"(3, 11, 6)"
49,w2wc,wcomp-csub-cell,"(3, 11, 6)"
