time,H1L1,H1L2,H1L3,H1L4,H2L1,H2L2,H3L2,H4L2
0.000000000000,136.2245081,136.2244821,136.2229359,136.2213865,133.0280642,133.0280289,133.0261773,133.0243222
365.2500000000,126.1220290,125.7715390,129.3482489,132.9113999,130.0331371,129.9385291,119.6108915,109.2030521
730.5000000000,120.8023039,120.5385568,125.7293895,130.9153781,128.0669158,127.9905269,117.8889778,107.7454684
1095.750000000,117.6729509,117.4504205,123.4751812,129.4988329,126.6847019,126.6193463,116.7709847,106.8825128
1461.000000000,115.6220854,115.4208343,121.9135304,128.4071381,125.6292256,125.5702431,115.8850323,106.1604452
1826.250000000,114.1878627,113.9991198,120.7623420,127.5277209,124.7735858,124.7186917,115.1597539,105.5322499
2191.500000000,113.0670544,112.8852477,119.8290875,126.7758148,124.0414428,123.9891352,114.5065888,104.9577742
2556.750000000,112.1344947,111.9574221,119.0328538,126.1116675,123.3944774,123.3440200,113.9186153,104.4297591
2922.000000000,111.3327432,111.1591967,118.3346979,125.5139490,122.8099435,122.7608931,113.3807934,103.9394716
3287.250000000,110.6259618,110.4551637,117.7096368,124.9681432,122.2734499,122.2255208,112.8826659,103.4803831
3652.500000000,109.9908236,109.8222512,117.1409959,124.4639991,121.7754058,121.7284036,112.4170107,103.0476757
4017.750000000,109.4115132,109.2447999,116.6171900,123.9940219,121.3090966,121.2628825,111.9786157,102.6376657
4383.000000000,108.8768908,108.7117697,116.1298690,123.5525627,120.8696007,120.8240710,111.5635534,102.2474377
4748.250000000,108.3788340,108.2151044,115.6728153,123.1352495,120.4531606,120.4082346,111.1687518,101.8746179
5113.500000000,107.9112374,107.7487436,115.2412662,122.7386224,120.0568059,120.0124189,110.7917320,101.5172286
5478.750000000,107.4693881,107.3080066,114.8314839,122.3598907,119.6781201,119.6342187,110.4304441,101.1735934
5844.000000000,107.0495652,106.8891960,114.4404748,121.9967668,119.3150923,119.2716317,110.0831593,100.8422715
6209.250000000,106.6487738,106.4893345,114.0657989,121.6473505,118.9660191,118.9229609,109.7483979,100.5220118
6574.500000000,106.2645638,106.1059856,113.7054387,121.3100447,118.6294372,118.5867483,109.4248790,100.2117190
6939.750000000,105.8949032,105.7371276,113.3577051,120.9834943,118.3040768,118.2617282,109.1114835,99.91042863
7305.000000000,105.5380865,105.3810639,113.0211695,120.6665397,117.9888266,117.9467927,108.8072277,99.61728701
7670.250000000,105.1926686,105.0363560,112.6946124,120.3581812,117.6827079,117.6409663,108.5112420,99.33153582
8035.500000000,104.8574138,104.7017741,112.3769852,120.0575520,117.3848551,117.3433856,108.2227546,99.05249942
8400.750000000,104.5312582,104.3762588,112.0673797,119.7638960,117.0944988,117.0532836,107.9410784,98.77957431
8766.000000000,104.2148022,104.0604648,111.7726746,119.4797228,116.8109601,116.7699833,107.6656154,98.51224634
9131.250000000,103.9054081,103.7516555,111.4791281,119.1991563,116.5336260,116.4928734,107.3958038,98.25000413
9496.500000000,103.6021952,103.4489967,111.1896502,118.9230363,116.2619481,116.2214067,107.1311517,97.99241460
9861.750000000,103.3047626,103.1521024,110.9053381,118.6515632,115.9954348,115.9550931,106.8712186,97.73908937
10227.00000000,103.0126825,102.8605451,110.6258515,118.3843880,115.7336447,115.6934922,106.6156074,97.48967661
10592.25000000,102.7255313,102.5739023,110.3508081,118.1211666,115.4761807,115.4362081,106.3639605,97.24385912
10957.50000000,102.4429113,102.2917771,110.0798519,117.8615848,115.2226855,115.1828843,106.1159561,97.00135103
11322.75000000,102.1644569,102.0138051,109.8126579,117.6053586,114.9728372,114.9331998,105.8713039,96.76189448
11688.00000000,101.8898359,101.7396552,109.5489312,117.3522307,114.7263456,114.6868650,105.6297421,96.52525672
12053.25000000,101.6187494,101.4690296,109.2884108,117.1019786,114.4829829,114.4436537,105.3911385,96.29140705
12418.50000000,101.3509670,101.2016998,109.0309601,116.8545651,114.2431367,114.2039692,105.1571357,96.06333364
12783.75000000,101.0862180,100.9373942,108.7762158,116.6095204,114.0058917,113.9668633,104.9242355,95.83467385
13149.00000000,100.8242736,100.6758853,108.5240174,116.3667640,113.7709852,113.7320895,104.6933417,95.60775761
13514.25000000,100.5649288,100.4169689,108.2741887,116.1261461,113.5382612,113.4994943,104.4644732,95.38271695
13879.50000000,100.3079976,100.1604596,108.0265650,115.8875233,113.3075837,113.2689423,104.2375190,95.15945671
14244.75000000,100.0533118,99.90618981,107.7809968,115.6507647,113.0788269,113.0403079,104.0123637,94.93787131
14610.00000000,99.80072140,99.65401000,107.5373552,115.4157634,112.8520487,112.8136535,103.7894358,94.71878763
14975.25000000,99.55009392,99.40378835,107.2955277,115.1824269,112.6274106,112.5891435,103.5691447,94.50285751
15340.50000000,99.30130071,99.15539635,107.0553831,114.9506199,112.4043185,112.3661647,103.3493843,94.28633057
15705.75000000,99.05432565,98.90881984,106.8169150,114.7203500,112.1826340,112.1445902,103.1308358,94.07086917
16071.00000000,98.81027869,98.66518595,106.5811449,114.4925785,111.9623073,111.9243721,102.9135927,93.85666895
16436.25000000,98.56905703,98.42437083,106.3478720,114.2669704,111.7503813,111.7126393,102.7021691,93.64578116
16801.50000000,98.32923236,98.18492672,106.1157898,114.0423139,111.5378661,111.5001538,102.4910988,93.43616636
17166.75000000,98.09040958,97.94647702,105.8846743,113.8185892,111.3247738,111.2871323,102.2803983,93.22782733
17532.00000000,97.85249171,97.70892984,105.6544411,113.5957229,111.1117364,111.0741768,102.0697421,93.01947987
17897.25000000,97.61562673,97.47243696,105.4252353,113.3738636,110.8991199,110.8616489,101.8596009,92.81175824
18262.50000000,97.38081112,97.23800704,105.1979690,113.1538608,110.6871594,110.6497817,101.6502518,92.60497376
