,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,0.0,2.7811737754935043e-51,8.342565580938272e-50,2.4028888269146553e-48,6.621138978776927e-47,1.7355948485263756e-45,4.298326782053178e-44,9.972326765419394e-43,2.1442852939413562e-41,4.214390298496164e-40,7.432253877333988e-39,1.1462694004754362e-37,1.4889021339706076e-36,1.5339623829232334e-35,1.1243324199514043e-34,4.546206180133612e-34,2.2706193583244143e-34,6.204486854354134e-35,9.937081636456769e-36,1.178509186809831e-36,1.1394061093606597e-37,9.447811436623217e-39,6.954207170732807e-40,4.658803204305961e-41,2.8934910580410204e-42,1.6892334760804424e-43,9.367819758215522e-45,4.9750092089922905e-46,2.546383223801195e-47,1.2625092155610616e-48,6.088491515143642e-50,2.8655584644223874e-51,1.319904624748565e-52,5.963781795359597e-54,2.6485139448985037e-55,1.1580127248173264e-56,4.992080259636457e-58,2.124463625263248e-59,8.934887775310886e-61,3.7171938270476155e-62,1.5310620059729496e-63,6.248062736093421e-65,2.527906943916585e-66,1.0146061953776028e-67,4.04210401218434e-69,1.6571244444967777e-70
1,9.323886464775188e-51,2.9078888137239487e-49,9.016623754880759e-48,2.6907084347637154e-46,7.691715415075896e-45,2.0946380340698634e-43,5.397483790782235e-42,1.3050707910479155e-40,2.9298009174692404e-39,6.023417619277216e-38,1.1134780480595448e-36,1.8041216800021e-35,2.467639133432501e-34,2.683436039461462e-33,2.0800467731274376e-32,8.885051269307619e-32,4.202508661330622e-32,1.0876450636148985e-32,1.670119625625504e-33,1.9101870954582008e-34,1.7912140416724842e-35,1.448150271027271e-36,1.0437193866249634e-37,6.868634315668047e-39,4.200931174815147e-40,2.4196935039302863e-41,1.3258596969798167e-42,6.965500939979137e-44,3.530178077591474e-45,1.7344605974366429e-46,8.294378564526357e-48,3.8732159655240214e-49,1.7709368262507582e-50,7.946256855767765e-52,3.5057688514619347e-53,1.523266284184252e-54,6.527568530437668e-56,2.762100493990095e-57,1.1553177633124597e-58,4.7812577251066834e-60,1.9593796449603682e-61,7.956961157916751e-63,3.2041287642255454e-64,1.280144313404558e-65,5.077386199492188e-67,2.0692267079237078e-68
2,9.16204293682643e-49,2.958296635957449e-47,9.50039362998092e-46,2.9401015211706135e-44,8.728276293178692e-43,2.4722109982286715e-41,6.63676506183771e-40,1.6748138604633933e-38,3.9317386531139896e-37,8.470798522241001e-36,1.644743456572835e-34,2.8060762372881962e-33,4.0521788875140106e-32,4.665110432505939e-31,3.837586056946543e-30,1.739019627967246e-29,7.757076236014089e-30,1.8947163542310873e-30,2.783289632880615e-31,3.0649905263364426e-32,2.7834068551876084e-33,2.191066442350979e-34,1.544350806478578e-35,9.973140449132823e-37,6.001250387173106e-38,3.407766121522009e-39,1.843786264163634e-40,9.576807640597973e-42,4.803624712298208e-43,2.337822520130825e-44,1.1081949823387099e-45,5.132783759979314e-47,2.328947915832267e-48,1.0375078383312451e-49,4.5462825615115256e-51,1.9626621575359074e-52,8.358978958091702e-54,3.5163717508608536e-55,1.4625805198392622e-56,6.020364953551328e-58,2.454438139788405e-59,9.917824870190152e-61,3.974578190902387e-62,1.5806008817438016e-63,6.240924380950724e-65,2.528136139699896e-66
3,8.645390784201856e-47,2.893486069729543e-45,9.635826471461654e-44,3.096591769041953e-42,9.56057007276756e-41,2.8209205617750488e-39,7.902998108125737e-38,2.0853719093814282e-36,5.129962105219893e-35,1.1608753634726185e-33,2.3735954846341912e-32,4.276347811106318e-31,6.541002918307224e-30,8.001737153287813e-29,7.015227992552251e-28,3.389610061395811e-27,1.4187647944252747e-27,3.2565018745783598e-28,4.56363097069468e-29,4.82832535822845e-30,4.238084150336024e-31,3.2423451585443555e-32,2.231174899149355e-33,1.4117468378873556e-34,8.346627285399581e-36,4.666874450174658e-37,2.490572807182377e-38,1.2777322186740027e-39,6.337324792664492e-41,3.052596069787675e-42,1.4332859954655066e-43,6.579841828361801e-45,2.960836691035758e-46,1.30873585971499e-47,5.6925929609990316e-49,2.4403807267056414e-50,1.0324537211031209e-51,4.315678888285816e-53,1.7841433688816892e-54,7.30122835219653e-56,2.959963061500691e-57,1.189601094040735e-58,4.742518752639622e-60,1.876503286503251e-61,7.373160637853936e-63,2.9677361163065192e-64
4,7.797351525489363e-45,2.70835148983976e-43,9.365137991156668e-42,3.1297092399535203e-40,1.0064937619140612e-38,3.0988644816721426e-37,9.076918264246398e-36,2.5095631855244212e-34,6.483711825592011e-33,1.5449776686883127e-31,3.335951338601529e-30,6.367065251423066e-29,1.0353132772440532e-27,1.3514157856617565e-26,1.2688503419537508e-25,6.575103648597478e-25,2.5676609710061866e-25,5.511210501824991e-26,7.34451127896823e-27,7.447432491155636e-28,6.304419708113413e-29,4.677732073052244e-30,3.1365091764257266e-31,1.941040143850183e-32,1.125734622338666e-33,6.18886093621828e-35,3.253494231108594e-36,1.646674291585803e-37,8.067208519637511e-39,3.842178089983962e-40,1.7852640042792504e-41,8.116361422851385e-43,3.619155055315856e-44,1.5860840445910584e-45,6.843388392130409e-47,2.911298891765065e-48,1.2227260065495677e-49,5.075529153440687e-51,2.0843256608506813e-52,8.475261448635789e-54,3.414852794338652e-55,1.364311685014164e-56,5.408015263954964e-58,2.128030424587666e-59,8.316814533776703e-61,3.324699457176479e-62
5,6.683820609322864e-43,2.4125613848477865e-41,8.674572342567938e-40,3.0192799339778646e-38,1.0130883522366451e-36,3.260774008967472e-35,1.0006165622411835e-33,2.9051212759467614e-32,7.902470725064662e-31,1.9883682431578903e-29,4.5481543470443415e-28,9.229131324957531e-27,1.6019011668445388e-25,2.2417747121720027e-24,2.2667014484988033e-23,1.2682174885851778e-22,4.590052070204098e-23,9.161305769843434e-24,1.1566867823348229e-24,1.1209756998332553e-25,9.128666356512142e-27,6.5532872240472775e-28,4.271967446029362e-29,2.580321989243412e-30,1.465186636967778e-31,7.906267815451867e-33,4.0877914135513985e-34,2.0381436655125925e-35,9.849703801944879e-37,4.632726061044818e-38,2.127798249467586e-39,9.569891041310957e-41,4.2244520359747e-42,1.833865209217517e-43,7.841849790861379e-45,3.3078178720971374e-46,1.378067326598724e-47,5.676352274326183e-49,2.3139000511942755e-50,9.342299029056154e-52,3.7386357986707386e-53,1.483897738806514e-54,5.844902404990607e-56,2.2859048495733536e-57,8.880998327186078e-59,3.5240384819702016e-60
6,5.407940813845098e-41,2.0314306211441818e-39,7.60680915929023e-38,2.762174780995502e-36,9.687808383036185e-35,3.266257580907184e-33,1.052366479451657e-31,3.216353350712895e-30,9.236849307738922e-29,2.4616845868566727e-27,5.985965303542848e-26,1.2966207164852492e-24,2.413538913614437e-23,3.6409829817876976e-22,3.9903575805018785e-21,2.4296919975936713e-20,8.086824020573856e-21,1.4911494386046693e-21,1.7758964536344927e-22,1.6394756352539403e-23,1.2806512319295937e-24,8.870552507763975e-26,5.607106711649894e-27,3.2974045608596358e-28,1.828999191023977e-29,9.666666112106494e-31,4.9059691427354024e-32,2.4053508549267704e-33,1.144769682115289e-34,5.30911345736642e-36,2.4069243348001667e-37,1.0694867097428478e-38,4.667791059088603e-40,2.0048117268893008e-41,8.486848444073779e-43,3.54583074419736e-44,1.4638516756470635e-45,5.977599828616916e-47,2.4165491056150802e-48,9.679336968470676e-50,3.8439686066783236e-51,1.5144953573237581e-52,5.923125702081428e-54,2.3006212076594704e-55,8.878841942560532e-57,3.494758245623289e-58
7,4.095200672057632e-39,1.603376264170977e-37,6.263195653738077e-36,2.3770133700565096e-34,8.731804964856128e-33,3.090535139441041e-31,1.0480297790602851e-29,3.3809887824656683e-28,1.028211035619258e-26,2.9124450039383447e-25,7.55843193080708e-24,1.7556679819859037e-22,3.523454976453493e-21,5.766219815613252e-20,6.902152203846393e-19,4.617014848299374e-18,1.4000802621995372e-18,2.366886455695022e-19,2.6450057286564208e-20,2.3169503330729898e-21,1.7301710500984634e-22,1.1526388222583686e-23,7.04321282972377e-25,4.020879249255501e-26,2.172615474732596e-27,1.1217676915603284e-28,5.574784941387144e-30,2.681676275023307e-31,1.2542392318095273e-32,5.724244312552141e-34,2.556839274566437e-35,1.1204704634060748e-36,4.827264507054577e-38,2.048143650748275e-39,8.570830410426413e-41,3.541956235689334e-42,1.4471113723084283e-43,5.850843666242614e-45,2.342937648193016e-46,9.299364930556576e-48,3.660867668330819e-49,1.430241522797547e-50,5.5482852643823135e-52,2.138150807522901e-53,8.189238941538467e-55,3.1944528345763223e-56
8,2.8713825545667655e-37,1.1737514858456359e-35,4.791748581145867e-34,1.9045263101372687e-32,7.3436414041439645e-31,2.7352519107432805e-29,9.788737767953662e-28,3.34328274247383e-26,1.0803365929564013e-24,3.264941489926488e-23,9.083484494523597e-22,2.2743285384158797e-20,4.951586796797469e-19,8.856341748939876e-18,1.168437179914674e-16,8.6857523993594e-16,2.3727488856789586e-16,3.6441143764322556e-17,3.7966102111579915e-18,3.1406059834829237e-19,2.2329799581551773e-20,1.4254441361380638e-21,8.389819120034149e-23,4.633458134194793e-24,2.430697074892667e-25,1.2221274082544945e-26,5.929220137294519e-28,2.7902962423163076e-29,1.279022283449466e-30,5.72974802507765e-32,2.5154378899972407e-33,1.0846768052516147e-34,4.602827578884328e-36,1.9252585221981377e-37,7.948659072911713e-39,3.2430718837625583e-40,1.3089595459518764e-41,5.231124715170071e-43,2.0716090042067597e-44,8.135211795308383e-46,3.1699224683017437e-47,1.2262760425236031e-48,4.711982400622338e-50,1.799240094101323e-51,6.830120402209071e-53,2.6372455510158033e-54
9,1.838399779956925e-35,7.860588348274054e-34,3.360524446312183e-32,1.4019017925207054e-30,5.687881349576637e-29,2.2354293788992863e-27,8.46798884212901e-26,3.072288445444686e-24,1.0588826901122124e-22,3.429244654375959e-21,1.0279667764624114e-19,2.7910632771359623e-18,6.639803026027003e-17,1.3094690412522677e-15,1.9254058392064603e-14,1.6135127345205732e-13,3.915112517246661e-14,5.402282599079853e-15,5.205099512588007e-16,4.041812012331612e-17,2.7227666828533202e-18,1.6580448316800386e-19,9.359772935409939e-21,4.979776982893863e-22,2.5259989583400534e-23,1.231882047069559e-24,5.812311552338663e-26,2.6661349367620087e-27,1.1935360908728186e-28,5.2305917004999424e-30,2.2497027468386113e-31,9.516299352328507e-33,3.9659081356385085e-34,1.6307801097688815e-35,6.624900596259815e-37,2.661774991500256e-38,1.0587305508659e-39,4.172378746813543e-41,1.630364053767043e-42,6.320764567061421e-44,2.4327026453046274e-45,9.29964232890724e-47,3.532657923185091e-48,1.3340600153262712e-49,5.010231725052159e-51,1.911688671444843e-52
