,0,2,4,5,6,7,8,9,10,11
0,"[0, 5, 3, 0]","[0, 5, 3, -0.85]","[0, 5, 3, -1.7]","[0, 5, 3, 0.0]","[0, 5, 3, -0.85]","[0, 5, 3, 0.0]","[0, 5, 3, -0.85]","[0, 5, 3, 0.0]","[0, 5, 3, -2.55]","[0, 5, 3, 0.0]"
1,"[0, 5, 4, 0]","[0, 5, 4, -0.85]","[0, 5, 4, -1.7]","[0, 5, 4, 0.0]","[0, 5, 4, -0.85]","[0, 5, 4, 0.0]","[0, 5, 4, -0.85]","[0, 5, 4, 0.0]","[0, 5, 4, -2.55]","[0, 5, 4, 0.0]"
2,"[0, 6, 3, 0]","[0, 6, 3, -0.85]","[0, 6, 3, -1.7]","[0, 6, 3, 0.0]","[0, 6, 3, -0.85]","[0, 6, 3, 0.0]","[0, 6, 3, -0.85]","[0, 6, 3, 0.0]","[0, 6, 3, -2.55]","[0, 6, 3, 0.0]"
3,"[0, 6, 4, 0]","[0, 6, 4, -0.85]","[0, 6, 4, -1.7]","[0, 6, 4, 0.0]","[0, 6, 4, -0.85]","[0, 6, 4, 0.0]","[0, 6, 4, -0.85]","[0, 6, 4, 0.0]","[0, 6, 4, -2.55]","[0, 6, 4, 0.0]"
4,"[0, 7, 3, 0]","[0, 7, 3, -0.85]","[0, 7, 3, -1.7]","[0, 7, 3, 0.0]","[0, 7, 3, -0.85]","[0, 7, 3, 0.0]","[0, 7, 3, -0.85]","[0, 7, 3, 0.0]","[0, 7, 3, -2.55]","[0, 7, 3, 0.0]"
5,"[0, 7, 4, 0]","[0, 7, 4, -0.85]","[0, 7, 4, -1.7]","[0, 7, 4, 0.0]","[0, 7, 4, -0.85]","[0, 7, 4, 0.0]","[0, 7, 4, -0.85]","[0, 7, 4, 0.0]","[0, 7, 4, -2.55]","[0, 7, 4, 0.0]"
6,"[0, 8, 3, 0]","[0, 8, 3, -0.85]","[0, 8, 3, -1.7]","[0, 8, 3, 0.0]","[0, 8, 3, -0.85]","[0, 8, 3, 0.0]","[0, 8, 3, -0.85]","[0, 8, 3, 0.0]","[0, 8, 3, -2.55]","[0, 8, 3, 0.0]"
7,"[0, 8, 4, 0]","[0, 8, 4, -0.85]","[0, 8, 4, -1.7]","[0, 8, 4, 0.0]","[0, 8, 4, -0.85]","[0, 8, 4, 0.0]","[0, 8, 4, -0.85]","[0, 8, 4, 0.0]","[0, 8, 4, -2.55]","[0, 8, 4, 0.0]"
8,"[0, 9, 3, 0]","[0, 9, 3, -0.85]","[0, 9, 3, -1.7]","[0, 9, 3, 0.0]","[0, 9, 3, -0.85]","[0, 9, 3, 0.0]","[0, 9, 3, -0.85]","[0, 9, 3, 0.0]","[0, 9, 3, -2.55]","[0, 9, 3, 0.0]"
9,"[0, 9, 4, 0]","[0, 9, 4, -0.85]","[0, 9, 4, -1.7]","[0, 9, 4, 0.0]","[0, 9, 4, -0.85]","[0, 9, 4, 0.0]","[0, 9, 4, -0.85]","[0, 9, 4, 0.0]","[0, 9, 4, -2.55]","[0, 9, 4, 0.0]"
