,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,3.34e-10,6.68e-10,6.68e-10,3.34e-10,6.68e-10,2.68e-09,2.68e-09,1.67e-09,1.67e-09,3.34e-10,3.34e-10,2.68e-09,2.68e-09,1.67e-09,1.67e-09,2.68e-09,1.67e-09,3.34e-10,3.34e-10,3.34e-10,3.34e-10,3.34e-10,3.34e-10,6.68e-10,2.68e-09,1.67e-09,3.34e-10,3.34e-10,3.34e-10,3.34e-10,3.34e-10,3.34e-10,3.34e-10,3.34e-10,2.68e-09,1.67e-09,1.67e-09,6.68e-10,6.68e-10,3.34e-10,3.34e-10,3.34e-10,3.34e-10,1.67e-09,2.68e-09,1.67e-09,1.67e-09,6.68e-10,6.68e-10,3.34e-10,3.34e-10,6.68e-10,6.68e-10,1.67e-09,1.67e-09,6.68e-10,6.68e-10,3.34e-10,3.34e-10,6.68e-10,1.67e-09,1.67e-09,1.67e-09,6.68e-10,6.68e-10,3.34e-10,3.34e-10,6.68e-10,1.67e-09,1.67e-09,1.67e-09,6.68e-10,6.68e-10,3.34e-10,1.67e-09,2.68e-09,3.34e-10,3.34e-10,1.67e-09,3.34e-10,3.34e-10,3.34e-10,3.34e-10,3.34e-10,6.68e-10,3.34e-10,3.34e-10,6.68e-10,6.68e-10,3.34e-10,3.34e-10,6.68e-10,1.67e-09,1.67e-09,6.68e-10,3.34e-10,2.68e-09,2.68e-09,2.68e-09,2.68e-09
1,4e-08,8e-08,8e-08,4e-08,8e-08,3.2e-07,3.2e-07,2e-07,2e-07,4e-08,4e-08,3.2e-07,3.2e-07,2e-07,2e-07,3.2e-07,2e-07,4e-08,4e-08,4e-08,4e-08,4e-08,4e-08,8e-08,3.2e-07,2e-07,4e-08,4e-08,4e-08,4e-08,4e-08,4e-08,4e-08,4e-08,3.2e-07,2e-07,2e-07,8e-08,8e-08,4e-08,4e-08,4e-08,4e-08,2e-07,3.2e-07,2e-07,2e-07,8e-08,8e-08,4e-08,4e-08,8e-08,8e-08,2e-07,2e-07,8e-08,8e-08,4e-08,4e-08,8e-08,2e-07,2e-07,2e-07,8e-08,8e-08,4e-08,4e-08,8e-08,2e-07,2e-07,2e-07,8e-08,8e-08,4e-08,2e-07,3.2e-07,4e-08,4e-08,2e-07,4e-08,4e-08,4e-08,4e-08,4e-08,8e-08,4e-08,4e-08,8e-08,8e-08,4e-08,4e-08,8e-08,2e-07,2e-07,8e-08,4e-08,3.2e-07,3.2e-07,3.2e-07,3.2e-07
2,1e-08,2e-08,2e-08,1e-08,2e-08,8e-08,8e-08,5e-08,5e-08,1e-08,1e-08,8e-08,8e-08,5e-08,5e-08,8e-08,5e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,2e-08,8e-08,5e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,8e-08,5e-08,5e-08,2e-08,2e-08,1e-08,1e-08,1e-08,1e-08,5e-08,8e-08,5e-08,5e-08,2e-08,2e-08,1e-08,1e-08,2e-08,2e-08,5e-08,5e-08,2e-08,2e-08,1e-08,1e-08,2e-08,5e-08,5e-08,5e-08,2e-08,2e-08,1e-08,1e-08,2e-08,5e-08,5e-08,5e-08,2e-08,2e-08,1e-08,5e-08,8e-08,1e-08,1e-08,5e-08,1e-08,1e-08,1e-08,1e-08,1e-08,2e-08,1e-08,1e-08,2e-08,2e-08,1e-08,1e-08,2e-08,5e-08,5e-08,2e-08,1e-08,8e-08,8e-08,8e-08,8e-08
3,2e-08,4e-08,4e-08,2e-08,4e-08,1.6e-07,1.6e-07,1e-07,1e-07,2e-08,2e-08,1.6e-07,1.6e-07,1e-07,1e-07,1.6e-07,1e-07,2e-08,2e-08,2e-08,2e-08,2e-08,2e-08,4e-08,1.6e-07,1e-07,2e-08,2e-08,2e-08,2e-08,2e-08,2e-08,2e-08,2e-08,1.6e-07,1e-07,1e-07,4e-08,4e-08,2e-08,2e-08,2e-08,2e-08,1e-07,1.6e-07,1e-07,1e-07,4e-08,4e-08,2e-08,2e-08,4e-08,4e-08,1e-07,1e-07,4e-08,4e-08,2e-08,2e-08,4e-08,1e-07,1e-07,1e-07,4e-08,4e-08,2e-08,2e-08,4e-08,1e-07,1e-07,1e-07,4e-08,4e-08,2e-08,1e-07,1.6e-07,2e-08,2e-08,1e-07,2e-08,2e-08,2e-08,2e-08,2e-08,4e-08,2e-08,2e-08,4e-08,4e-08,2e-08,2e-08,4e-08,1e-07,1e-07,4e-08,2e-08,1.6e-07,1.6e-07,1.6e-07,1.6e-07
4,2.5e-08,5e-08,5e-08,2.5e-08,5e-08,2e-07,2e-07,1.25e-07,1.25e-07,2.5e-08,2.5e-08,2e-07,2e-07,1.25e-07,1.25e-07,2e-07,1.25e-07,2.5e-08,2.5e-08,2.5e-08,2.5e-08,2.5e-08,2.5e-08,5e-08,2e-07,1.25e-07,2.5e-08,2.5e-08,2.5e-08,2.5e-08,2.5e-08,2.5e-08,2.5e-08,2.5e-08,2e-07,1.25e-07,1.25e-07,5e-08,5e-08,2.5e-08,2.5e-08,2.5e-08,2.5e-08,1.25e-07,2e-07,1.25e-07,1.25e-07,5e-08,5e-08,2.5e-08,2.5e-08,5e-08,5e-08,1.25e-07,1.25e-07,5e-08,5e-08,2.5e-08,2.5e-08,5e-08,1.25e-07,1.25e-07,1.25e-07,5e-08,5e-08,2.5e-08,2.5e-08,5e-08,1.25e-07,1.25e-07,1.25e-07,5e-08,5e-08,2.5e-08,1.25e-07,2e-07,2.5e-08,2.5e-08,1.25e-07,2.5e-08,2.5e-08,2.5e-08,2.5e-08,2.5e-08,5e-08,2.5e-08,2.5e-08,5e-08,5e-08,2.5e-08,2.5e-08,5e-08,1.25e-07,1.25e-07,5e-08,2.5e-08,2e-07,2e-07,2e-07,2e-07
5,4e-08,8e-08,8e-08,4e-08,8e-08,3.2e-07,3.2e-07,2e-07,2e-07,4e-08,4e-08,3.2e-07,3.2e-07,2e-07,2e-07,3.2e-07,2e-07,4e-08,4e-08,4e-08,4e-08,4e-08,4e-08,8e-08,3.2e-07,2e-07,4e-08,4e-08,4e-08,4e-08,4e-08,4e-08,4e-08,4e-08,3.2e-07,2e-07,2e-07,8e-08,8e-08,4e-08,4e-08,4e-08,4e-08,2e-07,3.2e-07,2e-07,2e-07,8e-08,8e-08,4e-08,4e-08,8e-08,8e-08,2e-07,2e-07,8e-08,8e-08,4e-08,4e-08,8e-08,2e-07,2e-07,2e-07,8e-08,8e-08,4e-08,4e-08,8e-08,2e-07,2e-07,2e-07,8e-08,8e-08,4e-08,2e-07,3.2e-07,4e-08,4e-08,2e-07,4e-08,4e-08,4e-08,4e-08,4e-08,8e-08,4e-08,4e-08,8e-08,8e-08,4e-08,4e-08,8e-08,2e-07,2e-07,8e-08,4e-08,3.2e-07,3.2e-07,3.2e-07,3.2e-07
6,3e-09,6e-09,6e-09,3e-09,6e-09,2.4e-08,2.4e-08,1.5e-08,1.5e-08,3e-09,3e-09,2.4e-08,2.4e-08,1.5e-08,1.5e-08,2.4e-08,1.5e-08,3e-09,3e-09,3e-09,3e-09,3e-09,3e-09,6e-09,2.4e-08,1.5e-08,3e-09,3e-09,3e-09,3e-09,3e-09,3e-09,3e-09,3e-09,2.4e-08,1.5e-08,1.5e-08,6e-09,6e-09,3e-09,3e-09,3e-09,3e-09,1.5e-08,2.4e-08,1.5e-08,1.5e-08,6e-09,6e-09,3e-09,3e-09,6e-09,6e-09,1.5e-08,1.5e-08,6e-09,6e-09,3e-09,3e-09,6e-09,1.5e-08,1.5e-08,1.5e-08,6e-09,6e-09,3e-09,3e-09,6e-09,1.5e-08,1.5e-08,1.5e-08,6e-09,6e-09,3e-09,1.5e-08,2.4e-08,3e-09,3e-09,1.5e-08,3e-09,3e-09,3e-09,3e-09,3e-09,6e-09,3e-09,3e-09,6e-09,6e-09,3e-09,3e-09,6e-09,1.5e-08,1.5e-08,6e-09,3e-09,2.4e-08,2.4e-08,2.4e-08,2.4e-08
7,5e-09,1e-08,1e-08,5e-09,1e-08,4e-08,4e-08,2.5e-08,2.5e-08,5e-09,5e-09,4e-08,4e-08,2.5e-08,2.5e-08,4e-08,2.5e-08,5e-09,5e-09,5e-09,5e-09,5e-09,5e-09,1e-08,4e-08,2.5e-08,5e-09,5e-09,5e-09,5e-09,5e-09,5e-09,5e-09,5e-09,4e-08,2.5e-08,2.5e-08,1e-08,1e-08,5e-09,5e-09,5e-09,5e-09,2.5e-08,4e-08,2.5e-08,2.5e-08,1e-08,1e-08,5e-09,5e-09,1e-08,1e-08,2.5e-08,2.5e-08,1e-08,1e-08,5e-09,5e-09,1e-08,2.5e-08,2.5e-08,2.5e-08,1e-08,1e-08,5e-09,5e-09,1e-08,2.5e-08,2.5e-08,2.5e-08,1e-08,1e-08,5e-09,2.5e-08,4e-08,5e-09,5e-09,2.5e-08,5e-09,5e-09,5e-09,5e-09,5e-09,1e-08,5e-09,5e-09,1e-08,1e-08,5e-09,5e-09,1e-08,2.5e-08,2.5e-08,1e-08,5e-09,4e-08,4e-08,4e-08,4e-08
8,3e-09,6e-09,6e-09,3e-09,6e-09,2.4e-08,2.4e-08,1.5e-08,1.5e-08,3e-09,3e-09,2.4e-08,2.4e-08,1.5e-08,1.5e-08,2.4e-08,1.5e-08,3e-09,3e-09,3e-09,3e-09,3e-09,3e-09,6e-09,2.4e-08,1.5e-08,3e-09,3e-09,3e-09,3e-09,3e-09,3e-09,3e-09,3e-09,2.4e-08,1.5e-08,1.5e-08,6e-09,6e-09,3e-09,3e-09,3e-09,3e-09,1.5e-08,2.4e-08,1.5e-08,1.5e-08,6e-09,6e-09,3e-09,3e-09,6e-09,6e-09,1.5e-08,1.5e-08,6e-09,6e-09,3e-09,3e-09,6e-09,1.5e-08,1.5e-08,1.5e-08,6e-09,6e-09,3e-09,3e-09,6e-09,1.5e-08,1.5e-08,1.5e-08,6e-09,6e-09,3e-09,1.5e-08,2.4e-08,3e-09,3e-09,1.5e-08,3e-09,3e-09,3e-09,3e-09,3e-09,6e-09,3e-09,3e-09,6e-09,6e-09,3e-09,3e-09,6e-09,1.5e-08,1.5e-08,6e-09,3e-09,2.4e-08,2.4e-08,2.4e-08,2.4e-08
9,2e-09,4e-09,4e-09,2e-09,4e-09,1.6e-08,1.6e-08,1e-08,1e-08,2e-09,2e-09,1.6e-08,1.6e-08,1e-08,1e-08,1.6e-08,1e-08,2e-09,2e-09,2e-09,2e-09,2e-09,2e-09,4e-09,1.6e-08,1e-08,2e-09,2e-09,2e-09,2e-09,2e-09,2e-09,2e-09,2e-09,1.6e-08,1e-08,1e-08,4e-09,4e-09,2e-09,2e-09,2e-09,2e-09,1e-08,1.6e-08,1e-08,1e-08,4e-09,4e-09,2e-09,2e-09,4e-09,4e-09,1e-08,1e-08,4e-09,4e-09,2e-09,2e-09,4e-09,1e-08,1e-08,1e-08,4e-09,4e-09,2e-09,2e-09,4e-09,1e-08,1e-08,1e-08,4e-09,4e-09,2e-09,1e-08,1.6e-08,2e-09,2e-09,1e-08,2e-09,2e-09,2e-09,2e-09,2e-09,4e-09,2e-09,2e-09,4e-09,4e-09,2e-09,2e-09,4e-09,1e-08,1e-08,4e-09,2e-09,1.6e-08,1.6e-08,1.6e-08,1.6e-08
