time,elapsed_seconds,message
08:22:22,5.98e-05,PEST++ performance logger started
08:22:22,0.0045368,starting to process control file
08:22:22,0.0099075,finished processing control file
08:22:22,0.0055353,starting basic model IO error checking
08:22:22,0.003517,finished basic model IO error checking
08:22:22,0.0008802,loading parcov
08:22:22,0.0049153,beginning iteration 1
08:22:22,9.49e-05,commencing to build jacobian parameter sets
08:22:22,0.0014608,jacobian parameter sets built, commencing model runs
08:22:23,0.768463,jacobian runs complete, processing runs
08:22:23,0.0002167,processing jacobian runs complete
08:22:23,3e-05,saving jacobian and sen files
08:22:23,0.0022273,commencing calculation of upgrade vector
08:22:23,0.0006433,forming JtQJ matrix
08:22:23,4.22e-05,commencing to scale JtQJ matrix- first SVD...
08:22:23,1.68e-05,starting REDSVD
08:22:23,8.42e-05,retrieving REDSVD components
08:22:23,1.86e-05,triming REDSVD components to 1elements
08:22:23,2.45e-05,done REDSVD
08:22:23,4.19e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,9.7e-06,JS
08:22:23,1.48e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
08:22:23,2.83e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,9.4e-06,commencing SVD factorization of lambda-scaled JtQJ
08:22:23,8.2e-06,starting REDSVD
08:22:23,1.23e-05,retrieving REDSVD components
08:22:23,1.02e-05,triming REDSVD components to 1elements
08:22:23,8.2e-06,done REDSVD
08:22:23,7.8e-06,SVD factorization complete
08:22:23,0.0002792,commencing linear algebra multiplication to compute ugrade
08:22:23,2e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1Vt info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,1.16e-05,U info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,1.61e-05,jac info: rows = 24: cols = 1: size = 24: nonzeros = 24
08:22:23,4.25e-05,linear algebra multiplication to compute ugrade complete
08:22:23,2.14e-05,commencing check of parameter bounds and gradients
08:22:23,0.0015759,beginning upgrade vector calculations, lambda = 0.1
08:22:23,7.52e-05,commencing calculation of upgrade vector
08:22:23,0.0004923,forming JtQJ matrix
08:22:23,1.81e-05,commencing to scale JtQJ matrix- first SVD...
08:22:23,8.7e-06,starting REDSVD
08:22:23,1.51e-05,retrieving REDSVD components
08:22:23,1.08e-05,triming REDSVD components to 1elements
08:22:23,9.1e-06,done REDSVD
08:22:23,1.3e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,8.1e-06,JS
08:22:23,9e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
08:22:23,1.69e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,8.2e-06,commencing SVD factorization of lambda-scaled JtQJ
08:22:23,7.6e-06,starting REDSVD
08:22:23,1.21e-05,retrieving REDSVD components
08:22:23,9.9e-06,triming REDSVD components to 1elements
08:22:23,8.3e-06,done REDSVD
08:22:23,7.6e-06,SVD factorization complete
08:22:23,0.0002605,commencing linear algebra multiplication to compute ugrade
08:22:23,1.26e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1Vt info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,1.05e-05,U info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,1.02e-05,jac info: rows = 24: cols = 1: size = 24: nonzeros = 24
08:22:23,2.36e-05,linear algebra multiplication to compute ugrade complete
08:22:23,1.36e-05,commencing check of parameter bounds and gradients
08:22:23,2.45e-05,commencing calculation of upgrade vector
08:22:23,0.0004412,forming JtQJ matrix
08:22:23,1.62e-05,commencing to scale JtQJ matrix- first SVD...
08:22:23,8.3e-06,starting REDSVD
08:22:23,1.25e-05,retrieving REDSVD components
08:22:23,1.04e-05,triming REDSVD components to 1elements
08:22:23,8.4e-06,done REDSVD
08:22:23,1.24e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,7.9e-06,JS
08:22:23,8.8e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
08:22:23,1.54e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,8.5e-06,commencing SVD factorization of lambda-scaled JtQJ
08:22:23,7.6e-06,starting REDSVD
08:22:23,5.12e-05,retrieving REDSVD components
08:22:23,1.5e-05,triming REDSVD components to 1elements
08:22:23,8.6e-06,done REDSVD
08:22:23,7.7e-06,SVD factorization complete
08:22:23,0.000207,commencing linear algebra multiplication to compute ugrade
08:22:23,1.29e-05,S info: rows = 1: cols = 1: size = 1: nonzeros = 1Vt info: rows = 1: cols = 1: size = 1: nonzeros = 1
08:22:23,1.02e-05,U info: rows = 1: cols = 1: size = 1: nonzeros = 1
