time,TRGW-0-2-15,TRGW-0-2-9,TRGW-0-3-8,TRGW-0-9-1,TRGW-0-13-10,TRGW-0-15-16,TRGW-0-21-10,TRGW-0-22-15,TRGW-0-24-4,TRGW-0-26-6,TRGW-0-29-15,TRGW-0-33-7,TRGW-0-34-10
3652.500000000,34.17216235,36.52774974,36.76551015,38.75827066,34.50631498,34.14110786,34.41597833,34.04435062,36.13963852,35.19883082,33.89593560,34.60002210,34.04861633
3683.500000000,34.16539750,36.52046975,36.75240471,38.75058001,34.44205608,34.09668063,34.37278589,34.00867935,36.11322678,35.15893707,33.87579600,34.53298697,33.87597271
3712.500000000,34.20809219,36.64154780,36.88750834,38.90204945,34.51759710,34.12170503,34.45602127,34.02871417,36.27701765,35.31745365,33.91682004,34.71588430,34.03354721
3743.500000000,34.22878595,36.75138400,37.00221378,39.06035352,34.55013969,34.16784794,34.52730736,34.07681257,36.41522280,35.39259700,33.94758671,34.81751706,34.13139102
3773.500000000,34.27042389,36.93728077,37.20211218,39.32394003,34.61915739,34.18512281,34.55699509,34.08155697,36.58388258,35.33446555,33.98166042,34.93267038,34.30779635
3804.500000000,34.23742213,36.96114171,37.21488464,39.41269479,34.50076228,34.11325423,34.48337577,34.05759743,36.58073556,35.35402248,33.93631895,34.82514377,34.01331421
3834.500000000,34.22980176,36.98196542,37.23477738,39.48298332,34.54379998,34.12722920,34.48104893,34.03344846,36.61321468,35.44464236,33.93533015,34.82727561,34.08479947
3865.500000000,34.19317812,36.91090053,37.15458777,39.43370203,34.42929307,34.02429630,34.29082024,33.88290120,36.48528165,35.28247036,33.87977326,34.64212344,33.91964656
3896.500000000,34.14016999,36.77232730,37.00319937,39.29514564,34.10232096,33.78475520,33.95248780,33.72591360,36.17355555,34.78275676,33.75817290,34.30870289,33.68220859
3926.500000000,34.09834467,36.61290239,36.83272889,39.12214177,33.82596271,33.62864467,33.76806626,33.64075516,35.86548967,34.47691550,33.67263568,34.04511872,33.53511110
3957.500000000,34.07496169,36.45912240,36.67348208,38.93516507,33.79831961,33.62064913,33.70965319,33.62123422,35.57586456,34.20791524,33.62503160,33.79786339,33.45145074
3987.500000000,34.07241446,36.35432066,36.56961526,38.78237917,33.80663454,33.63191523,33.64366290,33.58450322,31.99605917,33.86362387,33.59666166,33.72277633,33.42555161
4018.500000000,34.07921289,36.28921845,36.50757758,38.65489488,33.85082551,33.66777081,33.64492164,33.63502768,32.84976257,33.78927533,33.58586928,33.70589265,33.38785383
4049.500000000,34.11725001,36.33467535,36.56519800,38.65182467,33.93755367,33.72262186,33.74886672,33.67175513,34.06430170,34.05953745,33.66743608,33.91935786,33.60932522
4077.500000000,34.14655822,36.40502871,36.64233918,38.69097536,33.97757908,33.76158394,33.76932389,33.69167036,31.79118824,33.91345786,33.69472719,33.99495931,33.53257069
4108.500000000,34.15427252,36.45181801,36.68721933,38.70633149,33.94188796,33.72566823,33.58667897,33.61510820,31.77510318,33.42765386,33.64915526,33.82662080,33.44595472
4138.500000000,34.16566948,36.50822375,36.74465359,38.73466276,34.02542594,33.73430301,33.59518706,33.59427318,32.58484360,33.45107401,33.65783721,33.79477341,33.54082180
4169.500000000,34.16495931,36.56469689,36.80119787,38.77551796,33.96334140,33.67919438,33.66339248,33.66054020,33.34193568,33.60227186,33.66099816,33.84878506,33.53363953
4199.500000000,34.12952415,36.54860339,36.77576611,38.74824224,33.74797276,33.42752131,33.54197895,33.52882018,28.97023736,33.31565831,33.60104628,33.75124799,33.19803451
4230.500000000,34.08759141,36.44444176,36.65657579,38.60676348,33.58137332,33.26755961,33.17762993,33.24629650,27.73422666,32.67573576,33.34138887,33.35660972,32.69362714
4261.500000000,34.05946005,36.31632188,36.51601295,38.42155105,33.26873340,33.03563542,32.89209975,32.94025581,29.83686651,32.26838096,33.05064193,32.82824333,32.22509238
4291.500000000,34.01604081,36.15417546,36.34027926,38.18859094,33.02465385,32.75832649,32.57878979,32.69045379,28.25176171,31.98082729,32.77681078,32.57782290,32.15171971
4322.500000000,33.98928751,35.98713682,36.16345062,37.93155296,32.89973427,32.66120833,32.41743139,32.57813203,29.18452231,31.56881450,32.55124418,32.22733001,32.04982136
4352.500000000,33.98377176,35.87278269,36.04755975,37.72440277,32.92427991,32.63044072,32.39462037,32.50208276,30.92039308,31.81277657,32.46746250,32.24828979,32.22188847
4383.500000000,34.00100218,35.83577534,36.01560419,37.60727376,32.91362993,32.60781512,32.41989180,32.47365790,30.55269616,32.02164667,32.47409008,32.44306545,32.39243330
