totim,ghb,in-out,percent-discrepancy,rcha,sfr,sto-ss,sto-sy,total,wel
3652.5,-1268071.6,-33315.273,-0.2,15887851.0,-12122394.0,1750.0605,-226741.31,-33315.0,-2305710.0
3683.5,-1279323.2,-33318.613,-0.2,16049743.0,-12229161.0,1708.5515,-237926.06,-33319.0,-2338359.0
3712.5,-1290157.5,-33229.95,-0.2,16202752.0,-12332982.0,1658.0198,-250568.31,-33230.0,-2363932.0
3743.5,-1301668.0,-33273.766,-0.2,16365908.0,-12440711.0,1678.2649,-249145.81,-33274.0,-2409335.8
3773.5,-1314418.5,-33221.17,-0.19,16584152.0,-12566247.0,1431.8899,-307976.88,-33220.0,-2430162.8
3804.5,-1328130.9,-33113.38,-0.19,16789768.0,-12701897.0,1334.2737,-333823.88,-33114.0,-2460364.8
3834.5,-1340331.9,-33084.223,-0.19,16922820.0,-12819351.0,1462.6277,-305066.25,-33084.0,-2492617.2
3865.5,-1350517.4,-33161.97,-0.19,17004578.0,-12908701.0,1832.7737,-220984.81,-33162.0,-2559370.2
3896.5,-1358156.5,-33241.543,-0.19,17048730.0,-12965479.0,2239.9158,-124289.19,-33242.0,-2636287.2
3926.5,-1363746.4,-33290.574,-0.19,17060408.0,-13003012.0,2515.3289,-50597.125,-33292.0,-2678859.2
3957.5,-1367565.8,-33370.99,-0.18,17068572.0,-13016990.0,2856.884,35314.062,-33370.0,-2755559.0
3987.5,-1370154.6,-33416.68,-0.18,17102078.0,-13020138.0,3127.093,103147.0,-33418.0,-2851476.0
4018.5,-1372939.1,-33247.266,-0.18,17188638.0,-13029728.0,3163.2722,113533.75,-33248.0,-2935916.0
4049.5,-1376899.8,-33178.84,-0.18,17319040.0,-13059059.0,2985.2808,72949.125,-33180.0,-2992194.8
4077.5,-1380776.0,-33021.477,-0.18,17400860.0,-13092210.0,2894.8076,56209.875,-33022.0,-3020000.5
4108.5,-1386952.1,-32959.715,-0.18,17576132.0,-13151051.0,2635.6392,-6553.125,-32960.0,-3067171.2
4138.5,-1393892.1,-32796.543,-0.17,17763628.0,-13215005.0,2548.3867,-34813.0,-32796.0,-3155262.5
4169.5,-1401195.5,-32797.45,-0.17,17929606.0,-13282972.0,2521.5698,-46330.625,-32796.0,-3234427.2
4199.5,-1407868.9,-33045.594,-0.17,18059344.0,-13343940.0,2562.398,-38612.375,-33046.0,-3304530.0
4230.5,-1413584.8,-33303.58,-0.17,18120138.0,-13396162.0,2667.3447,-7695.875,-33304.0,-3338666.5
4261.5,-1417718.8,-33371.203,-0.17,18167500.0,-13425008.0,2955.8276,62659.75,-33372.0,-3423760.5
4291.5,-1420244.9,-33417.42,-0.17,18181058.0,-13438007.0,3166.8242,119434.875,-33418.0,-3478825.2
4322.5,-1421694.0,-33463.5,-0.17,18188684.0,-13439541.0,3342.2202,168724.12,-33464.0,-3532978.5
4352.5,-1422628.0,-33635.926,-0.17,18215878.0,-13436493.0,3436.793,196632.12,-33636.0,-3590460.5
4383.5,-1424781.1,-33571.89,-0.17,18310520.0,-13449974.0,3261.709,158175.88,-33572.0,-3630774.2
