totim,ghb,in-out,percent-discrepancy,rcha,sfr,sto-ss,sto-sy,total,wel
3652.5,-347.1791,-9.1212,-0.2,4349.8564,-3318.9304,0.4791,-62.07831,-9.121094,-631.269
3683.5,-362.9567,-0.1077,-0.0,5222.3,-3444.1245,-1.338977,-360.8005,-0.107910156,-1053.1866
3712.5,-373.5931,3.0575,0.06,5276.185,-3580.0251,-1.7425,-435.9386,3.0576172,-881.8283
3743.5,-371.3047,-1.4135,-0.03,5263.1064,-3475.116,0.653,45.888397,-1.4135742,-1464.6407
3773.5,-425.0169,1.7532,0.02,7274.8003,-4184.547,-8.2125,-1961.0371,1.7529297,-694.2338
3804.5,-442.3361,3.4772,0.05,6632.7905,-4375.7954,-3.1488705,-833.77374,3.477539,-974.259
3834.5,-406.7005,0.9718,0.02,4435.0435,-3915.1523,4.2785,958.5884,0.9716797,-1075.0857
3865.5,-328.5656,-2.5079,-0.05,2637.3767,-2882.2476,11.9402,2712.3035,-2.5078125,-2153.3152
3896.5,-246.422,-2.5669,-0.06,1424.2404,-1831.5369,13.1336,3119.2134,-2.5668945,-2481.1956
3926.5,-186.3289,-1.6344,-0.06,389.2813,-1251.1003,9.18045,2456.4023,-1.6342773,-1419.0692
3957.5,-123.2057,-2.5939,-0.08,263.3425,-450.8925,11.0179,2771.3298,-2.5939941,-2474.186
3987.5,-86.2948,-1.523,-0.04,1116.8531,-104.951096,9.007,2261.096,-1.5229492,-3197.2332
4018.5,-89.8216,5.4649,0.16,2792.2678,-309.3366,1.1669998,335.0583,5.4648438,-2723.87
4049.5,-127.7634,2.2073,0.05,4206.5103,-946.1745,-5.7416863,-1309.1821,2.2070312,-1815.4415
4077.5,-138.4368,5.6201,0.19,2922.1445,-1183.9625,-3.23125,-597.8318,5.620117,-993.0622
4108.5,-199.2304,1.9923,0.04,5653.9346,-1898.1012,-8.3603,-2024.614,1.9921875,-1521.6366
4138.5,-231.3345,5.4391,0.09,6249.861,-2131.8088,-2.9085,-941.9933,5.438965,-2936.3765
4169.5,-235.5914,-0.02924,-0.0,5354.132,-2192.463,-0.8651,-371.5354,-0.029296875,-2553.7063
4199.5,-222.4479,-8.2715,-0.18,4324.5703,-2032.2737,1.360956,257.2749,-8.271484,-2336.756
4230.5,-184.3813,-8.3221,-0.28,1961.1368,-1684.5955,3.3854,997.306,-8.3220215,-1101.1736
4261.5,-133.3547,-2.1814,-0.06,1527.8043,-930.4983,9.3059,2269.534,-2.1813965,-2744.9724
4291.5,-84.203,-1.5407,-0.07,451.9141,-433.2979,7.033264,1892.5026,-1.5407715,-1835.4897
4322.5,-46.7478,-1.4863,-0.08,245.9822,-49.477592,5.6579,1589.976,-1.486206,-1746.877
4352.5,-31.1327,-5.7476,-0.28,906.4665,101.56231,3.1524,930.2695,-5.7475586,-1916.0656
4383.5,-69.4546,2.0657,0.07,3052.9902,-434.8542,-5.6479,-1240.5219,2.0656738,-1300.4462
