,0,1,2,sidx,idx_strs,x,y,pargp3,parval1_3,3
0,0,39,5,"(0, 39, 5)",idx0:0_idx1:39_idx2:5,1375.0,125.0,ghbheadgr,0.0,0.0
1,0,39,6,"(0, 39, 6)",idx0:0_idx1:39_idx2:6,1625.0,125.0,ghbheadgr,0.0,0.0
2,0,39,7,"(0, 39, 7)",idx0:0_idx1:39_idx2:7,1875.0,125.0,ghbheadgr,0.0,0.0
3,0,39,8,"(0, 39, 8)",idx0:0_idx1:39_idx2:8,2125.0,125.0,ghbheadgr,0.0,0.0
4,0,39,9,"(0, 39, 9)",idx0:0_idx1:39_idx2:9,2375.0,125.0,ghbheadgr,0.0,0.0
5,0,39,10,"(0, 39, 10)",idx0:0_idx1:39_idx2:10,2625.0,125.0,ghbheadgr,0.0,0.0
6,0,39,11,"(0, 39, 11)",idx0:0_idx1:39_idx2:11,2875.0,125.0,ghbheadgr,0.0,0.0
7,0,39,12,"(0, 39, 12)",idx0:0_idx1:39_idx2:12,3125.0,125.0,ghbheadgr,0.0,0.0
8,0,39,13,"(0, 39, 13)",idx0:0_idx1:39_idx2:13,3375.0,125.0,ghbheadgr,0.0,0.0
9,0,39,14,"(0, 39, 14)",idx0:0_idx1:39_idx2:14,3625.0,125.0,ghbheadgr,0.0,0.0
