,0,2,3,sidx,idx_strs,x,y,pargp9,parval1_9,9
0,0,0,15,"(0, 0, 15)",idx0:0_idx1:0_idx2:15,3875.0,9875.0,sfrcondgr,1.0,2.072709214433859248316593948402442038059234619140625000000000000000000000000
1,1,1,15,"(1, 1, 15)",idx0:1_idx1:1_idx2:15,3875.0,9625.0,sfrcondgr,1.0,1.982221057149884169135134470707271248102188110351562500000000000000000000000
2,2,2,15,"(2, 2, 15)",idx0:2_idx1:2_idx2:15,3875.0,9375.0,sfrcondgr,1.0,3.012311559529271320911902876105159521102905273437500000000000000000000000000
3,3,3,15,"(3, 3, 15)",idx0:3_idx1:3_idx2:15,3875.0,9125.0,sfrcondgr,1.0,1.289795769274108216961849393555894494056701660156250000000000000000000000000
4,4,4,15,"(4, 4, 15)",idx0:4_idx1:4_idx2:15,3875.0,8875.0,sfrcondgr,1.0,1.012136825889805358258399792248383164405822753906250000000000000000000000000
5,5,5,15,"(5, 5, 15)",idx0:5_idx1:5_idx2:15,3875.0,8625.0,sfrcondgr,1.0,1.501223303684586340978057705797255039215087890625000000000000000000000000000
6,6,6,15,"(6, 6, 15)",idx0:6_idx1:6_idx2:15,3875.0,8375.0,sfrcondgr,1.0,1.086939208020534897158881904033478349447250366210937500000000000000000000000
7,7,7,15,"(7, 7, 15)",idx0:7_idx1:7_idx2:15,3875.0,8125.0,sfrcondgr,1.0,1.281237537825541616953728407679591327905654907226562500000000000000000000000
8,8,8,15,"(8, 8, 15)",idx0:8_idx1:8_idx2:15,3875.0,7875.0,sfrcondgr,1.0,1.833324296932509422930479558999650180339813232421875000000000000000000000000
9,9,9,15,"(9, 9, 15)",idx0:9_idx1:9_idx2:15,3875.0,7625.0,sfrcondgr,1.0,1.876228816767578244650849228492006659507751464843750000000000000000000000000
10,10,10,15,"(10, 10, 15)",idx0:10_idx1:10_idx2:15,3875.0,7375.0,sfrcondgr,1.0,0.77111496475384821991383432759903371334075927734375000000000000000000000000000
11,11,11,15,"(11, 11, 15)",idx0:11_idx1:11_idx2:15,3875.0,7125.0,sfrcondgr,1.0,0.83481155950887131478310720922308973968029022216796875000000000000000000000000
12,12,12,15,"(12, 12, 15)",idx0:12_idx1:12_idx2:15,3875.0,6875.0,sfrcondgr,1.0,0.39024794548521835046983596839709207415580749511718750000000000000000000000000
13,13,13,15,"(13, 13, 15)",idx0:13_idx1:13_idx2:15,3875.0,6625.0,sfrcondgr,1.0,0.28328481130305971369409689941676333546638488769531250000000000000000000000000
14,14,14,15,"(14, 14, 15)",idx0:14_idx1:14_idx2:15,3875.0,6375.0,sfrcondgr,1.0,0.20650620879663839080109255519346334040164947509765625000000000000000000000000
15,15,15,15,"(15, 15, 15)",idx0:15_idx1:15_idx2:15,3875.0,6125.0,sfrcondgr,1.0,0.31738835532428000263394096691627055406570434570312500000000000000000000000000
16,16,16,15,"(16, 16, 15)",idx0:16_idx1:16_idx2:15,3875.0,5875.0,sfrcondgr,1.0,0.55094132883270185985224998148623853921890258789062500000000000000000000000000
17,17,17,15,"(17, 17, 15)",idx0:17_idx1:17_idx2:15,3875.0,5625.0,sfrcondgr,1.0,0.81976157138620475706147772143594920635223388671875000000000000000000000000000
18,18,18,15,"(18, 18, 15)",idx0:18_idx1:18_idx2:15,3875.0,5375.0,sfrcondgr,1.0,1.02016505824406933378156736580422148108482360839843750000000000000000000000000
19,19,19,15,"(19, 19, 15)",idx0:19_idx1:19_idx2:15,3875.0,5125.0,sfrcondgr,1.0,2.28149476930505201721643970813602209091186523437500000000000000000000000000000
20,20,20,15,"(20, 20, 15)",idx0:20_idx1:20_idx2:15,3875.0,4875.0,sfrcondgr,1.0,3.12367266345005489824870892334729433059692382812500000000000000000000000000000
21,21,21,15,"(21, 21, 15)",idx0:21_idx1:21_idx2:15,3875.0,4625.0,sfrcondgr,1.0,1.57246824331058787649340047209989279508590698242187500000000000000000000000000
22,22,22,15,"(22, 22, 15)",idx0:22_idx1:22_idx2:15,3875.0,4375.0,sfrcondgr,1.0,2.19688874753080742863176055834628641605377197265625000000000000000000000000000
23,23,23,15,"(23, 23, 15)",idx0:23_idx1:23_idx2:15,3875.0,4125.0,sfrcondgr,1.0,2.30760059635765735208678961498662829399108886718750000000000000000000000000000
24,24,24,15,"(24, 24, 15)",idx0:24_idx1:24_idx2:15,3875.0,3875.0,sfrcondgr,1.0,4.32008080219962753432128010899759829044342041015625000000000000000000000000000
25,25,25,15,"(25, 25, 15)",idx0:25_idx1:25_idx2:15,3875.0,3625.0,sfrcondgr,1.0,3.20723760011942626846348503022454679012298583984375000000000000000000000000000
26,26,26,15,"(26, 26, 15)",idx0:26_idx1:26_idx2:15,3875.0,3375.0,sfrcondgr,1.0,2.22202336671687561420185375027358531951904296875000000000000000000000000000000
27,27,27,15,"(27, 27, 15)",idx0:27_idx1:27_idx2:15,3875.0,3125.0,sfrcondgr,1.0,3.19805793907169189083106175530701875686645507812500000000000000000000000000000
28,28,28,15,"(28, 28, 15)",idx0:28_idx1:28_idx2:15,3875.0,2875.0,sfrcondgr,1.0,3.60731408525587848856730488478206098079681396484375000000000000000000000000000
29,29,29,15,"(29, 29, 15)",idx0:29_idx1:29_idx2:15,3875.0,2625.0,sfrcondgr,1.0,2.88372648123809849352028322755359113216400146484375000000000000000000000000000
30,30,30,15,"(30, 30, 15)",idx0:30_idx1:30_idx2:15,3875.0,2375.0,sfrcondgr,1.0,1.78790032924889263910017689340747892856597900390625000000000000000000000000000
31,31,31,15,"(31, 31, 15)",idx0:31_idx1:31_idx2:15,3875.0,2125.0,sfrcondgr,1.0,1.99268772283431649938734153693076223134994506835937500000000000000000000000000
32,32,32,15,"(32, 32, 15)",idx0:32_idx1:32_idx2:15,3875.0,1875.0,sfrcondgr,1.0,2.48484948158122120887014716572593897581100463867187500000000000000000000000000
33,33,33,15,"(33, 33, 15)",idx0:33_idx1:33_idx2:15,3875.0,1625.0,sfrcondgr,1.0,1.85910580398036695548569241509540006518363952636718750000000000000000000000000
34,34,34,15,"(34, 34, 15)",idx0:34_idx1:34_idx2:15,3875.0,1375.0,sfrcondgr,1.0,3.31716898648983171682402826263569295406341552734375000000000000000000000000000
35,35,35,15,"(35, 35, 15)",idx0:35_idx1:35_idx2:15,3875.0,1125.0,sfrcondgr,1.0,2.22367644130778829847372435324359685182571411132812500000000000000000000000000
36,36,36,15,"(36, 36, 15)",idx0:36_idx1:36_idx2:15,3875.0,875.0,sfrcondgr,1.0,1.72598033746923684716989555454347282648086547851562500000000000000000000000000
37,37,37,15,"(37, 37, 15)",idx0:37_idx1:37_idx2:15,3875.0,625.0,sfrcondgr,1.0,1.21445415612414220341008785908343270421028137207031250000000000000000000000000
38,38,38,15,"(38, 38, 15)",idx0:38_idx1:38_idx2:15,3875.0,375.0,sfrcondgr,1.0,1.07153929204317233114807095262221992015838623046875000000000000000000000000000
39,39,39,15,"(39, 39, 15)",idx0:39_idx1:39_idx2:15,3875.0,125.0,sfrcondgr,1.0,1.62043705760637735124873870518058538436889648437500000000000000000000000000000
