time,elapsed_seconds,message
08:37:38,7.31e-05,PEST++ performance logger started
08:37:38,0.0010545,starting to process control file
08:37:38,0.0229327,finished processing control file
08:37:38,0.0200686,initializing
08:37:38,0.000351,using glm algorithm
08:37:38,0.0001173,using REDSVD for truncated svd solve
08:37:38,0.0001147,maxsing: 10000000
08:37:38,0.0001238,eigthresh:  1e-06
08:37:38,0.0001075,initializing localizer
08:37:38,0.0001181,not using localization
08:37:38,0.0001074,using lambda multipliers: 
08:37:38,0.0001144,using lambda scaling factors: 
08:37:38,0.0001025,acceptable phi factor:  1.05
08:37:38,0.0001011,lambda increase factor:  10
08:37:38,0.0001012,lambda decrease factor:  0.75
08:37:38,0.0009839,max run fail:  1
08:37:38,0.0001369,initializing prior parameter covariance matrix
08:37:38,1.17e-05,initializing parcov
08:37:38,0.001188,parcov loaded  from parameter bounds, using par_sigma_range 4
08:37:38,0.001897,initializing observation noise covariance matrix
08:37:38,0.0004869,obscov loaded  from observation weights
08:37:38,0.0006296,using reg_factor:  0
08:37:38,9.63e-05,drawing parameter realizations:  100
08:37:38,0.0018694,parameters not grouped by parameter groups, reordering par ensemble
08:37:38,0.0023678,making standard normal draws
08:37:38,0.0024636,scaling by std
08:37:38,6.99e-05,checking realization for invalid values
08:37:38,0.0004874,resizing reals matrix
08:37:38,0.0002685,filling reals matrix and adding mean values
08:37:38,0.0039969,not using prior parameter covariance matrix scaling
08:37:38,0.0001065,drawing observation noise realizations:  100
08:37:38,0.0010953,making standard normal draws
08:37:38,0.0010032,scaling by std
08:37:38,2.93e-05,checking realization for invalid values
08:37:38,0.0002333,resizing reals matrix
08:37:38,9.94e-05,filling reals matrix and adding mean values
08:37:38,0.0013082,setting weights ensemble from control file weights
08:37:38,0.0877475,saved weight ensemble to  freyberg_prior.weights.csv
08:37:38,2.25e-05,checking for denormal values in weights ensemble
08:37:38,0.0001996,adding 'base' parameter values to ensemble
08:37:38,0.0016694,adding 'base' observation values to ensemble
08:37:38,0.0003532,adding 'base' weight values to weight ensemble
08:37:38,0.0002846,checking for denormal values in pe
08:37:38,0.124547,saved initial parameter ensemble to  freyberg_prior.0.par.csv
08:37:38,2.32e-05,checking for denormal values in obs + noise ensemble
08:37:38,0.0866592,saved obs+noise observation ensemble (obsval + noise realizations) to  freyberg_prior.obs+noise.csv
08:37:38,0.0001728,using subset in lambda testing, number of realizations used in subset testing:  4
08:37:38,0.0001047,subset how:  RANDOM
08:37:38,0.0016162,centering on ensemble mean vector
08:37:38,2.13e-05,running initial ensemble
08:37:38,8.8e-05,running initial ensemble of size 100
08:37:38,2.93e-05,queuing 100 runs
08:37:38,0.0391795,making runs
08:38:32,53.2564,processing runs
08:38:32,0.119259,saved initial obs ensemble to freyberg_prior.0.obs.csv
08:38:32,0.024618,calc pre-drop phi
08:38:32,0.0043655,pre-drop initial phi summary
08:38:32,0.0066507,checking for prior-data conflict...
08:38:32,0.0020929,calc initial phi
08:38:32,0.0025842,initial phi summary
08:38:32,0.0064007,current lambda: 0.1
08:38:32,0.0001406,initialization complete
