,time,total_in,total_out,sources,sinks,fluid_storage,total_mass,error_in-out,error_alt
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,36.5,315360000.0,-315360000.0,454547000.0,-139187000.0,0.0,315360000.0,5.074e-05,5.074e-05
2,73.0,630720000.0,-630720000.0,1009030000.0,-378307000.0,0.0,630720000.0,3.044e-05,-2.029e-05
3,109.5,946080000.0,-946080000.0,1639430000.0,-693354000.0,0.0,946080000.0,2.706e-05,-6.765e-06
4,146.0,1261440000.0,-1261440000.0,2330700000.0,-1069260000.0,0.0,1261440000.0,3.044e-05,4.059e-05
5,182.5,1576800000.0,-1576800000.0,3073070000.0,-1496270000.0,0.0,1576800000.0,2.435e-05,8.118e-06
6,219.0,1892160000.0,-1892160000.0,3859950000.0,-1967790000.0,0.0,1892160000.0,3.382e-05,6.765e-06
7,255.5,2207520000.0,-2207520000.0,4686700000.0,-2479180000.0,0.0,2207520000.0,3.479e-05,5.798e-05
8,292.0,2522880000.0,-2522880000.0,5549900000.0,-3027020000.0,0.0,2522880000.0,3.044e-05,0.0001015
9,328.5,2838240000.0,-2838240000.0,6446910000.0,-3608670000.0,0.0,2838240000.0,3.608e-05,5.412e-05
10,365.0,3153600000.0,-3153600000.0,7375620000.0,-4222020000.0,0.0,3153600000.0,4.059e-05,4.059e-05
11,401.5,3468960000.0,-3468960000.0,8334310000.0,-4865350000.0,0.0,3468960000.0,4.428e-05,6.642e-05
12,438.0,3784320000.0,-3784320000.0,9321480000.0,-5537160000.0,0.0,3784320000.0,6.088e-05,0.0001015
13,474.5,4099680000.0,-4099680000.0,10335900000.0,-6236200000.0,0.0,4099680000.0,6.244e-05,6.869e-05
14,511.0,4415040000.0,-4415040000.0,11376400000.0,-6961340000.0,0.0,4415040000.0,6.958e-05,6.958e-05
15,547.5,4730400000.0,-4730400000.0,12442000000.0,-7711590000.0,0.0,4730400000.0,6.494e-05,6.494e-05
16,584.0,5045760000.0,-5045760000.0,13531800000.0,-8486060000.0,0.0,5045750000.0,7.103e-05,0.0001421
17,620.5,5361120000.0,-5361110000.0,14645100000.0,-9283950000.0,0.0,5361120000.0,7.64e-05,6.685e-05
18,657.0,5676480000.0,-5676470000.0,15781000000.0,-10104500000.0,0.0,5676470000.0,8.118e-05,0.0001082
19,693.5,5991840000.0,-5991830000.0,16939000000.0,-10947100000.0,0.0,5991830000.0,9.399e-05,0.0001196
20,730.0,6307200000.0,-6307190000.0,18118400000.0,-11811200000.0,0.0,6307190000.0,9.741e-05,8.118e-05
21,766.5,6622560000.0,-6622550000.0,19318600000.0,-12696000000.0,0.0,6622550000.0,0.0001005,6.958e-05
22,803.0,6937920000.0,-6937910000.0,20539200000.0,-13601200000.0,0.0,6937910000.0,0.0001033,8.856e-05
23,839.5,7253280000.0,-7253270000.0,21779600000.0,-14526300000.0,0.0,7253270000.0,0.0001129,7.765e-05
24,876.0,7568640000.0,-7568630000.0,23039400000.0,-15470700000.0,0.0,7568620000.0,0.0001218,0.0001624
25,912.5,7884000000.0,-7883990000.0,24318200000.0,-16434200000.0,0.0,7883990000.0,0.0001234,0.0001169
26,949.0,8181090000.0,-8181070000.0,24942700000.0,-17355800000.0,0.0,7586910000.0,0.0001314,0.0001364
27,985.5,8464000000.0,-8463990000.0,25542200000.0,-18238200000.0,0.0,7304000000.0,0.0001391,0.0001559
28,1022.0,8733730000.0,-8733720000.0,26117900000.0,-19083600000.0,0.0,7034280000.0,0.0001407,0.0001429
29,1058.5,8991110000.0,-8991090000.0,26670800000.0,-19893900000.0,0.0,6776910000.0,0.0001481,0.0002013
30,1095.0,9236900000.0,-9236880000.0,27202200000.0,-20671100000.0,0.0,6531130000.0,0.0001441,0.0001753
31,1131.5,9471780000.0,-9471760000.0,27713000000.0,-21416800000.0,0.0,6296260000.0,0.0001514,0.0001753
32,1168.0,9696370000.0,-9696350000.0,28204300000.0,-22132600000.0,0.0,6071670000.0,0.0001584,0.0002273
33,1204.5,9911240000.0,-9911230000.0,28676800000.0,-22820000000.0,0.0,5856800000.0,0.0001653,0.0002143
34,1241.0,10116900000.0,-10116900000.0,29131600000.0,-23480500000.0,0.0,5651130000.0,0.0001619,0.0002013
35,1277.5,10313900000.0,-10313900000.0,29569300000.0,-24115200000.0,0.0,5454150000.0,0.0001688,0.0002013
