X	Y	top	
125.0	9875.0	41.0	
375.0	9875.0	41.0	
625.0	9875.0	41.0	
875.0	9875.0	41.0	
1125.0	9875.0	41.0	
1375.0	9875.0	40.0	
1625.0	9875.0	40.0	
1875.0	9875.0	40.0	
2125.0	9875.0	39.0	
2375.0	9875.0	39.0	
2625.0	9875.0	39.0	
2875.0	9875.0	38.0	
3125.0	9875.0	38.0	
3375.0	9875.0	38.0	
3625.0	9875.0	37.0	
3875.0	9875.0	37.0	
4125.0	9875.0	37.0	
4375.0	9875.0	37.0	
4625.0	9875.0	37.0	
4875.0	9875.0	37.0	
125.0	9625.0	41.0	
375.0	9625.0	41.0	
625.0	9625.0	41.0	
875.0	9625.0	41.0	
1125.0	9625.0	41.0	
1375.0	9625.0	40.0	
1625.0	9625.0	40.0	
1875.0	9625.0	40.0	
2125.0	9625.0	39.0	
2375.0	9625.0	39.0	
2625.0	9625.0	39.0	
2875.0	9625.0	38.0	
3125.0	9625.0	38.0	
3375.0	9625.0	38.0	
3625.0	9625.0	37.0	
3875.0	9625.0	37.0	
4125.0	9625.0	37.0	
4375.0	9625.0	37.0	
4625.0	9625.0	37.0	
4875.0	9625.0	37.0	
125.0	9375.0	41.0	
375.0	9375.0	41.0	
625.0	9375.0	41.0	
875.0	9375.0	41.0	
1125.0	9375.0	41.0	
1375.0	9375.0	40.0	
1625.0	9375.0	40.0	
1875.0	9375.0	40.0	
2125.0	9375.0	39.0	
2375.0	9375.0	39.0	
2625.0	9375.0	39.0	
2875.0	9375.0	38.0	
3125.0	9375.0	38.0	
3375.0	9375.0	38.0	
3625.0	9375.0	37.0	
3875.0	9375.0	37.0	
4125.0	9375.0	37.0	
4375.0	9375.0	37.0	
4625.0	9375.0	37.0	
4875.0	9375.0	37.0	
125.0	9125.0	41.0	
375.0	9125.0	41.0	
625.0	9125.0	41.0	
875.0	9125.0	41.0	
1125.0	9125.0	41.0	
1375.0	9125.0	40.0	
1625.0	9125.0	40.0	
1875.0	9125.0	40.0	
2125.0	9125.0	39.0	
2375.0	9125.0	39.0	
2625.0	9125.0	39.0	
2875.0	9125.0	38.0	
3125.0	9125.0	38.0	
3375.0	9125.0	38.0	
3625.0	9125.0	37.0	
3875.0	9125.0	37.0	
4125.0	9125.0	37.0	
4375.0	9125.0	37.0	
4625.0	9125.0	37.0	
4875.0	9125.0	37.0	
125.0	8875.0	42.0	
375.0	8875.0	41.0	
625.0	8875.0	41.0	
875.0	8875.0	41.0	
1125.0	8875.0	41.0	
1375.0	8875.0	40.0	
1625.0	8875.0	40.0	
1875.0	8875.0	40.0	
2125.0	8875.0	39.0	
2375.0	8875.0	39.0	
2625.0	8875.0	39.0	
2875.0	8875.0	38.0	
3125.0	8875.0	38.0	
3375.0	8875.0	38.0	
3625.0	8875.0	37.0	
3875.0	8875.0	37.0	
4125.0	8875.0	37.0	
4375.0	8875.0	37.0	
4625.0	8875.0	37.0	
4875.0	8875.0	37.0	
125.0	8625.0	42.0	
375.0	8625.0	42.0	
625.0	8625.0	41.0	
875.0	8625.0	41.0	
1125.0	8625.0	41.0	
1375.0	8625.0	40.0	
1625.0	8625.0	40.0	
1875.0	8625.0	40.0	
2125.0	8625.0	39.0	
2375.0	8625.0	39.0	
2625.0	8625.0	38.0	
2875.0	8625.0	38.0	
3125.0	8625.0	38.0	
3375.0	8625.0	37.0	
3625.0	8625.0	37.0	
3875.0	8625.0	37.0	
4125.0	8625.0	37.0	
4375.0	8625.0	37.0	
4625.0	8625.0	37.0	
4875.0	8625.0	37.0	
125.0	8375.0	42.0	
375.0	8375.0	42.0	
625.0	8375.0	41.0	
875.0	8375.0	41.0	
1125.0	8375.0	41.0	
1375.0	8375.0	40.0	
1625.0	8375.0	40.0	
1875.0	8375.0	40.0	
2125.0	8375.0	39.0	
2375.0	8375.0	39.0	
2625.0	8375.0	38.0	
2875.0	8375.0	38.0	
3125.0	8375.0	38.0	
3375.0	8375.0	37.0	
3625.0	8375.0	37.0	
3875.0	8375.0	37.0	
4125.0	8375.0	37.0	
4375.0	8375.0	37.0	
4625.0	8375.0	37.0	
4875.0	8375.0	37.0	
125.0	8125.0	42.0	
375.0	8125.0	42.0	
625.0	8125.0	42.0	
875.0	8125.0	41.0	
1125.0	8125.0	41.0	
1375.0	8125.0	40.0	
1625.0	8125.0	40.0	
1875.0	8125.0	39.0	
2125.0	8125.0	39.0	
2375.0	8125.0	38.0	
2625.0	8125.0	38.0	
2875.0	8125.0	38.0	
3125.0	8125.0	38.0	
3375.0	8125.0	37.0	
3625.0	8125.0	37.0	
3875.0	8125.0	37.0	
4125.0	8125.0	37.0	
4375.0	8125.0	37.0	
4625.0	8125.0	37.0	
4875.0	8125.0	37.0	
125.0	7875.0	42.0	
375.0	7875.0	42.0	
625.0	7875.0	42.0	
875.0	7875.0	42.0	
1125.0	7875.0	37.0	
1375.0	7875.0	37.0	
1625.0	7875.0	37.0	
1875.0	7875.0	39.0	
2125.0	7875.0	39.0	
2375.0	7875.0	38.0	
2625.0	7875.0	38.0	
2875.0	7875.0	38.0	
3125.0	7875.0	37.0	
3375.0	7875.0	37.0	
3625.0	7875.0	37.0	
3875.0	7875.0	37.0	
4125.0	7875.0	37.0	
4375.0	7875.0	37.0	
4625.0	7875.0	37.0	
4875.0	7875.0	37.0	
125.0	7625.0	42.0	
375.0	7625.0	42.0	
625.0	7625.0	42.0	
875.0	7625.0	42.0	
1125.0	7625.0	37.0	
1375.0	7625.0	37.0	
1625.0	7625.0	37.0	
1875.0	7625.0	37.0	
2125.0	7625.0	38.0	
2375.0	7625.0	38.0	
2625.0	7625.0	38.0	
2875.0	7625.0	38.0	
3125.0	7625.0	37.0	
3375.0	7625.0	37.0	
3625.0	7625.0	37.0	
3875.0	7625.0	36.0	
4125.0	7625.0	36.0	
4375.0	7625.0	37.0	
4625.0	7625.0	37.0	
4875.0	7625.0	37.0	
125.0	7375.0	42.0	
375.0	7375.0	42.0	
625.0	7375.0	42.0	
875.0	7375.0	42.0	
1125.0	7375.0	37.0	
1375.0	7375.0	37.0	
1625.0	7375.0	37.0	
1875.0	7375.0	37.0	
2125.0	7375.0	38.0	
2375.0	7375.0	38.0	
2625.0	7375.0	38.0	
2875.0	7375.0	37.0	
3125.0	7375.0	37.0	
3375.0	7375.0	37.0	
3625.0	7375.0	37.0	
3875.0	7375.0	36.0	
4125.0	7375.0	36.0	
4375.0	7375.0	37.0	
4625.0	7375.0	37.0	
4875.0	7375.0	37.0	
125.0	7125.0	42.0	
375.0	7125.0	42.0	
625.0	7125.0	42.0	
875.0	7125.0	42.0	
1125.0	7125.0	37.0	
1375.0	7125.0	37.0	
1625.0	7125.0	37.0	
1875.0	7125.0	37.0	
2125.0	7125.0	38.0	
2375.0	7125.0	38.0	
2625.0	7125.0	38.0	
2875.0	7125.0	37.0	
3125.0	7125.0	37.0	
3375.0	7125.0	37.0	
3625.0	7125.0	37.0	
3875.0	7125.0	36.0	
4125.0	7125.0	37.0	
4375.0	7125.0	37.0	
4625.0	7125.0	37.0	
4875.0	7125.0	37.0	
125.0	6875.0	42.0	
375.0	6875.0	42.0	
625.0	6875.0	42.0	
875.0	6875.0	42.0	
1125.0	6875.0	37.0	
1375.0	6875.0	37.0	
1625.0	6875.0	37.0	
1875.0	6875.0	37.0	
2125.0	6875.0	38.0	
