X	Y	default	
552583.87998136	395193.45396116	323.14352416992	
552618.68276912	395193.62571727	323.20684814453	
552653.48555695	395193.79765673	323.28231811523	
552688.28834485	395193.96977956	323.40270996094	
552723.09113281	395194.14208575	323.56387329102	
552757.89392084	395194.3145753	323.77893066406	
552792.69670893	395194.48724821	324.04534912109	
552827.4994971	395194.66010448	324.33609008789	
552862.30228533	395194.83314411	324.607421875	
552897.10507363	395195.00636711	324.8108215332	
552931.90786199	395195.17977346	324.95074462891	
552966.71065042	395195.35336318	325.06079101562	
553001.51343892	395195.52713625	325.15542602539	
553036.31622749	395195.70109269	325.23199462891	
553071.11901613	395195.87523249	325.2956237793	
553105.92180483	395196.04955565	325.36572265625	
553140.7245936	395196.22406217	325.45962524414	
553175.52738244	395196.39875206	325.55511474609	
553210.33017135	395196.5736253	325.65310668945	
553245.13296032	395196.74868191	325.76086425781	
553279.93574937	395196.92392187	325.86865234375	
553314.73853848	395197.0993452	325.97119140625	
553349.54132766	395197.27495189	326.07629394531	
553384.34411691	395197.45074194	326.20120239258	
553419.14690622	395197.62671535	326.35382080078	
553453.94969561	395197.80287213	326.4875793457	
553488.75248506	395197.97921226	326.59066772461	
553523.55527459	395198.15573576	326.68222045898	
553558.35806418	395198.33244261	326.77651977539	
553593.16085384	395198.50933283	326.87844848633	
553627.96364356	395198.68640641	326.99398803711	
553662.76643336	395198.86366336	327.14083862305	
553697.56922323	395199.04110366	327.34390258789	
553732.37201316	395199.21872733	327.58505249023	
553767.17480317	395199.39653435	327.80981445312	
553801.97759324	395199.57452474	328.01895141602	
553836.78038338	395199.75269849	328.21728515625	
553871.5831736	395199.9310556	328.40310668945	
553906.38596388	395200.10959608	328.57580566406	
553941.18875423	395200.28831991	328.74880981445	
553975.99154465	395200.46722711	328.91342163086	
554010.79433514	395200.64631767	329.07717895508	
554045.5971257	395200.82559159	329.26879882812	
554080.39991633	395201.00504887	329.44622802734	
554115.20270703	395201.18468952	329.58068847656	
554150.0054978	395201.36451352	329.70556640625	
554184.80828864	395201.54452089	329.90145874023	
554219.61107955	395201.72471162	330.20822143555	
554254.41387052	395201.90508571	330.57968139648	
554289.21666157	395202.08564317	330.91165161133	
554324.01945269	395202.26638398	331.21371459961	
554358.82224388	395202.44730816	331.51257324219	
554393.62503514	395202.6284157	331.81408691406	
554428.42782648	395202.8097066	332.14044189453	
554463.23061788	395202.99118087	332.54190063477	
554498.03340935	395203.17283849	332.98159790039	
