,step,time,"(1, 16, 16)"
0,1,0.0,0.0
1,2,36.5,60.595
2,3,73.0,81.157
3,4,109.5,88.74
4,5,146.0,92.019
5,6,182.5,93.781
6,7,219.0,94.941
7,8,255.5,95.813
8,9,292.0,96.512
9,10,328.5,97.09
10,11,365.0,97.573
11,12,401.5,97.979
12,13,438.0,98.322
13,14,474.5,98.612
14,15,511.0,98.857
15,16,547.5,99.065
16,17,584.0,99.242
17,18,620.5,99.391
18,19,657.0,99.518
19,20,693.5,99.626
20,21,730.0,99.718
21,22,766.5,99.796
22,23,803.0,99.862
23,24,839.5,99.915
24,25,876.0,99.939
25,26,912.5,99.951
26,1,949.0,99.872
27,2,985.5,99.715
28,3,1022.0,99.463
29,4,1058.5,99.101
30,5,1095.0,98.503
31,6,1131.5,97.013
32,7,1168.0,94.873
33,8,1204.5,92.273
34,9,1241.0,89.355
35,10,1277.5,86.228
36,11,1314.0,82.974
37,12,1350.5,79.655
38,13,1387.0,76.32
39,14,1423.5,73.003
40,15,1460.0,69.731
41,16,1496.5,66.523
42,17,1533.0,63.393
43,18,1569.5,60.352
44,19,1606.0,57.405
45,20,1642.5,54.557
46,21,1679.0,51.811
47,22,1715.5,49.169
48,23,1752.0,46.629
49,24,1788.5,44.191
50,25,1825.0,41.855
51,26,1861.5,39.618
52,27,1898.0,37.477
53,28,1934.5,35.429
54,29,1971.0,33.473
55,30,2007.5,31.603
56,31,2044.0,29.819
57,32,2080.5,28.117
58,33,2117.0,26.493
59,34,2153.5,24.947
60,35,2190.0,23.474
61,36,2226.5,22.072
62,37,2263.0,20.743
63,38,2299.5,19.478
64,39,2336.0,18.274
65,40,2372.5,17.13
66,41,2409.0,16.041
67,42,2445.5,15.007
68,43,2482.0,14.027
69,44,2518.5,13.098
70,45,2555.0,12.22
71,46,2591.5,11.389
72,47,2628.0,10.606
73,48,2664.5,9.8675
74,49,2701.0,9.1719
75,50,2737.5,8.5174
76,51,2774.0,7.9022
77,52,2810.5,7.3243
78,53,2847.0,6.782
79,54,2883.5,6.2738
80,55,2920.0,5.7979
81,56,2956.5,5.3529
82,57,2993.0,4.9372
83,58,3029.5,4.5494
84,59,3066.0,4.1882
85,60,3102.5,3.852
86,61,3139.0,3.5402
87,62,3175.5,3.2522
88,63,3212.0,2.9873
89,64,3248.5,2.7437
90,65,3285.0,2.5199
91,66,3321.5,2.3139
92,67,3358.0,2.1242
93,68,3394.5,1.9493
94,69,3431.0,1.7876
95,70,3467.5,1.6354
96,71,3504.0,1.4932
97,72,3540.5,1.3594
98,73,3577.0,1.2346
99,74,3613.5,1.1196
100,75,3650.0,1.0145
