,a0,a1,a2,a3,ab0,ab1,ab2
0,"(0, 0, 29)",320.0,100000.0,317.0,0,0,29
1,"(0, 1, 29)",320.0,100000.0,317.0,0,1,29
2,"(0, 2, 29)",320.0,100000.0,317.0,0,2,29
3,"(0, 3, 29)",320.0,100000.0,317.0,0,3,29
4,"(0, 4, 29)",320.0,100000.0,317.0,0,4,29
5,"(0, 5, 29)",320.0,100000.0,317.0,0,5,29
6,"(0, 6, 29)",320.0,100000.0,317.0,0,6,29
7,"(0, 7, 29)",320.0,100000.0,317.0,0,7,29
8,"(0, 8, 29)",320.0,100000.0,317.0,0,8,29
9,"(0, 9, 29)",320.0,100000.0,317.0,0,9,29
10,"(0, 10, 29)",320.0,100000.0,317.0,0,10,29
11,"(0, 11, 29)",320.0,100000.0,317.0,0,11,29
12,"(0, 12, 29)",320.0,100000.0,317.0,0,12,29
13,"(0, 13, 29)",320.0,100000.0,317.0,0,13,29
14,"(0, 14, 29)",320.0,100000.0,317.0,0,14,29
