,obsnme,obsval,weight,obgnme,oname,otype,time,usecol
oname:hds_otype:lst_usecol:trgw_0_13_10_time:1,oname:hds_otype:lst_usecol:trgw_0_13_10_time:1,34.48388768,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,1,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:122,oname:hds_otype:lst_usecol:trgw_0_13_10_time:122,35.17617839,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,122,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:153,oname:hds_otype:lst_usecol:trgw_0_13_10_time:153,35.27077707,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,153,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:183,oname:hds_otype:lst_usecol:trgw_0_13_10_time:183,35.24887025,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,183,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:214,oname:hds_otype:lst_usecol:trgw_0_13_10_time:214,35.11227844,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,214,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:245,oname:hds_otype:lst_usecol:trgw_0_13_10_time:245,34.89948388,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,245,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:275,oname:hds_otype:lst_usecol:trgw_0_13_10_time:275,34.67321034,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,275,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:306,oname:hds_otype:lst_usecol:trgw_0_13_10_time:306,34.48227554,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,306,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:32,oname:hds_otype:lst_usecol:trgw_0_13_10_time:32,34.59632183,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,32,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:336,oname:hds_otype:lst_usecol:trgw_0_13_10_time:336,34.38797541,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,336,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:367,oname:hds_otype:lst_usecol:trgw_0_13_10_time:367,34.41128206,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,367,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:398,oname:hds_otype:lst_usecol:trgw_0_13_10_time:398,34.54406167,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,398,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:426,oname:hds_otype:lst_usecol:trgw_0_13_10_time:426,34.73478684,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,426,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:457,oname:hds_otype:lst_usecol:trgw_0_13_10_time:457,34.96639241,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,457,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:487,oname:hds_otype:lst_usecol:trgw_0_13_10_time:487,35.15122868,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,487,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:518,oname:hds_otype:lst_usecol:trgw_0_13_10_time:518,35.24984792,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,518,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:548,oname:hds_otype:lst_usecol:trgw_0_13_10_time:548,35.23089376,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,548,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:579,oname:hds_otype:lst_usecol:trgw_0_13_10_time:579,35.09589634,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,579,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:61,oname:hds_otype:lst_usecol:trgw_0_13_10_time:61,34.77943418,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,61,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:610,oname:hds_otype:lst_usecol:trgw_0_13_10_time:610,34.88469293,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,610,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:640,oname:hds_otype:lst_usecol:trgw_0_13_10_time:640,34.66075521,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,640,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:671,oname:hds_otype:lst_usecol:trgw_0_13_10_time:671,34.47276984,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,671,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:701,oname:hds_otype:lst_usecol:trgw_0_13_10_time:701,34.38149581,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,701,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:732,oname:hds_otype:lst_usecol:trgw_0_13_10_time:732,34.45707803,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,732,trgw
oname:hds_otype:lst_usecol:trgw_0_13_10_time:92,oname:hds_otype:lst_usecol:trgw_0_13_10_time:92,34.99758788,1.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,92,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_time:1,oname:hds_otype:lst_usecol:trgw_0_15_16_time:1,34.31796279,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,hds,lst,1,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_time:122,oname:hds_otype:lst_usecol:trgw_0_15_16_time:122,34.8896886,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,hds,lst,122,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_time:153,oname:hds_otype:lst_usecol:trgw_0_15_16_time:153,34.95869052,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,hds,lst,153,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_time:183,oname:hds_otype:lst_usecol:trgw_0_15_16_time:183,34.93044241,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,hds,lst,183,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_time:214,oname:hds_otype:lst_usecol:trgw_0_15_16_time:214,34.80922874,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,hds,lst,214,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_time:245,oname:hds_otype:lst_usecol:trgw_0_15_16_time:245,34.62868604,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,hds,lst,245,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_time:275,oname:hds_otype:lst_usecol:trgw_0_15_16_time:275,34.4419168,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,hds,lst,275,trgw
oname:hds_otype:lst_usecol:trgw_0_15_16_time:306,oname:hds_otype:lst_usecol:trgw_0_15_16_time:306,34.28942559,1.0,oname:hds_otype:lst_usecol:trgw_0_15_16,hds,lst,306,trgw
