datetime,HEADWATER,TAILWATER,GAGE_1
2020-01-02,-1015.320913144039,-724.7188602769991,1816.496007769975
2020-02-02,-1206.637862921968,-867.901916435975,2200.929973981442
2020-03-02,-1521.896546458194,-1101.724491914208,2752.719132582363
2020-04-02,-1898.092776935767,-1375.523161773782,3385.493582725173
2020-05-02,-2198.764123021579,-1581.861774455422,3861.399027988824
2020-06-02,-2358.272025656634,-1675.595842464744,4078.284305094101
2020-07-02,-2315.576656479016,-1619.813790877721,3949.037099176812
2020-08-02,-2075.497365608828,-1420.530750100953,3493.76458350014
2020-09-02,-1709.781154950835,-1140.337823570166,2851.313235948001
2020-10-02,-1324.895629252271,-857.6706294142672,2205.700712613387
2020-11-02,-1004.697796317973,-637.2702105547736,1699.56427867582
2020-12-02,-847.7394811540516,-543.8020937192052,1486.218609961923
2021-01-02,-892.1205116104022,-597.7849981943938,1613.698187392912
2021-02-02,-1121.784282461512,-784.159532964157,2042.361294718659
2021-03-02,-1450.57361937468,-1036.675755434394,2616.31262888507
2021-04-02,-1846.801082732861,-1329.329497110487,3278.562840404808
2021-05-02,-2161.420112160448,-1550.108483585977,3776.705398229161
2021-06-02,-2325.728559257242,-1649.809992574058,4003.280235208877
2021-07-02,-2285.91157907837,-1597.311908720023,3884.292361909281
2021-08-02,-2048.696502589591,-1401.606106047797,3443.39328592218
2021-09-02,-1684.631747487347,-1123.745056530901,2814.405686500751
2021-10-02,-1302.901735688616,-843.5368195095139,2182.610102192732
2021-11-02,-987.481225936028,-626.7383115070091,1689.348154526076
2021-12-02,-835.6982431163487,-536.8173140382559,1484.212968463238
2022-01-02,-970.087746665297,-658.4789506685659,1761.822891016682
