,org_file,model_file,use_cols,index_cols,fmt,sep,head_rows,upper_bound,lower_bound,operator,mlt_file,zone_file,apply_order,fac_file,pp_file,pp_fill_value,pp_lower_limit,pp_upper_limit,chkpar,zero_based
0,org\freyberg6.npf_k_layer1.txt,freyberg6.npf_k_layer1.txt,,,%15.6E,,0,1e+30,-1e+30,m,mult\npf_k_layer1_gr_inst0_grid.csv,npf_k_layer1_gr_inst0_grid.csv.zone,999,,,,,,,False
1,org\freyberg6.npf_k_layer1.txt,freyberg6.npf_k_layer1.txt,,,%15.6E,,0,1e+30,-1e+30,m,mult\npf_k_layer1_pp_inst0_pilotpoints.csv,npf_k_layer1_pp_inst0pp.dat.zone,999,npf_k_layer1_pp_inst0pp.fac,npf_k_layer1_pp_inst0pp.dat,1.0,1e-30,1e+30,,False
2,org\freyberg6.npf_k_layer2.txt,freyberg6.npf_k_layer2.txt,,,%15.6E,,0,1e+30,-1e+30,m,mult\npf_k_layer2_gr_inst0_grid.csv,npf_k_layer2_gr_inst0_grid.csv.zone,999,,,,,,,False
3,org\freyberg6.npf_k_layer2.txt,freyberg6.npf_k_layer2.txt,,,%15.6E,,0,1e+30,-1e+30,m,mult\npf_k_layer2_pp_inst0_pilotpoints.csv,npf_k_layer2_pp_inst0pp.dat.zone,999,npf_k_layer1_pp_inst0pp.fac,npf_k_layer2_pp_inst0pp.dat,1.0,1e-30,1e+30,,False
4,org\freyberg6.npf_k_layer3.txt,freyberg6.npf_k_layer3.txt,,,%15.6E,,0,1e+30,-1e+30,m,mult\npf_k_layer3_gr_inst0_grid.csv,npf_k_layer3_gr_inst0_grid.csv.zone,999,,,,,,,False
5,org\freyberg6.npf_k_layer3.txt,freyberg6.npf_k_layer3.txt,,,%15.6E,,0,1e+30,-1e+30,m,mult\npf_k_layer3_pp_inst0_pilotpoints.csv,npf_k_layer3_pp_inst0pp.dat.zone,999,npf_k_layer1_pp_inst0pp.fac,npf_k_layer3_pp_inst0pp.dat,1.0,1e-30,1e+30,,False
6,org\freyberg6.npf_k33_layer1.txt,freyberg6.npf_k33_layer1.txt,,,%15.6E,,0,1e+30,-1e+30,m,mult\npf_k33_layer1_gr_inst0_grid.csv,npf_k33_layer1_gr_inst0_grid.csv.zone,999,,,,,,,False
7,org\freyberg6.npf_k33_layer1.txt,freyberg6.npf_k33_layer1.txt,,,%15.6E,,0,1e+30,-1e+30,m,mult\npf_k33_layer1_pp_inst0_pilotpoints.csv,npf_k33_layer1_pp_inst0pp.dat.zone,999,npf_k_layer1_pp_inst0pp.fac,npf_k33_layer1_pp_inst0pp.dat,1.0,1e-30,1e+30,,False
8,org\freyberg6.npf_k33_layer2.txt,freyberg6.npf_k33_layer2.txt,,,%15.6E,,0,1e+30,-1e+30,m,mult\npf_k33_layer2_gr_inst0_grid.csv,npf_k33_layer2_gr_inst0_grid.csv.zone,999,,,,,,,False
9,org\freyberg6.npf_k33_layer2.txt,freyberg6.npf_k33_layer2.txt,,,%15.6E,,0,1e+30,-1e+30,m,mult\npf_k33_layer2_pp_inst0_pilotpoints.csv,npf_k33_layer2_pp_inst0pp.dat.zone,999,npf_k_layer1_pp_inst0pp.fac,npf_k33_layer2_pp_inst0pp.dat,1.0,1e-30,1e+30,,False
