parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
pname:npf_k_layer1_gr_inst:0_ptype:gr_pstyle:m_i:0_j:0_x:125.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,npf_k_layer1_gr,1.0,0.0,1
pname:npf_k_layer1_gr_inst:0_ptype:gr_pstyle:m_i:0_j:1_x:375.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,npf_k_layer1_gr,1.0,0.0,1
pname:npf_k_layer1_gr_inst:0_ptype:gr_pstyle:m_i:0_j:2_x:625.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,npf_k_layer1_gr,1.0,0.0,1
pname:npf_k_layer1_gr_inst:0_ptype:gr_pstyle:m_i:0_j:3_x:875.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,npf_k_layer1_gr,1.0,0.0,1
pname:npf_k_layer1_gr_inst:0_ptype:gr_pstyle:m_i:0_j:4_x:1125.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,npf_k_layer1_gr,1.0,0.0,1
pname:npf_k_layer1_gr_inst:0_ptype:gr_pstyle:m_i:0_j:5_x:1375.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,npf_k_layer1_gr,1.0,0.0,1
pname:npf_k_layer1_gr_inst:0_ptype:gr_pstyle:m_i:0_j:6_x:1625.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,npf_k_layer1_gr,1.0,0.0,1
pname:npf_k_layer1_gr_inst:0_ptype:gr_pstyle:m_i:0_j:7_x:1875.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,npf_k_layer1_gr,1.0,0.0,1
pname:npf_k_layer1_gr_inst:0_ptype:gr_pstyle:m_i:0_j:8_x:2125.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,npf_k_layer1_gr,1.0,0.0,1
pname:npf_k_layer1_gr_inst:0_ptype:gr_pstyle:m_i:0_j:9_x:2375.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,npf_k_layer1_gr,1.0,0.0,1
