,parnme,parval1,i,j,x,y,pargp,tpl_filename,input_filename,partype,partrans,parubnd,parlbnd,parchglim,scale,dercom,offset
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:0_x:125.00_y:9875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:0_x:125.00_y:9875.00_zone:1,39.42979,0,0,125.0,9875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:1_x:375.00_y:9875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:1_x:375.00_y:9875.00_zone:1,39.36169,0,1,375.0,9875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:2_x:625.00_y:9875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:2_x:625.00_y:9875.00_zone:1,39.21803,0,2,625.0,9875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:3_x:875.00_y:9875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:3_x:875.00_y:9875.00_zone:1,39.00288,0,3,875.0,9875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:4_x:1125.00_y:9875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:4_x:1125.00_y:9875.00_zone:1,38.76951,0,4,1125.0,9875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:5_x:1375.00_y:9875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:5_x:1375.00_y:9875.00_zone:1,38.50444,0,5,1375.0,9875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:6_x:1625.00_y:9875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:6_x:1625.00_y:9875.00_zone:1,38.18007,0,6,1625.0,9875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:7_x:1875.00_y:9875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:7_x:1875.00_y:9875.00_zone:1,37.90016,0,7,1875.0,9875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:8_x:2125.00_y:9875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:8_x:2125.00_y:9875.00_zone:1,37.56441,0,8,2125.0,9875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:9_x:2375.00_y:9875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:9_x:2375.00_y:9875.00_zone:1,37.22414,0,9,2375.0,9875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
