,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.6437933,0.6308173,0.6171949,0.6038134,0.5913497,0.5785751,0.5659756,0.5538582,0.5430227,0.5316801,0.5213257,0.5130477,0.5084476,0.5084992,0.5123346,0.5185831,0.5266739,0.5377439,0.5543461,0.5764817
1,0.650523,0.6373839,0.6232891,0.6093309,0.5949384,0.5801344,0.5658246,0.5523782,0.539638,0.5264267,0.51372,0.5026419,0.4962294,0.4983443,0.5049304,0.512925,0.5213595,0.5329809,0.5555376,0.5827373
2,0.6556841,0.642557,0.6315388,0.62446,0.6156721,0.6024762,0.5819011,0.5513041,0.5583817,0.5538161,0.5388253,0.5144054,0.4811303,0.5064364,0.5231613,0.5321593,0.5339746,0.5288643,0.5642839,0.5947317
3,0.6598205,0.6436542,0.6367375,0.6399708,0.6403889,0.6365591,0.6283711,0.6178522,0.6122071,0.603269,0.5865153,0.5645829,0.5483695,0.550154,0.5600101,0.5669587,0.5683812,0.5699194,0.5891985,0.6157096
4,0.6651842,0.6450513,0.6423111,0.6548364,0.6689765,0.6815992,0.6926457,0.6924269,0.6842294,0.6684893,0.6492553,0.6312562,0.6169916,0.6102663,0.6089535,0.6112354,0.6113451,0.6129732,0.6259162,0.6454831
5,0.6744257,0.6484716,0.6453133,0.6683686,0.6991009,0.7330808,0.7661667,0.7797641,0.7700478,0.7445593,0.7203821,0.7025446,0.6866392,0.6732124,0.6640458,0.6603481,0.6580128,0.6575323,0.6669059,0.6799488
6,0.6916555,0.6570822,0.6422959,0.6780728,0.731414,0.7897569,0.8500053,0.8878744,0.8677037,0.8271534,0.7955441,0.7727667,0.7567961,0.7350277,0.7227582,0.7134728,0.7066505,0.7028281,0.7081373,0.7151356
7,0.7249147,0.6841778,0.6297581,0.7109166,0.7855597,0.8584036,0.936929,1.031623,0.9580921,0.9065169,0.8697795,0.844457,0.8277763,0.8019392,0.7821673,0.7670148,0.755841,0.7484953,0.7437333,0.7474815
8,0.7822142,0.7533787,0.7442173,0.7926865,1.0,1.0,1.0,1.023672,1.017568,0.9759543,0.9392017,0.9106463,0.8755894,0.8540871,0.8323082,0.8104017,0.7898515,0.772807,0.7681727,0.7755257
9,0.8622538,0.8551031,0.8655346,0.8972912,1.0,1.0,1.0,1.0,1.036304,1.01747,0.9875351,0.9558519,0.9228906,0.8933618,0.8664987,0.8390599,0.8122993,0.7930015,0.7880029,0.8016176
10,0.9569697,0.9763913,0.9992787,1.014962,1.0,1.0,1.0,1.0,1.064121,1.05015,1.030196,1.005531,0.9737685,0.9376887,0.899813,0.8635163,0.8312335,0.8082778,0.808137,0.8296631
11,1.054757,1.106736,1.152923,1.142898,1.0,1.0,1.0,1.0,1.098717,1.087071,1.07398,1.060201,1.032806,0.9864523,0.941007,0.8930657,0.8475305,0.8171399,0.8328677,0.8653116
12,1.13841,1.217704,1.336928,1.255532,1.0,1.0,1.0,1.0,1.135523,1.12503,1.115714,1.1083,1.106396,1.053827,1.004843,0.9528818,0.8922059,0.817803,0.8781208,0.9184907
13,1.198292,1.269183,1.33284,1.301888,1.0,1.0,1.0,1.0,1.170759,1.161205,1.153464,1.149485,1.139686,1.116994,1.08126,1.041409,0.9954145,0.9615682,0.9732317,1.003813
