pilbl,equation,obgnme,weight,names
hk00,1.0 * log(hk00) =   6.989700E-01,regulhk,0.5,['hk00']
hk01,1.0 * log(hk01) =   6.989700E-01,regulhk,0.5,['hk01']
hk02,1.0 * log(hk02) =   6.989700E-01,regulhk,0.5,['hk02']
hk03,1.0 * log(hk03) =   6.989700E-01,regulhk,0.5,['hk03']
hk04,1.0 * log(hk04) =   6.989700E-01,regulhk,0.5,['hk04']
hk05,1.0 * log(hk05) =   6.989700E-01,regulhk,0.5,['hk05']
hk06,1.0 * log(hk06) =   6.989700E-01,regulhk,0.5,['hk06']
hk07,1.0 * log(hk07) =   6.989700E-01,regulhk,0.5,['hk07']
hk08,1.0 * log(hk08) =   6.989700E-01,regulhk,0.5,['hk08']
hk09,1.0 * log(hk09) =   6.989700E-01,regulhk,0.5,['hk09']
hk10,1.0 * log(hk10) =   6.989700E-01,regulhk,0.5,['hk10']
hk11,1.0 * log(hk11) =   6.989700E-01,regulhk,0.5,['hk11']
hk12,1.0 * log(hk12) =   6.989700E-01,regulhk,0.5,['hk12']
hk13,1.0 * log(hk13) =   6.989700E-01,regulhk,0.5,['hk13']
hk14,1.0 * log(hk14) =   6.989700E-01,regulhk,0.5,['hk14']
hk15,1.0 * log(hk15) =   6.989700E-01,regulhk,0.5,['hk15']
hk16,1.0 * log(hk16) =   6.989700E-01,regulhk,0.5,['hk16']
hk17,1.0 * log(hk17) =   6.989700E-01,regulhk,0.5,['hk17']
hk18,1.0 * log(hk18) =   6.989700E-01,regulhk,0.5,['hk18']
hk19,1.0 * log(hk19) =   6.989700E-01,regulhk,0.5,['hk19']
hk20,1.0 * log(hk20) =   6.989700E-01,regulhk,0.5,['hk20']
hk21,1.0 * log(hk21) =   6.989700E-01,regulhk,0.5,['hk21']
hk22,1.0 * log(hk22) =   6.989700E-01,regulhk,0.5,['hk22']
hk23,1.0 * log(hk23) =   6.989700E-01,regulhk,0.5,['hk23']
hk24,1.0 * log(hk24) =   6.989700E-01,regulhk,0.5,['hk24']
hk25,1.0 * log(hk25) =   6.989700E-01,regulhk,0.5,['hk25']
hk26,1.0 * log(hk26) =   6.989700E-01,regulhk,0.5,['hk26']
hk27,1.0 * log(hk27) =   6.989700E-01,regulhk,0.5,['hk27']
hk28,1.0 * log(hk28) =   6.989700E-01,regulhk,0.5,['hk28']
hk29,1.0 * log(hk29) =   6.989700E-01,regulhk,0.5,['hk29']
hk30,1.0 * log(hk30) =   6.989700E-01,regulhk,0.5,['hk30']
hk31,1.0 * log(hk31) =   6.989700E-01,regulhk,0.5,['hk31']
porosity,1.0 * log(porosity) =  -2.000000E+00,regulporosit,1.6609640474436809,['porosity']
rch_0,1.0 * log(rch_0) =   0.000000E+00,regulrch,1.660964047443681,['rch_0']
rch_1,1.0 * log(rch_1) =   0.000000E+00,regulrch,0.9266284080291267,['rch_1']
sfr,1.0 * log(sfr) =  -1.000000E+00,regulsfr,0.3333333333333333,['sfr']
w0_r09_c16,1.0 * log(w0_r09_c16) =   0.000000E+00,regulw0,1.660964047443681,['w0_r09_c16']
w0_r11_c13,1.0 * log(w0_r11_c13) =   0.000000E+00,regulw0,1.660964047443681,['w0_r11_c13']
w0_r20_c14,1.0 * log(w0_r20_c14) =   0.000000E+00,regulw0,1.660964047443681,['w0_r20_c14']
w0_r26_c10,1.0 * log(w0_r26_c10) =   0.000000E+00,regulw0,1.660964047443681,['w0_r26_c10']
w0_r29_c06,1.0 * log(w0_r29_c06) =   0.000000E+00,regulw0,1.660964047443681,['w0_r29_c06']
w0_r34_c12,1.0 * log(w0_r34_c12) =   0.000000E+00,regulw0,1.660964047443681,['w0_r34_c12']
w1_r09_c16,1.0 * log(w1_r09_c16) =   0.000000E+00,regulw1,0.5,['w1_r09_c16']
w1_r11_c13,1.0 * log(w1_r11_c13) =   0.000000E+00,regulw1,0.5,['w1_r11_c13']
w1_r20_c14,1.0 * log(w1_r20_c14) =   0.000000E+00,regulw1,0.5,['w1_r20_c14']
w1_r26_c10,1.0 * log(w1_r26_c10) =   0.000000E+00,regulw1,0.5,['w1_r26_c10']
w1_r29_c06,1.0 * log(w1_r29_c06) =   0.000000E+00,regulw1,0.5,['w1_r29_c06']
w1_r34_c12,1.0 * log(w1_r34_c12) =   0.000000E+00,regulw1,0.5,['w1_r34_c12']
