,0,1,2,sidx,idx_strs,x,y,pargp4,parval1_4,4
0,0,39,5,"(0, 39, 5)",idx0:0_idx1:39_idx2:5,1375.0,125.0,ghbcondgr,1.0,1.000000000000000000000000000000000000000000000000000000000000000000000000000
1,0,39,6,"(0, 39, 6)",idx0:0_idx1:39_idx2:6,1625.0,125.0,ghbcondgr,1.0,1.000000000000000000000000000000000000000000000000000000000000000000000000000
2,0,39,7,"(0, 39, 7)",idx0:0_idx1:39_idx2:7,1875.0,125.0,ghbcondgr,1.0,1.000000000000000000000000000000000000000000000000000000000000000000000000000
3,0,39,8,"(0, 39, 8)",idx0:0_idx1:39_idx2:8,2125.0,125.0,ghbcondgr,1.0,1.000000000000000000000000000000000000000000000000000000000000000000000000000
4,0,39,9,"(0, 39, 9)",idx0:0_idx1:39_idx2:9,2375.0,125.0,ghbcondgr,1.0,1.000000000000000000000000000000000000000000000000000000000000000000000000000
5,0,39,10,"(0, 39, 10)",idx0:0_idx1:39_idx2:10,2625.0,125.0,ghbcondgr,1.0,1.0000000000000000000000000000000000000000000000000000000000000000000000000000
6,0,39,11,"(0, 39, 11)",idx0:0_idx1:39_idx2:11,2875.0,125.0,ghbcondgr,1.0,1.0000000000000000000000000000000000000000000000000000000000000000000000000000
7,0,39,12,"(0, 39, 12)",idx0:0_idx1:39_idx2:12,3125.0,125.0,ghbcondgr,1.0,1.0000000000000000000000000000000000000000000000000000000000000000000000000000
8,0,39,13,"(0, 39, 13)",idx0:0_idx1:39_idx2:13,3375.0,125.0,ghbcondgr,1.0,1.0000000000000000000000000000000000000000000000000000000000000000000000000000
9,0,39,14,"(0, 39, 14)",idx0:0_idx1:39_idx2:14,3625.0,125.0,ghbcondgr,1.0,1.0000000000000000000000000000000000000000000000000000000000000000000000000000
