obsnme,obsval,weight,obgnme,oname,otype,time,usecol
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3652.5,34.79735823,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,3652.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3683.5,34.76849387,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,3683.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3712.5,34.82123045,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,3712.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3743.5,34.92098285,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,3743.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3773.5,35.008383,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,3773.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3804.5,35.04235437,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,3804.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3834.5,34.99491657,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,3834.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3865.5,34.86226213,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,3865.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3896.5,34.67291569,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,3896.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3926.5,34.47515507,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,3926.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3957.5,34.30549856,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,3957.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3987.5,34.20890326,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,3987.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4018.5,34.20243858,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,4018.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4049.5,34.28250848,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,4049.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4077.5,34.41306818,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,4077.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4108.5,34.57807516,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,4108.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4138.5,34.71050623,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,4138.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4169.5,34.77715135,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,4169.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4199.5,34.75219094,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,4199.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4230.5,34.63645767,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,4230.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4261.5,34.45997932,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,4261.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4291.5,34.27236461,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,4291.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4322.5,34.11157544,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,4322.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4352.5,34.02708499,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,4352.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4383.5,34.0740681,1.0,oname:hds_otype:lst_usecol:trgw-0-13-10,hds,lst,4383.5,trgw-0-13-10
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3652.5,34.37874417,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3652.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3683.5,34.35950788,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3683.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3712.5,34.39971778,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3712.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3743.5,34.46978825,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3743.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3773.5,34.52604457,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3773.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3804.5,34.54011557,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3804.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3834.5,34.49631313,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3834.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3865.5,34.39382619,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3865.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3896.5,34.25776334,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3896.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3926.5,34.12302298,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3926.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3957.5,34.01544002,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3957.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3987.5,33.96439746,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3987.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4018.5,33.9785793,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4018.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4049.5,34.04994278,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4049.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4077.5,34.15037147,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4077.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4108.5,34.26737999,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4108.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4138.5,34.35417613,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4138.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4169.5,34.3894483,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4169.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4199.5,34.35965307,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4199.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4230.5,34.26777675,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4230.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4261.5,34.13968164,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4261.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4291.5,34.01122277,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4291.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4322.5,33.90907245,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4322.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4352.5,33.86482819,1.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4352.5,trgw-0-15-16
