time,elapsed_seconds,message
14:20:00,7.99e-05,PEST++ performance logger started
14:20:00,0.000889,starting to process control file
14:20:00,0.0221509,finished processing control file
14:20:00,0.0196927,initializing
14:20:00,0.0003286,using glm algorithm
14:20:00,0.000108,using REDSVD for truncated svd solve
14:20:00,0.0001093,maxsing: 10000000
14:20:00,0.0001116,eigthresh:  1e-06
14:20:00,0.0001037,initializing localizer
14:20:00,0.0001097,not using localization
14:20:00,0.0001147,using lambda multipliers: 
14:20:00,0.000114,using lambda scaling factors: 
14:20:00,0.0001064,acceptable phi factor:  1.05
14:20:00,0.0001052,lambda increase factor:  10
14:20:00,0.0001059,lambda decrease factor:  0.75
14:20:00,0.0002428,max run fail:  1
14:20:00,0.0001093,initializing prior parameter covariance matrix
14:20:00,1.12e-05,initializing parcov
14:20:00,0.0011609,parcov loaded  from parameter bounds, using par_sigma_range 4
14:20:00,0.0018448,initializing observation noise covariance matrix
14:20:00,0.0004885,obscov loaded  from observation weights
14:20:00,0.0006239,using reg_factor:  0
14:20:00,9.99e-05,drawing parameter realizations:  100
14:20:00,0.0017778,parameters not grouped by parameter groups, reordering par ensemble
14:20:00,0.0022976,making standard normal draws
14:20:00,0.0024305,scaling by std
14:20:00,5.86e-05,checking realization for invalid values
14:20:00,0.0004826,resizing reals matrix
14:20:00,0.0002395,filling reals matrix and adding mean values
14:20:00,0.0037991,not using prior parameter covariance matrix scaling
14:20:00,0.0001028,drawing observation noise realizations:  100
14:20:00,0.0011614,making standard normal draws
14:20:00,0.0010203,scaling by std
14:20:00,2.78e-05,checking realization for invalid values
14:20:00,0.0002367,resizing reals matrix
14:20:00,0.0001183,filling reals matrix and adding mean values
14:20:00,0.0014036,setting weights ensemble from control file weights
14:20:00,0.0863054,saved weight ensemble to  freyberg_prior.weights.csv
14:20:00,1.93e-05,checking for denormal values in weights ensemble
14:20:00,0.0001849,adding 'base' parameter values to ensemble
14:20:00,0.0017765,adding 'base' observation values to ensemble
14:20:00,0.0003702,adding 'base' weight values to weight ensemble
14:20:00,0.0002711,checking for denormal values in pe
14:20:01,0.125232,saved initial parameter ensemble to  freyberg_prior.0.par.csv
14:20:01,2.52e-05,checking for denormal values in obs + noise ensemble
14:20:01,0.0877713,saved obs+noise observation ensemble (obsval + noise realizations) to  freyberg_prior.obs+noise.csv
14:20:01,0.0001178,using subset in lambda testing, number of realizations used in subset testing:  4
14:20:01,0.0001017,subset how:  RANDOM
14:20:01,0.0017188,centering on ensemble mean vector
14:20:01,1.93e-05,running initial ensemble
14:20:01,9.39e-05,running initial ensemble of size 100
14:20:01,2.13e-05,queuing 100 runs
14:20:01,0.0401015,making runs
14:20:59,58.547,processing runs
14:20:59,0.120708,saved initial obs ensemble to freyberg_prior.0.obs.csv
14:20:59,0.0252895,calc pre-drop phi
14:20:59,0.0041014,pre-drop initial phi summary
14:20:59,0.0063008,checking for prior-data conflict...
14:20:59,0.001535,WARNING: 9 non-zero weighted observations are in conflict with the prior simulated ensemble.

14:20:59,0.0004302,  WARNING: Prior-data conflict detected.  Continuing with IES parameter
           adjustment will likely result in parameter and forecast bias.
           Consider using 'ies_drop_conflicts' as a quick fix.
14:21:00,0.0919831,saved adjusted weight ensemble to  freyberg_prior.adjusted.weights.csv
14:21:00,2.99e-05,calc initial phi
14:21:00,0.0034537,initial phi summary
14:21:00,0.0088172,current lambda: 1
14:21:00,0.0001363,initialization complete
