iteration,total_runs,obs_realization,par_realization,oname:heads.csv_otype:lst_usecol:trgw-0-13-10,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,oname:heads.csv_otype:lst_usecol:trgw-0-2-9,oname:heads.csv_otype:lst_usecol:trgw-0-21-10,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,oname:heads.csv_otype:lst_usecol:trgw-0-26-6,oname:heads.csv_otype:lst_usecol:trgw-0-29-15,oname:heads.csv_otype:lst_usecol:trgw-0-3-8,oname:heads.csv_otype:lst_usecol:trgw-0-33-7,oname:heads.csv_otype:lst_usecol:trgw-0-34-10,oname:heads.csv_otype:lst_usecol:trgw-0-9-1
0,100,0,0,73.78,75.7162,72.0632,72.8252,74.228,75.2762,74.637,74.3999,76.3449,73.2536,75.5351,75.0679,72.7261
0,100,1,1,73.646,75.0166,69.6784,75.2303,73.7497,75.1722,75.3604,72.7759,73.4855,76.04,72.9562,74.606,76.0405
0,100,2,2,75.1439,74.7269,77.0758,79.3789,74.0589,77.1372,73.3678,75.6222,75.81,79.2728,76.2628,75.9961,76.4788
0,100,3,3,73.792,76.9655,77.6088,76.4462,77.7514,75.4837,71.7866,77.8753,75.5277,77.231,75.2606,78.0473,75.6617
0,100,4,4,77.7038,75.0768,76.1687,78.0256,74.3675,76.2151,76.3441,74.129,75.5912,78.3229,74.8067,71.4668,77.6346
0,100,5,5,76.4334,75.8515,76.5789,73.839,76.2146,74.6851,75.7831,75.6,74.4605,74.542,75.8715,74.9296,73.0489
0,100,6,6,74.1937,76.7787,72.923,72.2552,74.4084,75.9653,74.939,74.1614,74.7616,72.9928,74.4452,73.9377,73.4541
0,100,7,7,76.8481,75.1392,75.7073,74.7491,76.4693,76.3028,73.51,76.8886,76.4323,75.389,75.2433,74.2043,75.8154
0,100,8,8,75.4936,76.2622,75.9358,74.734,75.4136,76.431,74.5714,75.3397,75.4216,75.0524,75.0704,75.5583,72.7793
0,100,9,9,74.7113,76.209,75.9002,73.1904,77.6709,75.0801,72.9461,75.2298,75.4605,74.0299,74.9011,75.8,72.217
0,100,10,10,74.6326,74.3177,72.7824,74.2157,74.3318,76.3099,76.0632,74.9333,74.4703,75.2667,74.7359,74.6544,75.0392
0,100,11,11,75.2375,76.8314,73.492,69.7936,74.211,75.9625,75.4637,73.9242,75.3229,69.405,75.0513,70.6374,71.011
0,100,12,12,75.3294,75.7587,78.9019,74.8134,76.3377,75.0388,77.3651,76.5354,76.3081,74.8545,76.6662,76.8295,73.2318
0,100,13,13,74.4642,76.706,71.4673,70.3474,76.3244,76.1279,71.5081,75.6468,75.4581,70.4685,74.8097,76.0587,71.2799
0,100,14,14,74.0109,76.4044,78.4889,71.6442,73.4833,76.3647,73.9551,74.7435,76.804,70.2769,75.2878,73.3983,71.9579
0,100,15,15,75.2062,76.2152,73.2395,72.6995,75.6688,75.2481,71.3636,72.8315,76.2512,72.8839,73.2604,75.9626,70.4909
0,100,16,16,75.7147,76.2427,76.1018,72.9846,73.2195,75.9888,73.5015,72.9855,74.6884,73.0299,74.9703,76.9486,72.2402
0,100,17,17,74.7416,77.2657,74.9627,74.5148,75.8995,76.3509,76.233,75.1545,76.0561,75.4688,73.6007,75.8537,74.0793
0,100,18,18,73.5956,73.6535,75.7269,73.3842,73.6642,74.7794,73.8373,74.9709,75.8929,74.4385,76.1282,73.2817,72.4196
0,100,19,19,73.0933,74.6449,74.3993,72.1503,74.0496,76.1168,74.5271,74.0385,77.1453,71.7503,72.4925,77.8082,68.3329
0,100,20,20,71.863,74.0155,76.1288,74.5475,75.5351,74.689,75.866,75.2547,75.1052,73.0088,74.2984,72.2729,74.2678
0,100,21,21,74.6445,76.224,75.4318,73.3817,74.8118,75.9219,75.7485,75.0487,73.854,73.0421,73.7706,73.2192,69.9901
0,100,22,22,75.6337,75.7162,75.0075,76.5487,74.7694,74.6068,72.5696,75.4395,74.8307,75.7547,76.6023,75.3097,75.2286
0,100,23,23,76.6899,76.631,73.8688,76.6958,75.5985,75.0309,74.1672,75.6634,74.8995,76.5025,75.7486,77.1092,74.3208
0,100,24,24,72.2173,74.1721,76.5424,72.1356,73.6901,76.3975,73.8165,75.4641,75.3992,73.0338,75.6148,73.5939,74.6112
0,100,25,25,71.3812,75.5217,75.211,69.9766,74.1005,74.9673,74.6082,73.7214,75.44,70.8308,74.674,76.2957,73.8024
0,100,26,26,73.671,76.1161,77.7663,77.3031,74.7924,73.8329,75.3804,73.6918,75.7035,78.2501,74.6587,77.383,77.5394
0,100,27,27,70.3117,75.2426,74.9569,74.2288,73.843,74.7066,76.1289,72.9699,76.9073,75.9888,74.5722,75.9531,74.1229
0,100,28,28,71.6213,74.7416,77.1247,66.8648,75.1581,75.0806,74.186,74.625,74.5475,68.2398,75.7975,75.5806,69.2362
0,100,29,29,74.5822,75.9049,77.0888,74.7574,73.7945,76.8065,76.3514,74.6349,75.6725,75.9578,75.2694,76.3445,77.6023
0,100,30,30,74.0185,75.1472,71.571,72.6819,73.7388,76.659,71.0556,75.3693,74.4359,73.2849,75.375,75.6119,69.7918
0,100,31,31,72.764,75.2329,74.5114,72.2872,72.6263,75.2691,72.672,75.0735,75.9268,73.7528,74.0233,75.3558,69.9776
0,100,32,32,73.5467,75.8257,71.9631,72.3632,74.92,74.4373,75.9217,72.7412,74.7434,71.7544,73.6086,75.396,71.6706
0,100,33,33,74.4558,76.5099,75.3579,76.1142,74.9807,75.4547,75.2314,76.2382,76.5888,77.499,74.4963,74.1646,75.8755
0,100,34,34,79.1332,76.2752,77.6911,72.4253,76.8508,75.2115,77.5416,75.0248,74.1692,71.7875,75.1488,75.3219,71.2326
0,100,35,35,76.3606,75.3637,81.5291,75.9639,76.3776,75.7708,76.3676,76.4642,76.6822,75.3091,74.8799,76.2645,75.7351
0,100,36,36,72.5201,74.3571,79.4875,74.9807,74.1613,75.4548,75.788,74.7762,76.9102,73.8247,74.532,73.0108,71.7925
0,100,37,37,76.5404,74.6802,73.0107,73.9333,75.0656,75.3168,73.6942,74.6284,76.263,73.6557,74.6037,75.4633,71.9354
0,100,38,38,75.0201,74.8552,75.4081,70.0574,75.8997,75.5413,73.7549,74.2241,76.136,71.5893,74.5004,77.2529,69.9662
0,100,39,39,75.001,75.1535,76.3457,76.1616,75.978,76.1266,77.1116,74.5841,73.7354,75.9526,73.354,71.7044,72.9793
0,100,40,40,70.5862,75.1482,70.5296,72.8496,74.1201,76.9548,77.8118,76.1293,75.0608,73.5746,74.7057,74.3516,75.1548
0,100,41,41,73.8838,76.071,74.7156,69.5237,75.5322,74.9314,75.7671,74.1356,73.973,71.4208,74.8111,74.7452,72.845
0,100,42,42,74.6063,74.5569,79.2642,74.4343,74.632,75.6904,75.6478,75.0483,77.0113,73.6063,75.1281,76.4719,71.1896
0,100,43,43,74.817,75.097,76.4495,72.9751,74.8142,75.4475,73.2128,74.6791,78.2579,72.0025,75.3171,76.786,71.3673
0,100,44,44,74.7446,76.5595,75.6476,75.3026,75.952,76.7304,74.9154,75.7398,76.1593,74.3247,74.6479,77.5387,73.4828
0,100,45,45,75.9423,76.3006,74.9768,74.6714,76.6241,75.7483,75.4693,75.9064,75.3637,75.5381,74.9604,74.5515,76.0643
0,100,46,46,76.1458,75.1411,77.9593,74.4997,75.1815,76.0336,76.8767,73.978,75.1304,75.082,74.47,76.1159,72.6074
0,100,47,47,69.3997,75.1214,74.192,75.3043,74.0827,75.2693,74.7141,75.3108,76.6599,75.0181,74.3236,74.5466,73.712
0,100,48,48,71.1323,75.919,77.1465,73.5065,77.0941,75.3047,77.5725,77.0659,76.4561,73.7607,77.0183,74.8613,74.6119
0,100,49,49,72.5481,74.4078,77.4904,75.6136,72.1351,75.8267,75.7168,73.3792,74.208,74.3449,73.2696,72.526,73.4163
0,100,50,50,74.9442,75.9191,72.8294,74.5288,74.4266,76.2144,75.3287,75.2234,75.8995,74.7749,74.2496,75.0485,72.8923
0,100,51,51,74.1301,76.2558,71.6119,72.4365,74.0817,76.2662,76.6347,75.0922,74.6634,72.2451,73.7992,73.5829,69.6501
0,100,52,52,75.2957,75.995,71.7338,76.254,75.2651,74.5947,75.2652,74.6997,74.0463,75.9005,75.2097,76.3613,72.5514
0,100,53,53,74.9519,73.7025,77.3138,73.0126,74.8709,76.1893,74.7695,74.8583,73.7275,73.9922,75.0192,76.813,76.6245
0,100,54,54,76.2295,75.3044,71.8697,73.1948,75.4775,75.6228,75.6864,75.1141,73.3453,73.4948,75.5184,77.0314,74.2859
0,100,55,55,77.1327,73.8204,73.3035,75.1227,75.9739,77.1874,71.7996,74.6475,74.6416,74.947,75.6379,75.9085,71.9191
0,100,56,56,74.0513,75.6795,76.1826,70.618,73.4375,74.7338,72.077,74.077,75.4107,71.8716,75.1127,72.3669,71.9835
0,100,57,57,77.2057,74.3257,74.8379,75.71,76.4885,75.3636,74.7779,74.7631,74.7791,74.1885,75.6939,74.9815,73.9647
0,100,58,58,78.5046,74.825,72.2224,73.5677,75.5846,75.7584,72.8497,76.7957,74.7409,74.6007,75.0248,75.232,74.2658
0,100,59,59,74.7852,74.5857,76.408,79.1747,74.4247,76.1908,76.1451,73.5259,75.4646,79.2543,74.6023,76.3407,76.9543
0,100,60,60,71.7843,75.1142,74.2707,74.9606,74.5926,75.0018,75.7595,74.6993,76.3643,76.156,75.0428,71.4881,73.6582
0,100,61,61,75.5565,75.2879,78.4656,75.0862,74.4651,75.9482,75.5978,76.4118,74.9002,75.3448,75.1581,76.7458,71.9148
0,100,62,62,76.0548,75.4781,77.0265,75.6906,73.8951,75.2253,74.3426,73.7424,74.2453,75.4691,74.5904,76.8317,71.5062
0,100,63,63,75.1538,75.3017,78.9734,76.875,74.2875,76.1442,77.838,75.262,73.4873,74.6524,74.2996,75.1283,74.2653
0,100,64,64,72.1486,75.3028,77.2754,72.071,73.2354,75.0822,73.9219,74.4119,77.1598,72.428,75.0973,76.3359,72.345
0,100,65,65,78.5604,76.3485,74.3592,67.7135,76.8415,76.5517,75.6471,76.9786,74.5628,68.8064,75.3355,77.5886,68.446
0,100,66,66,74.6044,74.524,76.2559,72.7821,75.9434,75.6832,75.7995,74.9986,74.3224,72.3983,75.6972,77.321,73.9658
0,100,67,67,74.4083,74.5813,72.9605,74.8599,75.6985,75.2852,75.078,74.511,75.3374,74.9413,73.9856,72.0105,74.5968
0,100,68,68,75.1402,74.1903,73.421,75.058,73.8257,75.7506,69.9574,75.1786,75.6434,74.9293,74.521,75.3369,74.4153
0,100,69,69,72.1384,75.8441,76.9616,74.7817,75.0347,74.6606,74.0335,74.918,75.7547,74.6576,73.8853,72.5822,72.5879
0,100,70,70,75.2646,74.3043,74.1069,73.0294,75.4224,76.6098,75.1279,75.185,76.8219,71.0134,75.7485,76.908,70.0334
0,100,71,71,75.1173,74.1162,74.3226,72.1287,75.1819,75.4023,75.6234,74.9392,74.4933,72.9381,76.827,75.7528,72.7085
0,100,72,72,69.9985,74.6591,75.6316,70.4074,72.2308,74.8989,75.9045,73.0581,75.0093,70.9394,71.0675,72.2237,71.4814
0,100,73,73,76.1993,75.8963,74.176,75.3816,76.1959,75.0748,75.134,75.9172,75.8402,75.7632,75.3358,75.4513,73.5051
0,100,74,74,75.0949,75.5285,77.01,73.023,74.2074,74.9773,76.3178,74.8989,75.3299,73.4356,76.6234,77.7306,75.4055
0,100,75,75,74.1147,75.2538,72.2681,73.9174,75.8355,75.1764,73.6527,74.8071,76.3109,74.4506,74.7072,75.0632,71.2163
0,100,76,76,75.4446,75.5337,78.1057,73.1308,74.7153,75.5579,76.2806,74.5894,77.0457,73.5048,73.8839,74.8099,71.2686
0,100,77,77,74.8621,76.6131,70.3068,77.9298,76.1335,76.451,74.2632,74.9294,76.2336,75.623,75.5386,76.3917,73.938
0,100,78,78,75.1184,75.6051,74.2868,74.3127,74.5259,75.411,74.4123,74.442,75.4829,73.0306,73.9256,75.9643,72.2463
0,100,79,79,78.4096,76.8694,73.1413,75.7475,76.1104,75.1859,74.8822,75.242,74.7195,74.7337,74.618,73.7176,73.3279
0,100,80,80,74.8285,75.9917,73.3905,73.3318,75.1603,76.5968,72.2383,75.6743,75.1694,72.9664,76.214,78.5566,75.0737
0,100,81,81,77.7562,75.9006,70.3665,73.9352,76.527,77.5342,77.2861,74.7559,75.9526,74.9505,75.9262,75.0111,73.1349
0,100,82,82,76.6276,75.3204,74.6377,76.7077,74.0764,76.9175,75.6377,74.5937,73.8111,76.9956,74.5323,73.523,74.8199
0,100,83,83,73.1039,75.8352,74.8587,73.8413,72.6781,75.7656,75.5673,72.553,74.7931,74.71,72.8204,73.9554,73.8129
0,100,84,84,76.7096,75.3274,77.1297,73.0243,77.0332,76.5704,73.7263,76.4383,73.5923,73.5341,76.1791,76.515,72.8107
0,100,85,85,77.0155,75.8645,72.5197,75.6595,78.358,76.0491,77.7613,78.0497,75.7365,75.7324,76.2717,76.1472,73.2935
0,100,86,86,75.2442,75.9165,73.3674,77.2773,74.8876,75.293,74.4452,75.8505,75.265,76.5254,75.5693,75.9081,73.9896
0,100,87,87,75.5462,75.4659,71.5854,77.4497,75.664,74.5534,74.7034,76.7881,76.1077,75.115,77.185,78.2762,76.4831
0,100,88,88,71.1277,74.5155,73.9679,70.0298,72.3345,75.5576,74.4999,74.4077,76.6812,70.2478,74.0703,72.2018,72.0068
0,100,89,89,74.1291,75.292,71.4117,72.8586,73.3533,75.3188,75.6378,75.099,75.5075,72.9418,75.2237,77.1596,72.0108
