,geometry,ptname
0,POINT (1519819.2864924623 5034482.958425194),0
1,POINT (1519819.2864924623 5034332.958425194),1
2,POINT (1519820.9798291838 5034256.758272793),2
3,POINT (1519827.1887304904 5034209.485956026),3
4,POINT (1519840.94709134 5034156.569183525),4
5,POINT (1519866.3471421413 5034120.585778227),5
6,POINT (1519894.9221992902 5034098.360733775),6
7,POINT (1519907.6222246895 5034066.610670274),7
8,POINT (1519916.0889082896 5034011.577226877),8
9,POINT (1519922.4389209896 5033970.302144328),9
10,POINT (1519937.2556172898 5033937.493745377),10
11,POINT (1519964.772338991 5033905.743681878),11
12,POINT (1520017.6891114907 5033845.418561228),12
13,POINT (1520052.6141813397 5033814.726833178),13
14,POINT (1520086.480915741 5033810.493491376),14
15,POINT (1520130.9310046406 5033808.376820475),15
16,POINT (1520157.3893908914 5033809.435155926),16
17,POINT (1520176.4394289907 5033776.626756975),17
18,POINT (1520185.9644480413 5033730.059997175),18
19,POINT (1520178.5560998907 5033682.434901923),19
20,POINT (1520165.8560744915 5033660.209857477),20
21,POINT (1520164.797739042 5033624.2264521755),21
22,POINT (1520189.1394543918 5033590.359717773),22
23,POINT (1520233.5895432914 5033550.142970676),23
24,POINT (1520251.581245943 5033538.924614908),24
25,POINT (1520263.2229358917 5033508.232886858),25
26,POINT (1520265.3396067917 5033474.366152456),26
27,POINT (1520283.3313094433 5033419.3327090535),27
28,POINT (1520286.506315792 5033379.115961956),28
29,POINT (1520305.5563538931 5033352.657575706),29
30,POINT (1520351.0647782432 5033335.724208506),30
31,POINT (1520391.2815253437 5033303.974145006),31
32,POINT (1520415.6232406935 5033276.457423307),32
33,POINT (1520433.6149433423 5033241.532353455),33
34,POINT (1520433.6149433423 5033207.665619055),34
35,POINT (1520420.914917943 5033163.215530153),35
36,POINT (1520393.3981962418 5033134.640473001),36
37,POINT (1520389.1648544427 5033113.473764002),37
38,POINT (1520392.3398607941 5033093.365390452),38
39,POINT (1520413.5065697934 5033089.132048655),39
40,POINT (1520450.5483105425 5033091.248719551),40
41,POINT (1520481.2400385933 5033100.773738604),41
42,POINT (1520506.6400893936 5033102.890409505),42
43,POINT (1520539.4484883416 5033118.765441254),43
44,POINT (1520563.5785366017 5033134.640473001),44
45,POINT (1520606.9702900536 5033152.632175656),45
46,POINT (1520646.1287017036 5033156.865517452),46
47,POINT (1520692.6954615023 5033146.282162953),47
48,POINT (1520737.1455504037 5033128.290460303),48
49,POINT (1520808.054025555 5033099.715403153),49
50,POINT (1520871.5541525558 5033064.790333303),50
51,POINT (1520903.3042160533 5033038.331947053),51
52,POINT (1520931.879273205 5033001.290206302),52
53,POINT (1520954.1043176549 5032961.073459202),53
54,POINT (1520954.1043176549 5032910.273357602),54
55,POINT (1520943.5209631538 5032859.473255999),55
56,POINT (1520921.295918704 5032802.534808794),56
57,POINT (1520895.8958679037 5032762.318061696),57
58,POINT (1520884.254177955 5032717.867972791),58
59,POINT (1520880.0208361559 5032649.076168543),59
60,POINT (1520881.0791716035 5032594.042725146),60
61,POINT (1520895.8958679037 5032554.884313492),61
62,POINT (1520905.4208869543 5032532.659269046),62
63,POINT (1520908.5958933048 5032481.859167444),63
64,POINT (1520898.0125388047 5032436.350743094),64
65,POINT (1520891.6625261046 5032367.55893884),65
66,POINT (1520884.254177955 5032289.24211554),66
67,POINT (1520873.670823454 5032229.975330342),67
68,POINT (1520880.0208361559 5032180.233564191),68
69,POINT (1520877.4808310736 5032147.086497897),69
70,POINT (1520871.5541525558 5032111.526426772),70
71,POINT (1520864.7808056744 5032070.886345498),71
72,POINT (1520869.8608158333 5032017.546238815),72
73,POINT (1520877.4808310736 5031972.6728157345),73
74,POINT (1520889.334188113 5031916.792703973),74
75,POINT (1520913.0409021946 5031880.385964496),75
76,POINT (1520924.0475908741 5031844.825893374),76
77,POINT (1520930.8209377546 5031809.265822254),77
78,POINT (1520927.4342643134 5031787.252444895),78
79,POINT (1520910.500897115 5031769.472409332),79
80,POINT (1520904.5742185945 5031748.305700336),80
81,POINT (1520909.6542287553 5031715.28563429),81
82,POINT (1520910.500897115 5031659.4055225365),82
83,POINT (1520913.8875705544 5031611.992094373),83
84,POINT (1520923.2009225143 5031595.90539553),84
85,POINT (1520927.4342643134 5031569.828010045),85
86,POINT (1520945.2142998734 5031529.187928766),86
87,POINT (1520957.9143252755 5031503.787877962),87
88,POINT (1520965.5343405139 5031469.921143562),88
89,POINT (1520985.0077127954 5031424.201052124),89
90,POINT (1521010.4077635938 5031397.954332963),90
91,POINT (1521043.4278296353 5031374.247618884),91
