X	Y	DTM_smooth	
1516794.3729465	5033563.1496854	113.35802459717	
1516844.8769381	5033575.7417448	113.05361175537	
1516895.3809296	5033588.3338041	112.96423339844	
1516945.8849211	5033600.9258634	113.83528137207	
1516996.3889127	5033613.5179228	113.89791107178	
1517046.8929042	5033626.1099821	113.75080871582	
1517097.3968957	5033638.7020415	113.4295501709	
1517147.9008873	5033651.2941008	112.59995269775	
1517198.4048788	5033663.8861602	113.06636047363	
1517248.9088704	5033676.4782195	112.91542053223	
1517299.4128619	5033689.0702789	113.08965301514	
1517349.9168534	5033701.6623382	112.49398803711	
1517400.420845	5033714.2543975	112.3422164917	
1517450.9248365	5033726.8464569	111.96948242188	
1517501.428828	5033739.4385162	112.35541534424	
1517551.9328196	5033752.0305756	112.74241638184	
1517602.4368111	5033764.6226349	112.70223999023	
1517652.9408026	5033777.2146943	112.87400817871	
1517703.4447942	5033789.8067536	112.83333587646	
1517753.9487857	5033802.398813	112.99462890625	
1517804.4527772	5033814.9908723	113.00672912598	
1517854.9567688	5033827.5829317	112.95879364014	
1517905.4607603	5033840.174991	112.942237854	
1517955.9647518	5033852.7670503	112.40116119385	
1518006.4687434	5033865.3591097	112.31588745117	
1518056.9727349	5033877.951169	111.82516479492	
1518107.4767264	5033890.5432284	111.70217132568	
1518157.980718	5033903.1352877	111.67973327637	
1518208.4847095	5033915.7273471	111.66957092285	
1518258.9887011	5033928.3194064	111.65573120117	
1518309.4926926	5033940.9114658	111.65682220459	
1518359.9966841	5033953.5035251	111.5951461792	
1518410.5006757	5033966.0955844	111.48769378662	
1518461.0046672	5033978.6876438	110.51336669922	
1518511.5086587	5033991.2797031	109.93901062012	
1518562.0126503	5034003.8717625	111.2965927124	
1518612.5166418	5034016.4638218	115.01937103271	
1518663.0206333	5034029.0558812	110.32768249512	
1518713.5246249	5034041.6479405	110.33728027344	
1518764.0286164	5034054.2399999	110.12805938721	
1518814.5326079	5034066.8320592	110.244140625	
1518865.0365995	5034079.4241186	110.01571655273	
1518915.540591	5034092.0161779	110.01566314697	
1518966.0445825	5034104.6082372	109.85889434814	
1519016.5485741	5034117.2002966	109.73355865479	
1519067.0525656	5034129.7923559	109.94910430908	
1519117.5565571	5034142.3844153	109.9372253418	
1519168.0605487	5034154.9764746	109.93743896484	
1519218.5645402	5034167.568534	109.69026184082	
1519269.0685318	5034180.1605933	109.53969573975	
1519319.5725233	5034192.7526527	109.67986297607	
1519370.0765148	5034205.344712	109.7696762085	
1519420.5805064	5034217.9367713	110.44576263428	
1519471.0844979	5034230.5288307	111.57057189941	
1519521.5884894	5034243.12089	110.12726593018	
1519572.092481	5034255.7129494	110.6696395874	
1519622.5964725	5034268.3050087	112.73894500732	
1519673.100464	5034280.8970681	109.65347290039	
1519723.6044556	5034293.4891274	109.91316223145	
1519774.1084471	5034306.0811868	111.0355682373	
1519824.6124386	5034318.6732461	109.49405670166	
1519875.1164302	5034331.2653055	109.55338287354	
1519925.6204217	5034343.8573648	109.40730285645	
1519976.1244132	5034356.4494241	109.01718902588	
1520026.6284048	5034369.0414835	108.93910980225	
1520077.1323963	5034381.6335428	108.83364105225	
1520127.6363878	5034394.2256022	108.67928314209	
1520178.1403794	5034406.8176615	108.37985229492	
1520228.6443709	5034419.4097209	109.07480621338	
1520279.1483625	5034432.0017802	108.40218353271	
1520329.652354	5034444.5938396	108.27193450928	
1520380.1563455	5034457.1858989	108.16973876953	
1520430.6603371	5034469.7779582	108.23468780518	
1520481.1643286	5034482.3700176	108.22644042969	
1520531.6683201	5034494.9620769	108.08441925049	
1520582.1723117	5034507.5541363	108.1429901123	
1520632.6763032	5034520.1461956	108.17433929443	
1520683.1802947	5034532.738255	108.1794128418	
1520733.6842863	5034545.3303143	108.58266448975	
1520784.1882778	5034557.9223737	108.60070037842	
1516806.0140626	5033516.459719	112.60250091553	
1516856.5180541	5033529.0517784	113.70168304443	
1516907.0220457	5033541.6438377	113.05521392822	
1516957.5260372	5033554.2358971	113.84245300293	
1517008.0300288	5033566.8279564	113.68619537354	
1517058.5340203	5033579.4200157	113.66719055176	
1517109.0380118	5033592.0120751	113.54731750488	
1517159.5420034	5033604.6041344	112.40195465088	
1517210.0459949	5033617.1961938	113.04164886475	
1517260.5499864	5033629.7882531	112.67733764648	
1517311.053978	5033642.3803125	112.61656951904	
1517361.5579695	5033654.9723718	112.4047088623	
1517412.061961	5033667.5644312	112.2467880249	
1517462.5659526	5033680.1564905	112.16258239746	
1517513.0699441	5033692.7485498	112.18698120117	
1517563.5739356	5033705.3406092	112.55138397217	
1517614.0779272	5033717.9326685	112.7924041748	
1517664.5819187	5033730.5247279	112.78469085693	
1517715.0859102	5033743.1167872	113.00350189209	
1517765.5899018	5033755.7088466	113.02128601074	
1517816.0938933	5033768.3009059	113.03705596924	
1517866.5978848	5033780.8929653	113.06224060059	
1517917.1018764	5033793.4850246	112.95803070068	
1517967.6058679	5033806.077084	112.59976196289	
1518018.1098595	5033818.6691433	112.36560058594	
1518068.613851	5033831.2612026	111.87126922607	
1518119.1178425	5033843.853262	111.72167205811	
1518169.6218341	5033856.4453213	111.59473419189	
