X	Y	09_Bott_L1	
1516794.3729465	5033563.1496854	62.766132354736	
1516844.8769381	5033575.7417448	62.476451873779	
1516895.3809296	5033588.3338041	62.207782745361	
1516945.8849211	5033600.9258634	61.854537963867	
1516996.3889127	5033613.5179228	61.630729675293	
1517046.8929042	5033626.1099821	61.428829193115	
1517097.3968957	5033638.7020415	61.247779846191	
1517147.9008873	5033651.2941008	60.995807647705	
1517198.4048788	5033663.8861602	60.864898681641	
1517248.9088704	5033676.4782195	60.7639503479	
1517299.4128619	5033689.0702789	60.623378753662	
1517349.9168534	5033701.6623382	60.611137390137	
1517400.420845	5033714.2543975	60.648723602295	
1517450.9248365	5033726.8464569	60.737487792969	
1517501.428828	5033739.4385162	60.825973510742	
1517551.9328196	5033752.0305756	61.020439147949	
1517602.4368111	5033764.6226349	61.324718475342	
1517652.9408026	5033777.2146943	61.621387481689	
1517703.4447942	5033789.8067536	61.932857513428	
1517753.9487857	5033802.398813	62.319217681885	
1517804.4527772	5033814.9908723	62.743747711182	
1517854.9567688	5033827.5829317	63.202411651611	
1517905.4607603	5033840.174991	63.682640075684	
1517955.9647518	5033852.7670503	64.20108795166	
1518006.4687434	5033865.3591097	64.740104675293	
1518056.9727349	5033877.951169	65.295295715332	
1518107.4767264	5033890.5432284	65.872688293457	
1518157.980718	5033903.1352877	66.450981140137	
1518208.4847095	5033915.7273471	67.031585693359	
1518258.9887011	5033928.3194064	67.609359741211	
1518309.4926926	5033940.9114658	68.202690124512	
1518359.9966841	5033953.5035251	68.761985778809	
1518410.5006757	5033966.0955844	69.302436828613	
1518461.0046672	5033978.6876438	69.818740844727	
1518511.5086587	5033991.2797031	70.338363647461	
1518562.0126503	5034003.8717625	70.875778198242	
1518612.5166418	5034016.4638218	71.295631408691	
1518663.0206333	5034029.0558812	71.724563598633	
1518713.5246249	5034041.6479405	72.09105682373	
1518764.0286164	5034054.2399999	72.433090209961	
1518814.5326079	5034066.8320592	72.751670837402	
1518865.0365995	5034079.4241186	73.083724975586	
1518915.540591	5034092.0161779	73.357841491699	
1518966.0445825	5034104.6082372	73.610305786133	
1519016.5485741	5034117.2002966	73.837837219238	
1519067.0525656	5034129.7923559	74.065971374512	
1519117.5565571	5034142.3844153	74.221626281738	
1519168.0605487	5034154.9764746	74.334739685059	
1519218.5645402	5034167.568534	74.407279968262	
1519269.0685318	5034180.1605933	74.473655700684	
1519319.5725233	5034192.7526527	74.475776672363	
1519370.0765148	5034205.344712	74.442481994629	
1519420.5805064	5034217.9367713	74.373756408691	
1519471.0844979	5034230.5288307	74.303062438965	
1519521.5884894	5034243.12089	74.179023742676	
1519572.092481	5034255.7129494	74.005569458008	
1519622.5964725	5034268.3050087	73.860534667969	
1519673.100464	5034280.8970681	73.747138977051	
1519723.6044556	5034293.4891274	73.608909606934	
1519774.1084471	5034306.0811868	73.471870422363	
1519824.6124386	5034318.6732461	73.33032989502	
1519875.1164302	5034331.2653055	73.210334777832	
1519925.6204217	5034343.8573648	73.048316955566	
1519976.1244132	5034356.4494241	72.872909545898	
1520026.6284048	5034369.0414835	72.716400146484	
1520077.1323963	5034381.6335428	72.516372680664	
1520127.6363878	5034394.2256022	72.304885864258	
1520178.1403794	5034406.8176615	72.079315185547	
1520228.6443709	5034419.4097209	71.874435424805	
1520279.1483625	5034432.0017802	71.637351989746	
1520329.652354	5034444.5938396	71.407699584961	
1520380.1563455	5034457.1858989	71.187698364258	
1520430.6603371	5034469.7779582	71.004348754883	
1520481.1643286	5034482.3700176	70.790977478027	
1520531.6683201	5034494.9620769	70.575202941895	
1520582.1723117	5034507.5541363	70.307746887207	
1520632.6763032	5034520.1461956	70.113899230957	
1520683.1802947	5034532.738255	69.899925231934	
1520733.6842863	5034545.3303143	69.697410583496	
1520784.1882778	5034557.9223737	69.509963989258	
1516806.0140626	5033516.459719	63.270889282227	
1516856.5180541	5033529.0517784	62.873233795166	
1516907.0220457	5033541.6438377	62.601669311523	
1516957.5260372	5033554.2358971	62.348941802979	
1517008.0300288	5033566.8279564	62.116428375244	
1517058.5340203	5033579.4200157	61.80574798584	
1517109.0380118	5033592.0120751	61.615814208984	
1517159.5420034	5033604.6041344	61.446357727051	
1517210.0459949	5033617.1961938	61.299739837646	
1517260.5499864	5033629.7882531	61.095626831055	
1517311.053978	5033642.3803125	61.016345977783	
1517361.5579695	5033654.9723718	60.982723236084	
1517412.061961	5033667.5644312	61.021728515625	
1517462.5659526	5033680.1564905	61.039142608643	
1517513.0699441	5033692.7485498	61.174373626709	
1517563.5739356	5033705.3406092	61.360042572021	
1517614.0779272	5033717.9326685	61.594440460205	
1517664.5819187	5033730.5247279	61.83606338501	
1517715.0859102	5033743.1167872	62.164527893066	
1517765.5899018	5033755.7088466	62.533218383789	
1517816.0938933	5033768.3009059	62.938625335693	
1517866.5978848	5033780.8929653	63.359676361084	
1517917.1018764	5033793.4850246	63.832210540771	
1517967.6058679	5033806.077084	64.329902648926	
1518018.1098595	5033818.6691433	64.849067687988	
1518068.613851	5033831.2612026	65.388175964355	
1518119.1178425	5033843.853262	65.941673278809	
1518169.6218341	5033856.4453213	66.502685546875	
1518220.1258256	5033869.0373807	67.079971313477	
1518270.6298171	5033881.62944	67.643669128418	
1518321.1338087	5033894.2214994	68.199394226074	
1518371.6378002	5033906.8135587	68.742065429688	
1518422.1417917	5033919.4056181	69.389282226562	
1518472.6457833	5033931.9976774	69.884780883789	
1518523.1497748	5033944.5897367	70.349891662598	
1518573.6537663	5033957.1817961	70.784896850586	
1518624.1577579	5033969.7738554	71.227798461914	
1518674.6617494	5033982.3659148	71.613235473633	
1518725.1657409	5033994.9579741	71.975227355957	
1518775.6697325	5034007.5500335	72.31371307373	
1518826.173724	5034020.1420928	72.663558959961	
1518876.6777155	5034032.7341522	72.956405639648	
1518927.1817071	5034045.3262115	73.228363037109	
1518977.6856986	5034057.9182709	73.479194641113	
1519028.1896902	5034070.5103302	73.738891601562	
1519078.6936817	5034083.1023895	73.931922912598	
1519129.1976732	5034095.6944489	74.08487701416	
1519179.7016648	5034108.2865082	74.193504333496	
1519230.2056563	5034120.8785676	74.289390563965	
1519280.7096478	5034133.4706269	74.317123413086	
1519331.2136394	5034146.0626863	74.311828613281	
1519381.7176309	5034158.6547456	74.272735595703	
1519432.2216224	5034171.246805	74.204879760742	
1519482.725614	5034183.8388643	74.095336914062	
1519533.2296055	5034196.4309236	73.964790344238	
1519583.733597	5034209.022983	73.852470397949	
1519634.2375886	5034221.6150423	73.706756591797	
1519684.7415801	5034234.2071017	73.563606262207	
1519735.2455716	5034246.799161	73.424179077148	
1519785.7495632	5034259.3912204	73.315879821777	
1519836.2535547	5034271.9832797	73.171669006348	
1519886.7575462	5034284.5753391	73.017784118652	
1519937.2615378	5034297.1673984	72.851020812988	
1519987.7655293	5034309.7594578	72.702713012695	
1520038.2695209	5034322.3515171	72.510467529297	
1520088.7735124	5034334.9435764	72.307754516602	
1520139.2775039	5034347.5356358	72.096138000488	
1520189.7814955	5034360.1276951	71.903511047363	
1520240.285487	5034372.7197545	71.670524597168	
1520290.7894785	5034385.3118138	71.436889648438	
1520341.2934701	5034397.9038732	71.210311889648	
1520391.7974616	5034410.4959325	71.02156829834	
1520442.3014531	5034423.0879919	70.764854431152	
1520492.8054447	5034435.6800512	70.557830810547	
1520543.3094362	5034448.2721105	70.349502563477	
1520593.8134277	5034460.8641699	70.162757873535	
1520644.3174193	5034473.4562292	69.952651977539	
1520694.8214108	5034486.0482886	69.747901916504	
1520745.3254023	5034498.6403479	69.553749084473	
1520795.8293939	5034511.2324073	69.392524719238	
1516817.6551787	5033469.7697526	63.65291595459	
1516868.1591702	5033482.361812	63.361682891846	
1516918.6631618	5033494.9538713	63.086948394775	
1516969.1671533	5033507.5459307	62.829235076904	
1517019.6711448	5033520.13799	62.491527557373	
1517070.1751364	5033532.7300494	62.273941040039	
1517120.6791279	5033545.3221087	62.075374603271	
1517171.1831194	5033557.914168	61.896049499512	
1517221.687111	5033570.5062274	61.646785736084	
1517272.1911025	5033583.0982867	61.509944915771	
1517322.695094	5033595.6903461	61.422054290771	
1517373.1990856	5033608.2824054	61.380462646484	
1517423.7030771	5033620.8744648	61.31770324707	
1517474.2070686	5033633.4665241	61.382961273193	
1517524.7110602	5033646.0585835	61.501174926758	
