totim,ghb,in-out,percent-discrepancy,rcha,sfr,sto-ss,sto-sy,total,wel
3652.5,-360.2723,-2.7048,-0.08,3352.2031,-2202.4138,0.316468,107.4618,-2.7045898,-900.0
3683.5,-359.2084,-3.4765,-0.08,3931.458,-2085.9126,0.9934,309.1931,-3.4760742,-1800.0
3712.5,-387.3003,1.7271,0.03,5337.294,-2258.6199,-2.6619,-886.9847,1.7270508,-1800.0
3743.5,-429.7885,2.8239,0.05,6238.7236,-2551.4521,-4.3855,-1450.2736,2.8242188,-1800.0
3773.5,-461.7531,2.1742,0.03,6383.5107,-2785.145,-4.0197,-1330.4187,2.1743164,-1800.0
3804.5,-467.1766,1.0875,0.02,5706.5493,-2846.8733,-1.7395,-589.6726,1.0874023,-1800.0
3834.5,-438.5268,1.4114,0.03,4379.925,-2664.1892,1.676294,522.5263,1.4111328,-1800.0
3865.5,-378.6436,-3.5648,-0.08,2742.3313,-2263.238,5.2215,1690.7642,-3.5649414,-1800.0
3896.5,-303.6533,-5.5413,-0.15,1282.399,-1718.0819,7.6748,2526.1199,-5.54126,-1800.0
3926.5,-228.3794,-5.3919,-0.17,374.9125,-1179.1758,8.4638,2818.7869,-5.3918457,-1800.0
3957.5,-167.6494,-4.96,-0.18,257.996,-748.5323,7.2514,2445.974,-4.959961,-1800.0
3987.5,-136.4405,-3.4861,-0.12,971.0258,-532.5872,5.9185,2038.5973,-3.4863281,-2350.0
4018.5,-138.9012,-1.2792,-0.04,2340.7012,-567.2595,1.9621999,712.2183,-1.2792969,-2350.0
4049.5,-171.5736,3.6878,0.09,3905.003,-827.4092,-1.7597,-550.5725,3.6879883,-2350.0
4077.5,-220.8566,3.8543,0.07,5317.455,-1208.3849,-4.6361,-1529.7233,3.854004,-2350.0
4108.5,-279.0899,4.7525,0.08,6245.7925,-1660.0637,-5.8415,-1946.0446,4.7529297,-2350.0
4138.5,-321.6636,3.2303,0.05,6378.8823,-1997.7029,-5.084,-1701.2012,3.2304688,-2350.0
4169.5,-336.5554,1.4877,0.03,5689.389,-2133.4917,-2.5537,-865.3009,1.487793,-2350.0
4199.5,-316.313,2.1977,0.05,4355.0547,-2004.6028,1.010485,317.0485,2.197754,-2350.0
4230.5,-262.4563,-3.5876,-0.08,2715.9446,-1642.1884,4.6363,1530.4762,-3.5874023,-2350.0
4261.5,-189.1761,-5.2555,-0.14,1262.1594,-1130.0044,7.1602,2394.6055,-5.255371,-2350.0
4291.5,-116.1875,-5.542,-0.18,366.2614,-618.6427,7.9931,2705.0337,-5.541992,-2350.0
4322.5,-57.9356,-5.2144,-0.19,263.2447,-212.68161,6.8366,2345.3213,-5.2143555,-2350.0
4352.5,-31.8616,-2.839,-0.11,988.8073,-33.5589,4.0545,1419.7198,-2.8388672,-2350.0
4383.5,-59.0663,3.4986,0.11,3018.0603,-239.5759,-1.1922,-364.7274,3.4985352,-2350.0
