,0
0,-2.86277636e-82
1,-6.301595328e-82
2,-5.696256482e-82
3,-3.88525666e-82
4,-2.258508954e-82
5,-1.1887349346e-82
6,-5.7514348459999996e-83
7,-2.3774557599999996e-83
8,-9.651029125999999e-84
9,-3.8567498519999996e-84
10,-2.117000448e-84
11,-1.3699465534e-84
12,-1.569252617e-85
13,-4.3068564459999996e-86
14,1.6775286668e-86
15,1.6775286668e-86
16,1.6775286668e-86
17,1.6775286668e-86
18,1.6775286668e-86
19,1.6775286668e-86
20,1.6775286668e-86
21,1.6775286668e-86
22,1.6775286668e-86
23,1.6775286668e-86
24,1.6775286668e-86
25,1.6775286668e-86
26,1.6775286668e-86
27,1.6775286668e-86
28,1.6775286668e-86
29,1.6775286668e-86
30,1.6775286668e-86
31,1.6775286668e-86
32,1.6775286668e-86
33,1.6775286668e-86
34,1.6775286668e-86
35,1.6775286668e-86
36,1.6775286668e-86
37,1.6775286668e-86
38,1.6775286668e-86
39,1.6775286668e-86
40,1.6775286668e-86
41,1.6775286668e-86
42,1.6775286668e-86
43,1.6775286668e-86
44,1.6775286668e-86
45,1.6775286668e-86
46,1.6775286668e-86
47,1.6775286668e-86
48,1.6775286668e-86
49,1.6775286668e-86
50,1.6775286668e-86
51,1.6775286668e-86
52,1.6775286668e-86
53,1.6775286668e-86
54,1.6775286668e-86
55,1.6775286668e-86
56,1.6775286668e-86
57,1.6775286668e-86
58,1.6775286668e-86
59,1.6775286668e-86
60,1.6775286668e-86
61,1.6775286668e-86
62,1.6775286668e-86
63,1.6775286668e-86
64,1.6775286668e-86
65,1.6775286668e-86
66,1.6775286668e-86
67,1.6775286668e-86
68,1.6775286668e-86
69,1.6775286668e-86
70,1.6775286668e-86
71,1.6775286668e-86
72,1.6775286668e-86
73,1.6775286668e-86
74,1.6775286668e-86
75,1.6775286668e-86
76,1.6775286668e-86
77,1.6775286668e-86
78,1.6775286668e-86
79,1.6775286668e-86
80,1.6775286668e-86
81,1.6775286668e-86
82,1.6775286668e-86
83,1.6775286668e-86
84,1.6775286668e-86
85,1.6775286668e-86
86,1.6775286668e-86
87,1.6775286668e-86
88,1.6775286668e-86
89,1.6775286668e-86
90,1.6775286668e-86
91,1.6775286668e-86
92,1.6775286668e-86
93,1.6775286668e-86
94,1.6775286668e-86
95,1.6775286668e-86
96,1.6775286668e-86
97,1.6775286668e-86
98,1.6775286668e-86
99,1.6775286668e-86
100,1.6775286668e-86
101,1.6775286668e-86
102,1.6775286668e-86
103,1.6775286668e-86
104,1.6775286668e-86
105,1.6775286668e-86
106,1.6775286668e-86
107,1.6775286668e-86
108,1.6775286668e-86
109,1.6775286668e-86
110,1.6775286668e-86
111,1.6775286668e-86
112,1.6775286668e-86
113,1.6775286668e-86
114,1.6775286668e-86
115,1.6775286668e-86
116,1.6775286668e-86
117,1.6775286668e-86
118,1.6775295734e-86
119,1.830091912e-86
120,6.702286185999999e-82
121,1.3101536092e-75
122,9.150674316e-70
123,2.155283108e-64
124,1.8708827928000001e-59
125,6.5172142939999995e-55
126,9.844155018e-51
127,6.9158306940000005e-47
128,2.40772075e-43
129,4.399193744e-40
130,4.443048398e-37
131,2.6000788300000003e-34
132,9.203648116e-32
133,2.049839694e-29
134,2.9785182299999997e-27
135,2.9193552179999997e-25
136,1.9903965745999998e-23
137,9.711595362e-22
138,3.4811019639999994e-20
139,9.390735426e-19
140,1.9493364850000002e-17
141,3.178002962e-16
142,4.146315918e-15
143,4.4045948199999997e-14
144,3.870468754e-13
145,2.8546129139999997e-12
146,1.790814341e-11
147,9.673716887999999e-11
148,4.55054885e-10
149,1.883473795e-09
150,6.925143281999999e-09
151,2.28196109e-08
152,6.794543612e-08
153,1.8420729696e-07
154,4.5799531659999997e-07
155,1.051370007e-06
156,2.2426746559999997e-06
157,4.472293954e-06
158,8.386077274e-06
159,1.486767617e-05
160,2.511159452e-05
161,4.046175532e-05
162,6.251689342e-05
163,9.297073016000001e-05
164,0.00013381015393999998
165,0.00018705357322
166,0.0002547801906
167,0.0003391000682
168,0.0004421298472
169,0.0005659730306
170,0.0007127038174
171,0.000884353817
172,0.0010829012342
173,0.001310262206
174,0.0015682839858
175,0.0018587396604
176,0.002183324136
177,0.002543651176
178,0.0029412513379999997
179,0.0033775706740000002
180,0.00385397008
181,0.004371725194
182,0.004932026742
183,0.0055359812719999995
184,0.0061846122
185,0.0068788611199999995
186,0.007619589316
187,0.00840757945
188,0.009243537372
189,0.010128094023999999
190,0.0110618074
191,0.01204516454
192,0.013078583526
193,0.014162415466
194,0.015296946427999999
195,0.016482399321999998
196,0.017718935722
197,0.019006657572
198,0.020345608839999998
199,0.02173577698
200,0.023177094460000002
201,0.024669439959999998
202,0.02621263962
203,0.02780646816
204,0.029450649779999998
205,0.03114485916
206,0.03288872228
207,0.034681817079999996
208,0.03652367424
209,0.03841377778
210,0.04035156574
211,0.04233643076
212,0.04436772066
213,0.04644473914
214,0.04856674634
215,0.05073295964
216,0.05294255438
217,0.05519466461999999
218,0.05748838414
219,0.059822767299999996
220,0.062196830179999996
221,0.06460955168
222,0.06705987483999999
223,0.06954670803999999
224,0.07206892658
225,0.07462537408
226,0.07721486418
227,0.07983618216
228,0.08248808676
229,0.08516931202
230,0.08787856915999999
231,0.09061454853999999
232,0.0933759217
233,0.09616134337999999
234,0.09896945359999999
235,0.10179887978
236,0.10464823879999999
237,0.10751613918
238,0.11040118312
239,0.11330196864
240,0.1162170916
241,0.11914514779999999
242,0.12208473489999999
243,0.12503445444
244,0.12799291374
245,0.13095872766
246,0.13393052054
247,0.1369069278
248,0.1398865976
249,0.1428681925
250,0.14585039087999999
251,0.14883188841999997
252,0.15181139944
253,0.15478765809999998
254,0.1577594197
255,0.16072546172
256,0.1636845848
257,0.16663561375999997
258,0.16957739845999997
259,0.1725088145
260,0.175428764
261,0.17833617621999998
262,0.18123000808
263,0.18410924466
264,0.18697289966
265,0.18982001562
266,0.19264966434
267,0.19546094699999997
268,0.19825299437999996
269,0.201024967
270,0.2037760548
271,0.2065054776
272,0.2092124852
273,0.21189635639999999
274,0.2145563996
275,0.2171919526
276,0.21980238199999996
277,0.22238708299999999
278,0.2249454796
279,0.22747702339999998
280,0.22998119399999997
281,0.2324574986
282,0.23490547099999998
283,0.23732467159999998
284,0.239714687
285,0.2420751292
286,0.24440563540000002
287,0.24670586779999998
288,0.2489755124
289,0.2512142786
290,0.2534218994
291,0.25559813
292,0.25774274799999997
293,0.2598555518
294,0.26193636159999995
295,0.26398501719999995
296,0.26600137879999997
297,0.2679853256
298,0.26993675559999997
299,0.27185558499999996
300,0.27374174739999996
301,0.2755951942
302,0.2774158924
303,0.27920382579999997
304,0.28095899339999997
305,0.282681409
306,0.2843711014
307,0.2860281128
308,0.28765249919999997
309,0.2892443292
310,0.29080368459999995
311,0.2923306582
312,0.29382535519999997
313,0.29528789159999996
314,0.29671839359999996
315,0.2981169984
316,0.29948385219999996
317,0.30081911079999996
318,0.3021229392
319,0.30339551039999996
320,0.30463700579999997
321,0.3058476146
322,0.3070275332
323,0.3081769648
324,0.3092961198
325,0.3103852142
326,0.31144447039999995
327,0.3124741164
328,0.3134743854
329,0.3144455152
330,0.31538774899999994
331,0.316301334
332,0.3171865216
333,0.31804356659999994
334,0.31887272819999996
335,0.31967426799999993
336,0.3204484514
337,0.32119554619999996
338,0.321915823
339,0.3226095544
340,0.32327701540000003
341,0.3239184832
342,0.32453423600000003
343,0.3251245542
344,0.3256897192
345,0.3262300136
346,0.3267457208
347,0.32723712520000003
348,0.3277045122
349,0.3281481668
350,0.3285683752
351,0.3289654232
352,0.32933959679999997
353,0.3296911822
354,0.3300204652
355,0.3303277308
356,0.3306132642
357,0.33087734999999996
358,0.3311202716
359,0.331342312
360,0.3315437534
361,0.3317248768
362,0.33188596200000003
363,0.3320272882
364,0.33214913279999997
365,0.3322517724
366,0.3323354816
367,0.3324005342
368,0.332447202
369,0.33247575539999996
370,0.33248646319999997
371,0.3324795926
372,0.33245540879999996
373,0.33241417539999996
374,0.332356154
375,0.33228160419999997
376,0.3321907844
377,0.3320839498
378,0.3319613548
379,0.331823251
380,0.3316698884
381,0.3315015142
382,0.33131837439999995
383,0.33112071219999994
384,0.3309087688
385,0.33068278319999994
386,0.33044299239999997
387,0.3301896306
388,0.32992293059999994
389,0.32964312199999996
390,0.3293504328
391,0.32904508839999996
392,0.32872731219999995
393,0.3283973252
394,0.3280553456
395,0.32770159
396,0.32733627219999994
397,0.32695960420000003
398,0.326571795
399,0.3261730518
400,0.3257635794
401,0.3253435802
402,0.324913254
403,0.324472799
404,0.3240224104
405,0.3235622816
406,0.32309260339999996
407,0.3226135644
408,0.322125351
409,0.32162814739999995
410,0.32112213539999995
411,0.32060749439999997
412,0.320084402
413,0.3195530332
414,0.319013561
415,0.318466156
416,0.317910987
417,0.31734822
418,0.3167780196
419,0.3162005476
420,0.315615964
421,0.3150244268
422,0.3144260916
423,0.31382111179999994
424,0.3132096394
425,0.31259182339999997
426,0.3119678118
427,0.3113377498
428,0.310701781
429,0.31006004659999997
430,0.3094126862
431,0.3087598376
432,0.3081016362
433,0.30743821559999995
434,0.30676970759999994
435,0.3060962424
436,0.305417948
437,0.3047349502
438,0.3040473738
439,0.30335534119999996
440,0.30265897319999996
441,0.3019583886
442,0.301253705
443,0.30054503779999997
444,0.2998325006
445,0.2991162056
446,0.29839626319999996
447,0.2976727822
448,0.2969458696
449,0.296215631
450,0.29548217
451,0.294745589
452,0.2940059886
453,0.2932634682
454,0.29251812499999996
455,0.29177005539999995
456,0.2910193538
457,0.29026611319999995
458,0.2895104252
459,0.2887523802
460,0.2879920674
461,0.28722957359999995
462,0.28646498459999997
463,0.2856983848
464,0.28492985759999995
465,0.2841594848
466,0.2833873466
467,0.2826135224
468,0.28183809019999995
469,0.28106112619999996
470,0.280282706
471,0.2795029036
472,0.2787217918
473,0.27793944239999996
474,0.2771559254
475,0.27637131039999996
476,0.27558566539999996
477,0.2747990572
478,0.2740115514
479,0.27322321299999996
480,0.2724341052
481,0.27164429079999997
482,0.27085383059999996
483,0.2700627854
484,0.26927121419999994
485,0.2684791752
486,0.2676867254
487,0.2668939212
488,0.2661008176
489,0.26530746899999996
490,0.26451392819999997
491,0.2637202478
492,0.262926479
493,0.262132672
494,0.2613388766
495,0.2605451412
496,0.2597515132
497,0.2589580398
498,0.2581647666
499,0.25737173879999997
500,0.2565790006
501,0.2557865954
502,0.25499456579999996
503,0.2542029536
504,0.2534117996
