,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,0.0,7.500832257832713e-120,4.0017891135722e-116,2.0542145828424451e-112,1.0098755616280341e-108,4.728187244086158e-105,2.093951530585224e-101,8.69784909353355e-98,3.3526036193278324e-94,1.1826209344193418e-90,3.747339154819535e-87,1.0392848767285177e-83,2.4277135490057005e-80,4.489893286736609e-77,5.861099754307595e-74,4.0637223058335285e-71,1.1846597454847054e-73,1.8340709769899205e-76,8.779999078536714e-80,3.0352127163371935e-83,8.948462258140747e-87,2.399073252921811e-90,6.037626873170251e-94,1.4523457241817402e-97,3.377198568080716e-101,7.64877649661869e-105,1.6961386722364662e-108,3.6968012929962167e-112,7.942034870484557e-116,1.6855290067549524e-119,3.539906948258172e-123,7.367167005300913e-127,1.5210773436609905e-130,3.118509290366057e-134,6.353654354957203e-138,1.2872529206223955e-141,2.5948282557546365e-145,5.206720078900104e-149,1.0404211193452452e-152,2.0710887075307291e-156,4.108363423116556e-160,8.123429118482603e-164,1.6014609509479627e-167,3.148429930035493e-171,6.173858219953853e-175,1.2083477550152631e-178
1,2.4676529011115552e-119,1.4097213026146614e-115,7.789793898606722e-112,4.146983861647067e-108,2.1172936046118252e-104,1.0310902055850899e-100,4.757462457258975e-97,2.0625654223744347e-93,8.314102331337499e-90,3.0735798658355373e-86,1.0230678442144276e-82,2.988237880647548e-79,7.372381891202363e-76,1.4445697184011607e-72,2.0048867017977952e-69,1.4836854212759112e-66,4.053819583532371e-69,5.904971929277647e-72,2.804055695352221e-75,9.662143265940636e-79,2.8435220180367893e-82,7.614702577014942e-86,1.9148120824999743e-89,4.603322728108261e-93,1.069941446634408e-96,2.4223670488092506e-100,5.3701337721903214e-104,1.1701706006852317e-107,2.513462262807732e-111,5.333454226721658e-115,1.119972290496326e-118,2.330602095883011e-122,4.8114776066555334e-126,9.863698318801938e-130,2.0094945563331945e-133,4.0710059054887043e-137,8.205866778649773e-141,1.6464968909167198e-144,3.2899483450325475e-148,6.5488324451741836e-152,1.299035472957389e-155,2.5685025514522714e-159,5.063451727183423e-163,9.954401794619322e-167,1.951953939209135e-170,3.820183942175672e-174
2,4.326869016998762e-115,2.5599975929170983e-111,1.466930404518172e-107,8.109639535460117e-104,4.306207803953811e-100,2.184595069877939e-96,1.0519360210192592e-92,4.76883313411967e-89,2.014380513208175e-85,7.821943999419753e-82,2.741852645985883e-78,8.45799076695246e-75,2.210802347688858e-71,4.605796061263515e-68,6.823358271373809e-65,5.414155486301223e-62,1.3802592721555951e-64,1.8842312547600512e-67,8.865817949642211e-71,3.043719521516737e-74,8.939495290407841e-78,2.390866832917147e-81,6.006855854998963e-85,1.4431645376530152e-88,3.3527150165939156e-92,7.587810791930862e-96,1.6816511367729184e-99,3.663529185052648e-103,7.867590026218183e-107,1.6692122651478465e-110,3.504736938022346e-114,7.292400579963249e-118,1.5053668065258405e-121,3.085822695703982e-125,6.28622747963191e-129,1.2734472473092648e-132,2.5667459163830487e-136,5.149928649489262e-140,1.0289955981759893e-143,2.0482094873808908e-147,4.0627415760272094e-151,8.032806308737382e-155,1.5835227230453974e-158,3.1130363728464905e-162,6.104230916487528e-166,1.194608787572966e-169
3,7.293434703065717e-111,4.4744854531040375e-107,2.662316187942e-103,1.5305682837782151e-99,8.465615568457017e-96,4.4814901808503236e-92,2.2561962810419314e-88,1.0716824092265398e-84,4.754290621348518e-81,1.9439243758922867e-77,7.195830587125158e-74,2.3516205262529175e-70,6.535294762279341e-67,1.453366308819505e-63,2.3087997333590607e-60,1.9745509863645125e-57,4.672704236080662e-60,5.95129641243959e-63,2.7709498617426677e-66,9.472638292295832e-70,2.775739772641321e-73,7.413019831296068e-77,1.860640954908395e-80,4.467129504025773e-84,1.0372557440894872e-87,2.3465853264721798e-91,5.199058887208457e-95,1.1323620484668527e-98,2.4313352030257657e-102,5.157600852598515e-106,1.0827708678459343e-109,2.2527131381141097e-113,4.6498531143340154e-117,9.530928027336943e-121,1.941450437255259e-124,3.932719533444365e-128,7.926360715792057e-132,1.5902804153106734e-135,3.177384389230742e-139,6.324354761761252e-143,1.2544352817267083e-146,2.48019007099838e-150,4.889132427791916e-154,9.611310870280227e-158,1.884609140679343e-161,3.6880405306257104e-165
4,1.1763732137657579e-106,7.493241398487355e-103,4.636030918148068e-99,2.775907581181945e-95,1.601939371753203e-91,8.865183213707061e-88,4.675687400957154e-84,2.332161682755303e-80,1.0892608327095029e-76,4.702557083894612e-73,1.8439261938019414e-69,6.406253835434415e-66,1.9003660425721377e-62,4.531812962282227e-59,7.760164731186287e-56,7.196772619457832e-53,1.5714815316222351e-55,1.8577200219790977e-58,8.544849064832292e-62,2.9066695736882774e-65,8.49457324973409e-69,2.264844677802472e-72,5.678377582393252e-76,1.3622337234909338e-79,3.1612760911097703e-83,7.148724970985108e-87,1.5833466280251489e-90,3.4476773169267116e-94,7.401143411701052e-98,1.5697525485714288e-101,3.295051497739869e-105,6.854620869148791e-109,1.4147387530918828e-112,2.899597018034829e-116,5.906075259140331e-120,1.1962989821829677e-123,2.4110036401441922e-127,4.837017658214698e-131,9.663977023494365e-135,1.9234745360875298e-138,3.815084997993665e-142,7.542722037043785e-146,1.4868372202474524e-149,2.9228322370764613e-153,5.7310377143120074e-157,1.121466198214556e-160
5,1.8054899479100274e-102,1.1957672767747013e-98,7.704541644912549e-95,4.81272941903602e-91,2.9030413892350587e-87,1.6828027984839685e-83,9.318422749921384e-80,4.892494817941736e-76,2.412290328315814e-72,1.102954389971471e-68,4.596908584099777e-65,1.704515710654257e-61,5.421538788190489e-58,1.3936138240419685e-54,2.5880010997291224e-51,2.621283233839913e-48,5.244485075441973e-51,5.720023390840398e-54,2.5936571793492336e-57,8.771145078857522e-61,2.555230377809382e-64,6.7996080233853795e-68,1.702594258932555e-71,4.0808429670220345e-75,9.464125535905894e-79,2.139138174319489e-82,4.736181137261634e-86,1.0309941393210059e-89,2.212743632996507e-93,4.692290046562897e-97,9.848071716568576e-101,2.0484171772469133e-104,4.227322877069241e-108,8.663382367003681e-112,1.7644715153612916e-115,3.573760462637626e-119,7.202065432113614e-123,1.4448183545067975e-126,2.8864915872929683e-130,5.744890907200916e-134,1.1394160594542248e-137,2.25263396133067e-141,4.4402946992928475e-145,8.728496267052243e-149,1.7114223525700897e-152,3.3487790363600596e-156
6,2.6190122028165685e-98,1.806261806994334e-94,1.2140173934549939e-90,7.925737963707761e-87,5.007022264794717e-83,3.046771885987443e-79,1.775586399995232e-75,9.839275671667606e-72,5.13673382610832e-68,2.4957938829871103e-64,1.1099144613886093e-60,4.411890814183398e-57,1.5124130470315945e-53,4.215939521006318e-50,8.5513518582675335e-47,9.540275928954296e-44,1.7343083167927217e-46,1.7329483268032274e-49,7.725231132683527e-53,2.594090650734371e-56,7.528465064510327e-60,1.9987123317306467e-63,4.997038825221334e-67,1.196441582763156e-70,2.772629562672167e-74,6.263335590051147e-78,1.3861467088384385e-81,3.016422704438988e-85,6.472196004070552e-89,1.3721813963154913e-92,2.879387357707076e-96,5.988275359589142e-100,1.2356421980742617e-103,2.5320148425427727e-107,5.156450889293398e-111,1.04429705670378e-114,2.1043701330479433e-118,4.2213192103433646e-122,8.43292105749119e-126,1.6782816714361434e-129,3.3284570661910474e-133,6.580073889811477e-137,1.2969798512811275e-140,2.5494339861349253e-144,4.998571844527968e-148,9.780203005455245e-152
7,3.560614738673825e-94,2.5614331328670696e-90,1.799109028301998e-86,1.2299867087584021e-82,8.155655967466514e-79,5.221995876906404e-75,3.2113008324850814e-71,1.8837370756180898e-67,1.044758841128086e-63,5.414731773712647e-60,2.580601925538323e-56,1.1052312437058521e-52,4.107753185022258e-49,1.2505469547552164e-45,2.794116819046695e-42,3.469184653544586e-39,5.6722429574238125e-42,5.1491212038926765e-45,2.2486275759563456e-48,7.485376794476943e-52,2.162206130290899e-55,5.72397355964527e-59,1.4283776767466072e-62,3.415518546763812e-66,7.907699378600397e-70,1.7850944997045718e-73,3.9485056285631255e-77,8.588817332473024e-81,1.8422391977259564e-84,3.9046780507803283e-88,8.19167636737154e-92,1.7032896257187208e-95,3.5140285804462856e-99,7.199693397340473e-103,1.4660252065774707e-106,2.96868186385243e-110,5.9815814560428625e-114,1.199777785611962e-117,2.3965870231167874e-121,4.769203752053969e-125,9.457857378085621e-129,1.8696139485766208e-132,3.6849203350161286e-136,7.242933088684967e-140,1.4200198787704257e-143,2.7781955351183584e-147
8,4.488952185568919e-90,3.374495633232976e-86,2.481852430722841e-82,1.7807012795965929e-78,1.2422430301294477e-74,8.391697597424453e-71,5.4615429762232066e-67,3.402568629705214e-63,2.012325842970094e-59,1.117265910777867e-55,5.734773521058624e-52,2.6617825223196698e-48,1.0800396127922142e-44,3.6211397152183047e-41,9.00437676171097e-38,1.260198222095988e-34,1.8300591597769445e-37,1.4939898538867709e-40,6.360496466103676e-44,2.0941997261425334e-47,6.013290461907416e-51,1.586091044705317e-54,3.948464028319734e-58,9.425707459760455e-62,2.1796097294255405e-65,4.915773544061212e-69,1.0865624048219973e-72,2.362160033032786e-76,5.064323718729135e-80,1.0729856435597953e-83,2.250299675759086e-87,4.677727077840524e-91,9.64819874597771e-95,1.9763426317572212e-98,4.023531246861577e-102,8.1462168977703535e-106,1.6411262891533408e-109,3.291294218318735e-113,6.573616983227424e-117,1.3079979693076783e-120,2.5936303887952443e-124,5.126548608184111e-128,1.0103279327025642e-131,1.985696351818059e-135,3.892777955637645e-139,7.61525142504404e-143
9,5.1762421032872886e-86,4.0743089674302484e-82,3.144598090862032e-78,2.3735472303062036e-74,1.746725619548358e-70,1.2485770902625822e-66,8.628493329420493e-63,5.730517822482485e-59,3.629269263064601e-55,2.1691617028286376e-51,1.2059805325640343e-47,6.107411801736328e-44,2.7276664714820885e-40,1.017382188678351e-36,2.8513844726907043e-33,4.571759110208891e-30,5.803281076664371e-33,4.207351072749969e-36,1.7345050546703378e-39,5.629640828236464e-43,1.6038115382242453e-46,4.2097408176733637e-50,1.0445899397402566e-53,2.4879261479339486e-57,5.743405704701467e-61,1.2936673340993904e-64,2.8565663732871483e-68,6.205011355214103e-72,1.329414850607975e-75,2.815046969913104e-79,5.900936069944635e-83,1.2261192745447403e-86,2.528041560206139e-90,5.176771109695059e-94,1.0536061111837396e-97,2.1326225128280518e-101,4.295345673396911e-105,8.612521829427626e-109,1.7198227659191582e-112,3.421441877435968e-116,6.783272431295129e-120,1.3405743626098984e-123,2.641604731705573e-127,5.191136521876141e-131,1.0175540009594627e-134,1.9903108648343406e-138
