,0
0,0.0
1,36.5
2,73.0
3,109.5
4,146.0
5,182.5
6,219.0
7,255.5
8,292.0
9,328.5
10,365.0
11,401.5
12,438.0
13,474.5
14,511.0
15,547.5
16,584.0
17,620.5
18,657.0
19,693.5
20,730.0
21,766.5
22,803.0
23,839.5
24,876.0
25,912.5
26,949.0
27,985.5
28,1022.0
29,1058.5
30,1095.0
31,1131.5
32,1168.0
33,1204.5
34,1241.0
35,1277.5
36,1314.0
37,1350.5
38,1387.0
39,1423.5
40,1460.0
41,1496.5
42,1533.0
43,1569.5
44,1606.0
45,1642.5
46,1679.0
47,1715.5
48,1752.0
49,1788.5
50,1825.0
51,1861.5
52,1898.0
53,1934.5
54,1971.0
55,2007.5
56,2044.0
57,2080.5
58,2117.0
59,2153.5
60,2190.0
61,2226.5
62,2263.0
63,2299.5
64,2336.0
65,2372.5
66,2409.0
67,2445.5
68,2482.0
69,2518.5
70,2555.0
71,2591.5
72,2628.0
73,2664.5
74,2701.0
75,2737.5
76,2774.0
77,2810.5
78,2847.0
79,2883.5
80,2920.0
81,2956.5
82,2993.0
83,3029.5
84,3066.0
85,3102.5
86,3139.0
87,3175.5
88,3212.0
89,3248.5
90,3285.0
91,3321.5
92,3358.0
93,3394.5
94,3431.0
95,3467.5
96,3504.0
97,3540.5
98,3577.0
99,3613.5
100,3650.0
