,0
0,"[(0, 0, 0), 787.399, 0.0]"
1,"[(0, 0, 39), 791.767, 0.0]"
2,"[(0, 1, 0), 785.319, 0.0]"
3,"[(0, 1, 39), 789.687, 0.0]"
4,"[(0, 2, 0), 783.239, 0.0]"
5,"[(0, 2, 39), 787.607, 0.0]"
6,"[(0, 3, 0), 781.367, 0.0]"
7,"[(0, 3, 39), 785.735, 0.0]"
8,"[(0, 4, 0), 780.119, 0.0]"
9,"[(0, 4, 39), 784.487, 0.0]"
10,"[(0, 5, 0), 779.495, 0.0]"
11,"[(0, 5, 39), 783.863, 0.0]"
12,"[(0, 6, 0), 779.183, 0.0]"
13,"[(0, 6, 39), 783.551, 0.0]"
14,"[(0, 7, 0), 779.027, 0.0]"
15,"[(0, 7, 39), 783.395, 0.0]"
16,"[(0, 8, 0), 778.949, 0.0]"
17,"[(0, 8, 39), 783.317, 0.0]"
18,"[(0, 9, 0), 778.897, 0.0]"
19,"[(0, 9, 39), 783.265, 0.0]"
20,"[(0, 10, 0), 778.845, 0.0]"
21,"[(0, 10, 39), 783.213, 0.0]"
22,"[(0, 11, 0), 778.793, 0.0]"
23,"[(0, 11, 39), 783.161, 0.0]"
24,"[(0, 12, 0), 778.741, 0.0]"
25,"[(0, 12, 39), 783.109, 0.0]"
26,"[(0, 13, 0), 778.689, 0.0]"
27,"[(0, 13, 39), 783.057, 0.0]"
28,"[(0, 14, 0), 778.637, 0.0]"
29,"[(0, 14, 39), 783.005, 0.0]"
30,"[(0, 15, 0), 778.585, 0.0]"
31,"[(0, 15, 39), 782.953, 0.0]"
32,"[(0, 16, 0), 778.533, 0.0]"
33,"[(0, 16, 39), 782.901, 0.0]"
34,"[(0, 17, 0), 778.481, 0.0]"
35,"[(0, 17, 39), 782.849, 0.0]"
36,"[(0, 18, 0), 778.429, 0.0]"
37,"[(0, 18, 39), 782.797, 0.0]"
38,"[(0, 19, 0), 778.377, 0.0]"
39,"[(0, 19, 39), 782.745, 0.0]"
40,"[(0, 20, 0), 778.325, 0.0]"
41,"[(0, 20, 39), 782.693, 0.0]"
42,"[(0, 21, 0), 778.273, 0.0]"
43,"[(0, 21, 39), 782.641, 0.0]"
44,"[(0, 22, 0), 778.221, 0.0]"
45,"[(0, 22, 39), 782.589, 0.0]"
46,"[(0, 23, 0), 778.169, 0.0]"
47,"[(0, 23, 39), 782.537, 0.0]"
48,"[(0, 24, 0), 778.117, 0.0]"
49,"[(0, 24, 39), 782.485, 0.0]"
50,"[(0, 25, 0), 778.065, 0.0]"
51,"[(0, 25, 39), 782.433, 0.0]"
52,"[(0, 26, 0), 778.013, 0.0]"
53,"[(0, 26, 39), 782.381, 0.0]"
54,"[(0, 27, 0), 777.961, 0.0]"
55,"[(0, 27, 39), 782.329, 0.0]"
56,"[(0, 28, 0), 777.909, 0.0]"
57,"[(0, 28, 39), 782.277, 0.0]"
58,"[(0, 29, 0), 777.857, 0.0]"
59,"[(0, 29, 39), 782.225, 0.0]"
60,"[(0, 30, 0), 777.805, 0.0]"
61,"[(0, 30, 39), 782.173, 0.0]"
62,"[(0, 31, 0), 777.753, 0.0]"
63,"[(0, 31, 39), 782.121, 0.0]"
64,"[(0, 32, 0), 777.701, 0.0]"
65,"[(0, 32, 39), 782.069, 0.0]"
66,"[(0, 33, 0), 777.649, 0.0]"
67,"[(0, 33, 39), 782.017, 0.0]"
68,"[(0, 34, 0), 777.597, 0.0]"
69,"[(0, 34, 39), 781.965, 0.0]"
70,"[(0, 35, 0), 777.545, 0.0]"
71,"[(0, 35, 39), 781.913, 0.0]"
72,"[(0, 36, 0), 777.493, 0.0]"
73,"[(0, 36, 39), 781.861, 0.0]"
74,"[(0, 37, 0), 777.441, 0.0]"
75,"[(0, 37, 39), 781.809, 0.0]"
76,"[(0, 38, 0), 777.389, 0.0]"
77,"[(0, 38, 39), 781.757, 0.0]"
78,"[(0, 39, 0), 777.337, 0.0]"
79,"[(0, 39, 39), 781.705, 0.0]"
80,"[(0, 40, 0), 777.285, 0.0]"
81,"[(0, 40, 39), 781.653, 0.0]"
82,"[(0, 41, 0), 777.233, 0.0]"
83,"[(0, 41, 39), 781.601, 0.0]"
84,"[(0, 42, 0), 777.181, 0.0]"
85,"[(0, 42, 39), 781.549, 0.0]"
86,"[(0, 43, 0), 777.129, 0.0]"
87,"[(0, 43, 39), 781.497, 0.0]"
88,"[(0, 44, 0), 777.077, 0.0]"
89,"[(0, 44, 39), 781.445, 0.0]"
90,"[(0, 45, 0), 777.025, 0.0]"
91,"[(0, 45, 39), 781.393, 0.0]"
92,"[(0, 46, 0), 776.973, 0.0]"
93,"[(0, 46, 39), 781.341, 0.0]"
94,"[(0, 47, 0), 776.921, 0.0]"
95,"[(0, 47, 39), 781.289, 0.0]"
96,"[(0, 48, 0), 776.869, 0.0]"
97,"[(0, 48, 39), 781.237, 0.0]"
98,"[(0, 49, 0), 776.817, 0.0]"
99,"[(0, 49, 39), 781.185, 0.0]"
100,"[(0, 50, 0), 776.765, 0.0]"
101,"[(0, 50, 39), 781.133, 0.0]"
102,"[(0, 51, 0), 776.713, 0.0]"
103,"[(0, 51, 39), 781.081, 0.0]"
104,"[(0, 52, 0), 776.661, 0.0]"
105,"[(0, 52, 39), 781.029, 0.0]"
106,"[(0, 53, 0), 776.583, 0.0]"
107,"[(0, 53, 39), 780.951, 0.0]"
108,"[(0, 54, 0), 776.427, 0.0]"
109,"[(0, 54, 39), 780.795, 0.0]"
110,"[(0, 55, 0), 776.115, 0.0]"
111,"[(0, 55, 39), 780.483, 0.0]"
112,"[(0, 56, 0), 775.491, 0.0]"
113,"[(0, 56, 39), 779.859, 0.0]"
114,"[(0, 57, 0), 774.243, 0.0]"
115,"[(0, 57, 39), 778.611, 0.0]"
116,"[(0, 58, 0), 772.371, 0.0]"
117,"[(0, 58, 39), 776.739, 0.0]"
118,"[(0, 59, 0), 770.291, 0.0]"
119,"[(0, 59, 39), 774.659, 0.0]"
120,"[(0, 60, 0), 768.211, 0.0]"
121,"[(0, 60, 39), 772.579, 0.0]"
122,"[(0, 0, 1), 788.218, 0.0]"
123,"[(0, 60, 1), 769.03, 0.0]"
124,"[(0, 0, 2), 788.764, 0.0]"
125,"[(0, 60, 2), 769.576, 0.0]"
126,"[(0, 0, 3), 789.037, 0.0]"
127,"[(0, 60, 3), 769.849, 0.0]"
128,"[(0, 0, 4), 789.173, 0.0]"
129,"[(0, 60, 4), 769.985, 0.0]"
130,"[(0, 0, 5), 789.241, 0.0]"
131,"[(0, 60, 5), 770.053, 0.0]"
132,"[(0, 0, 6), 789.276, 0.0]"
133,"[(0, 60, 6), 770.088, 0.0]"
134,"[(0, 0, 7), 789.298, 0.0]"
135,"[(0, 60, 7), 770.11, 0.0]"
136,"[(0, 0, 8), 789.321, 0.0]"
137,"[(0, 60, 8), 770.133, 0.0]"
138,"[(0, 0, 9), 789.344, 0.0]"
139,"[(0, 60, 9), 770.156, 0.0]"
140,"[(0, 0, 10), 789.367, 0.0]"
141,"[(0, 60, 10), 770.179, 0.0]"
142,"[(0, 0, 11), 789.389, 0.0]"
143,"[(0, 60, 11), 770.201, 0.0]"
144,"[(0, 0, 12), 789.412, 0.0]"
145,"[(0, 60, 12), 770.224, 0.0]"
146,"[(0, 0, 13), 789.435, 0.0]"
147,"[(0, 60, 13), 770.247, 0.0]"
148,"[(0, 0, 14), 789.458, 0.0]"
149,"[(0, 60, 14), 770.269, 0.0]"
150,"[(0, 0, 15), 789.48, 0.0]"
151,"[(0, 60, 15), 770.292, 0.0]"
152,"[(0, 0, 16), 789.503, 0.0]"
153,"[(0, 60, 16), 770.315, 0.0]"
154,"[(0, 0, 17), 789.526, 0.0]"
155,"[(0, 60, 17), 770.338, 0.0]"
156,"[(0, 0, 18), 789.549, 0.0]"
157,"[(0, 60, 18), 770.36, 0.0]"
158,"[(0, 0, 19), 789.571, 0.0]"
159,"[(0, 60, 19), 770.383, 0.0]"
160,"[(0, 0, 20), 789.594, 0.0]"
161,"[(0, 60, 20), 770.406, 0.0]"
162,"[(0, 0, 21), 789.617, 0.0]"
163,"[(0, 60, 21), 770.429, 0.0]"
164,"[(0, 0, 22), 789.64, 0.0]"
165,"[(0, 60, 22), 770.451, 0.0]"
166,"[(0, 0, 23), 789.662, 0.0]"
167,"[(0, 60, 23), 770.474, 0.0]"
168,"[(0, 0, 24), 789.685, 0.0]"
169,"[(0, 60, 24), 770.497, 0.0]"
170,"[(0, 0, 25), 789.708, 0.0]"
171,"[(0, 60, 25), 770.52, 0.0]"
172,"[(0, 0, 26), 789.731, 0.0]"
173,"[(0, 60, 26), 770.542, 0.0]"
174,"[(0, 0, 27), 789.753, 0.0]"
175,"[(0, 60, 27), 770.565, 0.0]"
176,"[(0, 0, 28), 789.776, 0.0]"
177,"[(0, 60, 28), 770.588, 0.0]"
178,"[(0, 0, 29), 789.799, 0.0]"
179,"[(0, 60, 29), 770.611, 0.0]"
180,"[(0, 0, 30), 789.821, 0.0]"
181,"[(0, 60, 30), 770.633, 0.0]"
182,"[(0, 0, 31), 789.844, 0.0]"
183,"[(0, 60, 31), 770.656, 0.0]"
184,"[(0, 0, 32), 789.867, 0.0]"
185,"[(0, 60, 32), 770.679, 0.0]"
186,"[(0, 0, 33), 789.89, 0.0]"
187,"[(0, 60, 33), 770.702, 0.0]"
188,"[(0, 0, 34), 789.924, 0.0]"
189,"[(0, 60, 34), 770.736, 0.0]"
190,"[(0, 0, 35), 789.992, 0.0]"
191,"[(0, 60, 35), 770.804, 0.0]"
192,"[(0, 0, 36), 790.129, 0.0]"
193,"[(0, 60, 36), 770.941, 0.0]"
194,"[(0, 0, 37), 790.402, 0.0]"
195,"[(0, 60, 37), 771.214, 0.0]"
196,"[(0, 0, 38), 790.948, 0.0]"
197,"[(0, 60, 38), 771.76, 0.0]"
198,"[(1, 0, 0), 787.399, 0.0]"
199,"[(1, 0, 39), 791.767, 0.0]"
200,"[(1, 1, 0), 785.319, 0.0]"
201,"[(1, 1, 39), 789.687, 0.0]"
202,"[(1, 2, 0), 783.239, 0.0]"
203,"[(1, 2, 39), 787.607, 0.0]"
204,"[(1, 3, 0), 781.367, 0.0]"
205,"[(1, 3, 39), 785.735, 0.0]"
206,"[(1, 4, 0), 780.119, 0.0]"
207,"[(1, 4, 39), 784.487, 0.0]"
208,"[(1, 5, 0), 779.495, 0.0]"
209,"[(1, 5, 39), 783.863, 0.0]"
210,"[(1, 6, 0), 779.183, 0.0]"
211,"[(1, 6, 39), 783.551, 0.0]"
212,"[(1, 7, 0), 779.027, 0.0]"
213,"[(1, 7, 39), 783.395, 0.0]"
214,"[(1, 8, 0), 778.949, 0.0]"
215,"[(1, 8, 39), 783.317, 0.0]"
216,"[(1, 9, 0), 778.897, 0.0]"
217,"[(1, 9, 39), 783.265, 0.0]"
218,"[(1, 10, 0), 778.845, 0.0]"
219,"[(1, 10, 39), 783.213, 0.0]"
220,"[(1, 11, 0), 778.793, 0.0]"
221,"[(1, 11, 39), 783.161, 0.0]"
222,"[(1, 12, 0), 778.741, 0.0]"
223,"[(1, 12, 39), 783.109, 0.0]"
224,"[(1, 13, 0), 778.689, 0.0]"
225,"[(1, 13, 39), 783.057, 0.0]"
226,"[(1, 14, 0), 778.637, 0.0]"
227,"[(1, 14, 39), 783.005, 0.0]"
228,"[(1, 15, 0), 778.585, 0.0]"
229,"[(1, 15, 39), 782.953, 0.0]"
230,"[(1, 16, 0), 778.533, 0.0]"
231,"[(1, 16, 39), 782.901, 0.0]"
232,"[(1, 17, 0), 778.481, 0.0]"
233,"[(1, 17, 39), 782.849, 0.0]"
234,"[(1, 18, 0), 778.429, 0.0]"
235,"[(1, 18, 39), 782.797, 0.0]"
236,"[(1, 19, 0), 778.377, 0.0]"
237,"[(1, 19, 39), 782.745, 0.0]"
238,"[(1, 20, 0), 778.325, 0.0]"
239,"[(1, 20, 39), 782.693, 0.0]"
