,DESCR,RCH_mmy,geometry
0,1112 - tessuto residenziale continuo mediamente denso,0,"POLYGON ((1520308.2067 5029502.8386, 1520108.0085000005 5029452.9638, 1520107.9724000003 5029452.9899, 1520109.1102999998 5029463.715500001, 1520109.7884999998 5029470.107100001, 1520110.0915 5029484.821599999, 1520110.6829000004 5029513.5271000005, 1520108.9908999996 5029528.9646000005, 1520106.9101 5029538.5789, 1520104.4096 5029549.924900001, 1520101.7138999999 5029558.6598000005, 1520096.7536000004 5029570.887399999, 1520090.3413000004 5029586.887, 1520086.4807000002 5029595.3739, 1520085.1043999996 5029597.5024, 1520081.9516000003 5029602.336200001, 1520079.5110999998 5029604.634099999, 1520088.1465999996 5029615.585999999, 1520089.6349999998 5029628.980599999, 1520095.2163000004 5029637.166300001, 1520124.6111000003 5029652.4212, 1520159.5869000005 5029672.5133, 1520177.0750000002 5029669.1645, 1520190.8419000003 5029660.9789, 1520249.6301999995 5029583.5875, 1520308.2067 5029502.8386))"
1,1112 - tessuto residenziale continuo mediamente denso,0,"MULTIPOLYGON (((1520632.5064000003 5029583.6304, 1520619.2582999999 5029580.3299, 1520619.6651999997 5029580.5857, 1520628.1320000002 5029585.907500001, 1520630.1174999997 5029587.1555, 1520632.5064000003 5029583.6304)), ((1520251.4732 5029738.8017, 1520304.4829000002 5029662.156300001, 1520305.7282999996 5029662.3758000005, 1520315.5768999998 5029664.111199999, 1520325.4254 5029665.8466, 1520335.2740000002 5029667.581900001, 1520345.1226000004 5029669.3171999995, 1520354.9711999996 5029671.0526, 1520361.2348999996 5029672.156300001, 1520364.2972 5029674.124399999, 1520372.7100999998 5029679.5308, 1520381.1229999997 5029684.9373, 1520389.5357999997 5029690.343699999, 1520406.7664 5029691.757999999, 1520419.7660999997 5029676.8434, 1520426.3323 5029669.3100000005, 1520432.8982999995 5029661.7765999995, 1520439.7030999996 5029653.9695999995, 1520442.7015000004 5029656.200300001, 1520450.1398 5029661.733999999, 1520458.1435000002 5029667.688100001, 1520470.7057999996 5029677.0338, 1520483.0345 5029684.1208999995, 1520483.3679 5029684.3126, 1520492.0335 5029689.294, 1520500.699 5029694.2754999995, 1520509.3646 5029699.2568, 1520518.0299000004 5029704.2382, 1520526.6953999996 5029709.2195, 1520535.3609999996 5029714.200999999, 1520543.4313000003 5029718.8401999995, 1520543.8661000002 5029719.090299999, 1520548.0175 5029721.4767, 1520549.8038999997 5029722.5035, 1520552.4559000004 5029724.028000001, 1520553.7334000003 5029712.7556, 1520554.9085 5029702.3872, 1520560.3742000004 5029694.0129, 1520552.4511000002 5029687.911, 1520544.5283000004 5029681.8092, 1520536.6053999998 5029675.7074, 1520528.6823000005 5029669.6055, 1520522.9348 5029665.179099999, 1520524.4395000003 5029662.8824000005, 1520529.9199 5029654.5177, 1520535.4002 5029646.153000001, 1520540.8805999998 5029637.7883, 1520543.0434999997 5029634.487199999, 1520538.1772999996 5029630.886399999, 1520530.1383999996 5029624.937899999, 1520517.3394999998 5029615.8992, 1520532.1525999997 5029593.798699999, 1520540.5968000004 5029581.1996, 1520546.1626000004 5029572.895400001, 1520551.7284000004 5029564.591, 1520552.3513000002 5029563.661599999, 1520422.7106999997 5029531.364600001, 1520417.3311 5029537.9519, 1520411.0082 5029545.694, 1520404.6853 5029553.4363, 1520398.0085000005 5029561.6118, 1520383.0948 5029550.937899999, 1520374.995 5029545.141100001, 1520373.2838000003 5029543.9164, 1520366.8953999998 5029539.3441, 1520358.7955999998 5029533.5472, 1520346.0502000004 5029524.4254, 1520342.9813 5029522.526900001, 1520341.2141000004 5029522.088099999, 1520339.9551 5029521.8838, 1520323.8053000001 5029513.7466, 1520322.8224 5029513.251499999, 1520272.5697999997 5029573.916200001, 1520269.3386000004 5029578.5744, 1520260.8969999999 5029590.743799999, 1520253.8388999999 5029600.051100001, 1520247.7965000002 5029608.019099999, 1520241.7542000003 5029615.9869, 1520235.7116999999 5029623.954700001, 1520229.6692000004 5029631.922700001, 1520223.6267999997 5029639.8906, 1520217.5843000002 5029647.8585, 1520209.1328999996 5029659.0032, 1520202.7045 5029662.882200001, 1520194.0363999996 5029670.8793, 1520191.8443999998 5029672.9015, 1520187.2253999999 5029676.1533, 1520183.5732000005 5029678.0524, 1520187.2638999997 5029681.197000001, 1520188.2463999996 5029682.2666, 1520189.3448 5029683.7479, 1520190.9418000001 5029688.507999999, 1520197.4312000005 5029694.7914, 1520206.4945 5029703.567, 1520215.7999 5029712.585000001, 1520222.3465 5029718.082800001, 1520237.279 5029730.6230999995, 1520238.2028 5029731.3991, 1520248.3158 5029737.0404, 1520251.4732 5029738.8017)))"
2,1112 - tessuto residenziale continuo mediamente denso,0,"POLYGON ((1520863.4462000001 5032363.4003, 1520863.2679000003 5032358.2234000005, 1520862.9671 5032349.489700001, 1520862.6239 5032339.5241, 1520862.5119000003 5032336.273800001, 1520862.1474000001 5032325.689200001, 1520860.8276000004 5032311.216399999, 1520860.54 5032308.0634, 1520857.3104999997 5032291.332699999, 1520857.2402 5032291.101299999, 1520851.2526000002 5032271.3814, 1520844.3498999998 5032253.7382, 1520853.8926999997 5032240.605699999, 1520854.4587000003 5032230.6217, 1520855.0247 5032220.637700001, 1520855.2775999997 5032216.1775, 1520856.1621000003 5032210.7159, 1520857.761 5032200.8445, 1520859.3598999996 5032190.973099999, 1520860.9584999997 5032181.1017, 1520861.0273000002 5032180.677200001, 1520859.0091000004 5032171.3223, 1520858.7873999998 5032170.2949, 1520857.0530000003 5032161.5155, 1520856.7290000003 5032159.875, 1520855.2578999996 5032151.678099999, 1520854.8526999997 5032149.4208, 1520853.6728999997 5032141.8048, 1520852.1420999998 5032131.922599999, 1520852.0266000004 5032131.1767, 1520842.1042 5032129.9300999995, 1520830.0478999997 5032128.6818, 1520830.0480000004 5032128.415200001, 1520830.0483 5032128.075300001, 1520830.0488 5032127.353800001, 1520812.3723999998 5032125.9287, 1520802.6864999998 5032124.5397, 1520802.4740000004 5032124.5052000005, 1520792.6025 5032122.9048, 1520779.8811999997 5032121.433, 1520779.8543999996 5032120.8379999995, 1520779.8163 5032119.994100001, 1520779.6831 5032117.0447, 1520779.2320999997 5032107.0548, 1520778.7811000003 5032097.0649, 1520778.3301 5032087.074999999, 1520777.8789 5032077.085100001, 1520777.4280000003 5032067.0952, 1520776.9769000001 5032057.1053, 1520776.5258999998 5032047.1153, 1520776.0749000004 5032037.125399999, 1520775.6239 5032027.135500001, 1520775.4819999998 5032023.9914, 1520775.1730000004 5032017.148800001, 1520774.7221999997 5032007.163699999, 1520774.2714 5031997.1785, 1520773.8206000002 5031987.193299999, 1520773.3696999997 5031977.2082, 1520772.9189999998 5031967.222999999, 1520772.4682 5031957.2378, 1520772.0174000002 5031947.252599999, 1520771.5665999996 5031937.2674, 1520771.1157999998 5031927.282299999, 1520770.5846999995 5031915.520199999, 1520769.7632 5031897.318, 1520769.3123000003 5031887.3287, 1520768.8613999998 5031877.339500001, 1520768.4107 5031867.350299999, 1520767.9596999995 5031857.361099999, 1520767.5088999998 5031847.3719, 1520767.0579000004 5031837.3827, 1520766.6072000004 5031827.3936, 1520766.1563 5031817.4043000005, 1520765.7054000003 5031807.415100001, 1520765.2545999996 5031797.425899999, 1520764.8037 5031787.4366, 1520764.3528000005 5031777.4475, 1520763.9020999996 5031767.4583, 1520763.4511000002 5031757.4691, 1520763.0003000004 5031747.479800001, 1520762.7322000004 5031741.5396, 1520762.5493 5031737.4904, 1520761.8066999996 5031721.035, 1520761.1955000004 5031707.523700001, 1520760.7438000003 5031697.5371, 1520760.4051 5031690.0505, 1520760.2922 5031687.552100001, 1520759.8405999998 5031677.572000001, 1520759.3893 5031667.592, 1520759.0312 5031659.676999999, 1520758.2685000002 5031659.7228, 1520746.2626 5031660.4451, 1520736.2829 5031661.087200001, 1520726.3032 5031661.7293, 1520711.6371 5031662.3445, 1520710.8459 5031662.377699999, 1520710.8461999996 5031662.6735, 1520710.8578000003 5031672.6543000005, 1520710.8612000002 5031675.453299999, 1520710.8695 5031682.635, 1520710.8827999998 5031694.047700001, 1520710.9559000004 5031696.5008000005, 1520711.4354999997 5031712.5954, 1520711.7331999997 5031722.586200001, 1520712.0308999997 5031732.577099999, 1520712.3285999997 5031742.5679, 1520712.6264000004 5031752.558700001, 1520712.9239999996 5031762.5496, 1520713.2216999996 5031772.5405, 1520713.6732 5031787.691299999, 1520713.7276999997 5031794.2629, 1520713.7517999997 5031797.1570999995, 1520713.5311000003 5031802.5111, 1520711.6418000003 5031808.5933, 1520717.3568000002 5031824.170299999, 1520716.5329999998 5031834.674000001, 1520716.2123999996 5031838.760600001, 1520724.6673999997 5032091.426999999, 1520713.3232000005 5032092.4462, 1520713.0855 5032092.467499999, 1520713.0384999998 5032092.4717, 1520710.3863000004 5032092.710000001, 1520700.4266999997 5032093.605, 1520681.0047000004 5032095.3499, 1520681.0210999995 5032096.2206, 1520681.3590000002 5032114.2238, 1520681.5465000002 5032124.2193, 1520681.7341 5032134.2148, 1520681.9216999998 5032144.2104, 1520682.1092999997 5032154.206, 1520682.2969000004 5032164.2016, 1520682.4845000003 5032174.1971, 1520682.6720000003 5032184.1927000005, 1520683.0028 5032201.8114, 1520665.5971 5032200.961100001, 1520655.6123000002 5032201.518300001, 1520645.6277 5032202.0757, 1520635.6427999996 5032202.6329, 1520625.2799000004 5032204.732100001, 1520618.6925 5032206.0667, 1520615.5094999997 5032227.6204, 1520616.2136000004 5032227.657, 1520620.068 5032227.8575, 1520615.8832999999 5032239.92, 1520612.6085 5032249.359200001, 1520609.0148 5032259.7179000005, 1520601.3311 5032277.522, 1520594.4596999995 5032293.4442, 1520588.1471999995 5032308.144300001, 1520583.6235999996 5032318.683800001, 1520571.7280000001 5032335.5206, 1520563.2433000002 5032348.000700001, 1520552.3967000004 5032363.954700001, 1520546.4255999997 5032372.7425, 1520543.3384999996 5032377.2861, 1520542.0126999998 5032379.2371, 1520617.0680999998 5032387.4728999995, 1520647.3384999996 5032384.853399999, 1520729.1266 5032374.375600001, 1520781.8086 5032367.3904, 1520816.4448999995 5032364.48, 1520847.8071999997 5032365.070499999, 1520863.4462000001 5032363.4003))"
3,1111 - tessuto residenziale denso,0,"POLYGON ((1519765.6217999998 5030484.3342, 1519755.6928000003 5030476.259299999, 1519747.9343999997 5030469.9497, 1519743.7928 5030466.5814, 1519740.193 5030463.619000001, 1519732.4715 5030457.2643, 1519724.75 5030450.909499999, 1519710.7066000002 5030440.251, 1519711.0987999998 5030439.674900001, 1519711.1179 5030439.6469, 1519712.2122999998 5030438.0393, 1519714.7939 5030434.247300001, 1519717.8311 5030429.7864, 1519723.4497999996 5030421.5337000005, 1519729.0685999999 5030413.2809, 1519734.6873000003 5030405.028000001, 1519740.3059999999 5030396.7751, 1519745.9248000002 5030388.5222, 1519751.5436000004 5030380.269400001, 1519757.1623999998 5030372.0165, 1519760.9433000004 5030366.4629999995, 1519762.7810000004 5030363.763800001, 1519768.3997999998 5030355.5109, 1519774.0187 5030347.257999999, 1519785.1612 5030330.8917, 1519793.0362999998 5030338.2859000005, 1519796.1907000002 5030341.2475000005, 1519799.0986000001 5030338.2859000005, 1519799.6600000001 5030337.714199999, 1519806.7637 5030327.5934, 1519809.2141000004 5030324.612500001, 1519810.3084000004 5030323.403100001, 1519810.6979999999 5030322.9725, 1519812.9011000004 5030321.357799999, 1519814.9737 5030319.0977, 1519801.8819000004 5030310.069, 1519798.5137999998 5030303.970000001, 1519797.1246999996 5030300.3441, 1519796.8629 5030296.532199999, 1519797.6156000001 5030293.4683, 1519798.5459000003 5030291.2048, 1519798.9869 5030289.7622, 1519799.1464999998 5030289.2402, 1519801.1446000002 5030286.017100001, 1519806.3953999998 5030277.5472, 1519811.6618999997 5030269.0524, 1519816.9281000001 5030260.557399999, 1519822.1945000002 5030252.0625, 1519827.4609000003 5030243.567600001, 1519832.7270999998 5030235.072699999, 1519840.5694000004 5030222.422700001, 1519843.2082000002 5030216.831599999, 1519845.1282000002 5030210.816199999, 1519845.8517000005 5030207.0636, 1519846.6882999996 5030202.288699999, 1519846.8208999997 5030197.367799999, 1519831.8661000002 5030192.4679000005, 1519815.7227999996 5030180.660499999, 1519773.4719000002 5030227.1609000005, 1519662.9075999996 5030377.036900001, 1519544.3392000003 5030520.859999999, 1519588.7194999997 5030566.1634, 1519608.5132999998 5030569.5338, 1519623.3302999996 5030567.417199999, 1519649.6975999996 5030546.121099999, 1519650.8477999996 5030545.192, 1519680.4818000002 5030524.0252, 1519707.9993000003 5030510.2667, 1519749.2756000003 5030497.5666000005, 1519765.6217999998 5030484.3342))"
4,1111 - tessuto residenziale denso,0,"POLYGON ((1519449.3879000004 5031397.530300001, 1519438.0612000003 5031384.117000001, 1519431.6102999998 5031376.477499999, 1519425.1591999996 5031368.8379999995, 1519418.7081000004 5031361.1985, 1519412.2571 5031353.559, 1519405.8060999997 5031345.919500001, 1519399.3548999997 5031338.279999999, 1519392.904 5031330.6404, 1519386.4529 5031323.001, 1519380.0017999997 5031315.361400001, 1519373.5506999996 5031307.721999999, 1519367.0998 5031300.0824, 1519360.6486999998 5031292.4429, 1519354.1975999996 5031284.8035, 1519348.8189000003 5031278.433800001, 1519347.7465000004 5031277.163799999, 1519341.295 5031269.5239, 1519334.8436000003 5031261.8839, 1519328.3920999998 5031254.243899999, 1519321.9407000002 5031246.6039, 1519315.4891 5031238.9639, 1519309.0378 5031231.323999999, 1519302.5862999996 5031223.684, 1519302.4162999997 5031223.4827, 1519296.1349 5031216.044199999, 1519289.6836 5031208.4043000005, 1519283.2324 5031200.7645, 1519276.7808999997 5031193.1247000005, 1519270.3296999997 5031185.4848, 1519261.4993000003 5031175.027799999, 1519246.0255000005 5031185.1602, 1519238.3057000004 5031191.516899999, 1519230.5859000003 5031197.8737, 1519222.8661000002 5031204.2304, 1519215.1463000001 5031210.587200001, 1519207.4266 5031216.9438000005, 1519199.7067999998 5031223.3007, 1519191.9869999997 5031229.657400001, 1519183.0384999998 5031234.696900001, 1519176.9742 5031238.112, 1519167.1194000002 5031246.7872, 1519159.6172000002 5031253.3912, 1519152.1152 5031259.9953000005, 1519144.6130999997 5031266.599300001, 1519137.1111000003 5031273.203400001, 1519135.1122000003 5031274.9629, 1519135.0401999997 5031275.0263, 1519140.5762 5031281.4057, 1519147.1750999996 5031289.0098, 1519153.6837999998 5031296.6019, 1519160.1926999995 5031304.194, 1519166.7015000004 5031311.7861, 1519173.2103000004 5031319.3781, 1519179.7191000003 5031326.9703, 1519186.2279000003 5031334.5624, 1519192.7366000004 5031342.1546, 1519199.2455000002 5031349.7467, 1519205.7543000001 5031357.3387, 1519212.2630000003 5031364.9309, 1519218.7719 5031372.5229, 1519225.2806000002 5031380.1152, 1519231.7894000001 5031387.7072, 1519238.2982 5031395.2993, 1519244.807 5031402.8915, 1519251.3158 5031410.4835, 1519257.8246999998 5031418.0757, 1519264.3334 5031425.6678, 1519270.8421999998 5031433.26, 1519277.3510999996 5031440.852, 1519283.8597999997 5031448.4441, 1519290.3685999997 5031456.0363, 1519296.8773999996 5031463.6283, 1519303.3861999996 5031471.2206, 1519309.8948999997 5031478.8126, 1519316.4038000004 5031486.4048, 1519322.9124999996 5031493.9968, 1519333.8694000002 5031494.092599999, 1519449.3879000004 5031397.530300001))"
5,1111 - tessuto residenziale denso,0,"POLYGON ((1517505.2622999996 5031554.592499999, 1517498.5612000003 5031548.483899999, 1517491.1816999996 5031541.756999999, 1517483.8024000004 5031535.029999999, 1517476.4231000002 5031528.303099999, 1517469.0436000004 5031521.576300001, 1517461.6643000003 5031514.849400001, 1517454.2847999996 5031508.122400001, 1517446.9053999996 5031501.3956, 1517439.5262000002 5031494.6686, 1517437.7391 5031493.0397, 1517437.1512000002 5031492.503699999, 1517449.3486000001 5031477.5657, 1517455.2725999998 5031469.509099999, 1517461.1966000004 5031461.452500001, 1517465.3938999996 5031455.7443, 1517463.1405999996 5031453.895400001, 1517455.4095 5031447.552200001, 1517447.6785000004 5031441.209000001, 1517439.9473 5031434.865800001, 1517432.2164000003 5031428.522500001, 1517421.1873000003 5031419.1965, 1517421.1719000004 5031419.213500001, 1517414.7865000004 5031426.2731, 1517408.0820000004 5031433.6854, 1517401.3775000004 5031441.097999999, 1517392.6107 5031450.7904, 1517392.0599999996 5031451.3993, 1517381.5082 5031441.779100001, 1517374.1198000005 5031435.043, 1517366.7313 5031428.307, 1517359.3428999996 5031421.570900001, 1517351.9545 5031414.834899999, 1517344.5661000004 5031408.0989, 1517337.1776 5031401.3627, 1517329.7892000005 5031394.626700001, 1517329.2532000002 5031394.138, 1517322.3998999996 5031387.889799999, 1517314.3745999997 5031380.573100001, 1517258.0537 5031607.542099999, 1517258.2801 5031607.668099999, 1517270.0307 5031623.668199999, 1517488.2873999998 5031601.668299999, 1517492.6623 5031575.668199999, 1517502.7874999996 5031556.668099999, 1517505.2622999996 5031554.592499999))"
6,1111 - tessuto residenziale denso,0,"POLYGON ((1517535.3117000004 5031721.41, 1517536.2896999996 5031671.6687, 1517530.9551 5031668.4649, 1517525.6772999996 5031665.168400001, 1517520.4578 5031661.7804000005, 1517515.2982 5031658.3017, 1517510.2001 5031654.7335, 1517501.2884 5031648.1686, 1517492.6628999999 5031628.168500001, 1517273.4061000003 5031651.168299999, 1517274.4061000003 5031658.668400001, 1517268.5312 5031681.668400001, 1517396.0366000002 5031762.0646, 1517407.1043999996 5031745.4059, 1517412.6382999998 5031737.0767, 1517418.1721 5031728.747400001, 1517423.0618000003 5031721.387800001, 1517424.2260999996 5031721.388, 1517434.2264 5031721.390000001, 1517444.2267000005 5031721.391899999, 1517454.2270999998 5031721.393999999, 1517464.2274000002 5031721.3958, 1517474.2276999997 5031721.3979, 1517484.2281 5031721.4, 1517494.2282999996 5031721.401799999, 1517504.2286 5031721.403899999, 1517514.2290000003 5031721.4058, 1517524.2292999998 5031721.4078, 1517535.3117000004 5031721.41))"
7,1111 - tessuto residenziale denso,0,"POLYGON ((1517922.9658000004 5031584.826300001, 1517921.8011999996 5031580.1687, 1517879.4343999997 5031584.855699999, 1517829.1010999996 5031590.4242, 1517786.9951999998 5031595.0823, 1517659.6681000004 5031609.168500001, 1517659.9181000004 5031614.6686, 1517648.4688 5031630.743100001, 1517641.0428 5031641.1687, 1517617.7922 5031660.1688, 1517590.0414000005 5031665.6688, 1517590.0425000004 5031779.563999999, 1517590.0429999996 5031827.169600001, 1517629.9606999997 5031799.8456, 1517726.676 5031733.643200001, 1517926.0516 5031597.1688, 1517922.9658000004 5031584.826300001))"
8,1111 - tessuto residenziale denso,0,"POLYGON ((1518236.5136000002 5031779.4888, 1518236.8134000003 5031779.1702, 1518228.7237 5031774.070900001, 1518220.2638999997 5031768.7381, 1518211.8041000003 5031763.4055, 1518203.3442000002 5031758.072899999, 1518194.8843999999 5031752.7401, 1518193.1867000004 5031751.67, 1518186.5779999997 5031756.1665, 1518178.3101000004 5031761.791999999, 1518170.0422 5031767.4175, 1518161.7744000005 5031773.0429, 1518153.5064000003 5031778.668400001, 1518145.2385 5031784.2938, 1518136.9707000004 5031789.919199999, 1518120.7196000004 5031800.689099999, 1518120.8483999996 5031800.888900001, 1518120.8551000003 5031800.8993999995, 1518124.5647999998 5031806.6558, 1518128.2632 5031812.395099999, 1518129.9626000002 5031815.0319, 1518129.9732 5031815.0483, 1518130.6474000001 5031816.0945999995, 1518136.0643999996 5031824.500399999, 1518142.2684000004 5031834.1274999995, 1518148.8112000003 5031846.670499999, 1518152.54 5031844.2236, 1518160.9006000003 5031838.737, 1518166.4781999998 5031835.0768, 1518174.8389999997 5031829.5901999995, 1518183.1996 5031824.103599999, 1518191.5603 5031818.617000001, 1518199.9211 5031813.1305, 1518208.2817000002 5031807.6439, 1518212.8129000003 5031804.670299999, 1518215.9521000003 5031801.334899999, 1518222.8059999999 5031794.0529, 1518229.6596999997 5031786.7709, 1518236.5136000002 5031779.4888))"
9,1111 - tessuto residenziale denso,0,"POLYGON ((1520681.0047000004 5032095.3499, 1520700.4266999997 5032093.605, 1520710.3863000004 5032092.710000001, 1520713.0384999998 5032092.4717, 1520713.0855 5032092.467499999, 1520713.3232000005 5032092.4462, 1520724.6673999997 5032091.426999999, 1520716.2123999996 5031838.760600001, 1520716.5329999998 5031834.674000001, 1520717.3568000002 5031824.170299999, 1520711.6418000003 5031808.5933, 1520713.5311000003 5031802.5111, 1520713.7517999997 5031797.1570999995, 1520713.7276999997 5031794.2629, 1520713.6732 5031787.691299999, 1520694.8542 5031794.794500001, 1520684.8578000003 5031795.075999999, 1520674.8613999998 5031795.3577, 1520664.8650000002 5031795.6391, 1520663.6419000002 5031795.673599999, 1520654.9183 5031796.637, 1520644.9785000002 5031797.7345, 1520635.0384999998 5031798.8322, 1520625.0986000001 5031799.9299, 1520622.8907000003 5031800.173599999, 1520622.8907000003 5031807.952400001, 1520622.8908000002 5031817.952500001, 1520622.8908000002 5031818.673699999, 1520613.6187000005 5031819.028100001, 1520603.6256 5031819.4099, 1520593.6326000001 5031819.7919, 1520583.6396000003 5031820.173699999, 1520583.8219999997 5031824.234200001, 1520584.2709999997 5031834.224300001, 1520584.7197000002 5031844.214299999, 1520585.1687000003 5031854.204299999, 1520585.6176000005 5031864.1941, 1520586.0664999997 5031874.1842, 1520586.5153 5031884.1742, 1520587.6448 5031884.0847, 1520597.614 5031883.2952, 1520607.5831000004 5031882.5056, 1520617.5521999998 5031881.7159, 1520624.3915 5031881.1743, 1520637.1045000004 5031880.061899999, 1520638.7832000004 5031963.9858, 1520638.9831999997 5031973.977, 1520639.1831 5031983.9681, 1520639.3828999996 5031993.9593, 1520639.5828 5032003.9505, 1520639.7827000003 5032013.941500001, 1520639.9825 5032023.932700001, 1520640.1825 5032033.923800001, 1520640.3779999996 5032043.7007, 1520640.3782000002 5032043.711300001, 1520640.3822999997 5032043.914999999, 1520640.5779 5032053.696900001, 1520640.6978000002 5032059.6828000005, 1520640.7777000004 5032063.682499999, 1520640.9775 5032073.668, 1520641.1771999998 5032083.6536, 1520641.4353999998 5032096.5634, 1520643.2823 5032096.5068, 1520655.3902000003 5032096.135399999, 1520665.3126999997 5032095.8311, 1520681.0047000004 5032095.3499))"
