#rno k i j rlen rwid rgrd rtp rbth rhk man ncon ustrf ndv line_id
1 1 1 63 51.259396 1.0 0.007861970926841712 107.059 1 1.0 0.03700000047683716 1 1.0 0 1001
2 1 2 63 50.696762 1.0 0.0018146176496171666 106.656 1 1.0 0.03700000047683716 2 1.0 0 1001
3 1 3 63 50.113888 1.0 0.0001 106.564 1 1.0 0.03700000047683716 2 1.0 0 1001
4 1 4 63 52.0423 1.0 0.0044771599969712465 106.564 1 1.0 0.03700000047683716 2 1.0 0 1001
5 1 5 63 27.091263 1.0 0.0001 106.331 1 1.0 0.03700000047683716 2 1.0 0 1001
6 1 5 64 31.655796 1.0 0.0001 106.331 1 1.0 0.03700000047683716 2 1.0 0 1001
7 1 6 64 50.340794 1.0 0.0001 106.331 1 1.0 0.03700000047683716 2 1.0 0 1001
8 1 7 64 50.210945 1.0 0.0001 106.331 1 1.0 0.03700000047683716 2 1.0 0 1001
9 1 8 64 50.547234 1.0 0.0001 106.331 1 1.0 0.03700000047683716 2 1.0 0 1001
10 1 9 64 7.924251 1.0 0.025491806982867564 106.331 1 1.0 0.03700000047683716 2 1.0 0 1001
11 1 9 64 47.346462 1.0 0.0001 106.129 1 1.0 0.03700000047683716 2 1.0 0 1002
12 1 10 64 26.540583 1.0 0.002863403562322973 106.129 1 1.0 0.03700000047683716 2 1.0 0 1002
13 1 10 65 29.704847 1.0 0.0001 106.053 1 1.0 0.03700000047683716 2 1.0 0 1002
14 1 11 65 59.295174 1.0 0.0001 106.053 1 1.0 0.03700000047683716 2 1.0 0 1002
15 1 12 65 7.35052 1.0 0.09278244180176422 106.053 1 1.0 0.03700000047683716 2 1.0 0 1002
16 1 12 66 53.057568 1.0 0.007180961185293574 105.371 1 1.0 0.03700000047683716 2 1.0 0 1002
17 1 12 67 54.168896 1.0 0.0001 104.99 1 1.0 0.03700000047683716 2 1.0 0 1002
18 1 12 68 11.69748 1.0 0.0001 104.99 1 1.0 0.03700000047683716 2 1.0 0 1002
19 1 13 68 50.918186 1.0 0.0001 104.99 1 1.0 0.03700000047683716 2 1.0 0 1002
20 1 14 68 38.633995 1.0 0.0001 104.99 1 1.0 0.03700000047683716 2 1.0 0 1002
21 1 14 67 14.001202 1.0 0.0001 104.99 1 1.0 0.03700000047683716 2 1.0 0 1002
22 1 15 67 58.95767 1.0 0.0001 104.99 1 1.0 0.03700000047683716 2 1.0 0 1002
23 1 16 67 53.183456 1.0 0.0001 104.99 1 1.0 0.03700000047683716 2 1.0 0 1002
24 1 17 67 5.9793153 1.0 0.03411674103014841 104.99 1 1.0 0.03700000047683716 2 1.0 0 1002
25 1 17 67 41.623817 1.0 0.0001 104.786 1 1.0 0.03700000047683716 2 1.0 0 1003
26 1 17 68 11.8996105 1.0 0.0001 104.786 1 1.0 0.03700000047683716 2 1.0 0 1003
27 1 18 68 57.260693 1.0 0.0001 104.786 1 1.0 0.03700000047683716 2 1.0 0 1003
28 1 19 68 50.61684 1.0 0.0001 104.786 1 1.0 0.03700000047683716 2 1.0 0 1003
29 1 20 68 50.19302 1.0 0.0001 104.786 1 1.0 0.03700000047683716 2 1.0 0 1003
30 1 21 68 51.693195 1.0 0.0056293747035748715 104.786 1 1.0 0.03700000047683716 2 1.0 0 1003
31 1 22 68 36.963406 1.0 0.0031654116443844953 104.495 1 1.0 0.03700000047683716 2 1.0 0 1003
32 1 22 69 37.419548 1.0 0.0001 104.378 1 1.0 0.03700000047683716 2 1.0 0 1003
33 1 23 69 34.887848 1.0 0.00578986271053748 104.378 1 1.0 0.03700000047683716 2 1.0 0 1003
34 1 23 70 25.899446 1.0 0.0001 104.176 1 1.0 0.03700000047683716 2 1.0 0 1003
35 1 24 70 52.86066 1.0 0.0001 104.176 1 1.0 0.03700000047683716 2 1.0 0 1003
36 1 25 70 37.11836 1.0 0.0001 104.176 1 1.0 0.03700000047683716 2 1.0 0 1003
37 1 25 70 16.127218 1.0 0.0001 104.176 1 1.0 0.03700000047683716 2 1.0 0 1004
38 1 26 70 26.820961 1.0 0.062041082902832244 104.176 1 1.0 0.03700000047683716 2 1.0 0 1004
39 1 26 69 46.100502 1.0 0.0001 102.512 1 1.0 0.03700000047683716 2 1.0 0 1004
40 1 27 69 80.93173 1.0 0.0001 102.512 1 1.0 0.03700000047683716 2 1.0 0 1004
41 1 28 69 6.6718497 1.0 0.0001 102.512 1 1.0 0.03700000047683716 2 1.0 0 1004
42 1 28 70 50.33196 1.0 0.0001 102.512 1 1.0 0.03700000047683716 2 1.0 0 1004
43 1 28 71 43.310593 1.0 0.0001 102.512 1 1.0 0.03700000047683716 2 1.0 0 1004
44 1 27 71 7.628179 1.0 0.0001 102.512 1 1.0 0.03700000047683716 2 1.0 0 1004
45 1 27 72 51.911434 1.0 0.0001 102.512 1 1.0 0.03700000047683716 2 1.0 0 1004
46 1 27 73 50.516605 1.0 0.0001 102.512 1 1.0 0.03700000047683716 2 1.0 0 1004
47 1 27 74 15.494623 1.0 0.0001 102.512 1 1.0 0.03700000047683716 2 1.0 0 1004
48 1 27 74 29.430277 1.0 0.0001 102.512 1 1.0 0.03700000047683716 2 1.0 0 1005
49 1 28 74 9.390792 1.0 0.0001 102.512 1 1.0 0.03700000047683716 2 1.0 0 1005
50 1 28 75 60.90043 1.0 0.0001 102.512 1 1.0 0.03700000047683716 2 1.0 0 1005
51 1 28 76 19.02652 1.0 0.00788381310138084 102.512 1 1.0 0.03700000047683716 2 1.0 0 1005
52 1 29 76 42.736725 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1005
53 1 29 77 38.10937 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1005
54 1 30 77 28.942705 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1005
55 1 30 78 40.125217 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1005
56 1 31 78 51.673325 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1005
57 1 31 79 4.96828 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1005
58 1 32 79 52.132603 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1005
59 1 33 79 51.535896 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1005
60 1 34 79 10.918079 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1005
61 1 34 78 44.881695 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1005
62 1 35 78 51.8906 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1005
63 1 35 77 10.031227 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1005
64 1 36 77 66.193504 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1005
65 1 37 77 2.706711 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1005
66 1 37 76 20.424242 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1005
67 1 37 76 31.151495 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1006
68 1 38 76 52.114315 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1006
69 1 39 76 51.098503 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1006
70 1 40 76 50.460785 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1006
71 1 41 76 50.819786 1.0 0.0001 102.362 1 1.0 0.03700000047683716 2 1.0 0 1006
72 1 42 76 20.028225 1.0 0.02206892243250311 102.362 1 1.0 0.03700000047683716 2 1.0 0 1006
73 1 42 75 35.37663 1.0 0.0001 101.92 1 1.0 0.03700000047683716 2 1.0 0 1006
74 1 43 75 52.968826 1.0 0.0001 101.92 1 1.0 0.03700000047683716 2 1.0 0 1006
75 1 44 75 50.748096 1.0 0.0001 101.92 1 1.0 0.03700000047683716 2 1.0 0 1006
76 1 45 74 53.50106 1.0 0.0001 101.92 1 1.0 0.03700000047683716 2 1.0 0 1006
77 1 46 74 53.99793 1.0 0.0001 101.92 1 1.0 0.03700000047683716 2 1.0 0 1006
78 1 47 74 50.77105 1.0 0.0001 101.92 1 1.0 0.03700000047683716 2 1.0 0 1006
79 1 48 74 9.555695 1.0 0.0001 101.92 1 1.0 0.03700000047683716 2 1.0 0 1006
80 1 48 73 14.135121 1.0 0.011177628227276012 101.92 1 1.0 0.03700000047683716 2 1.0 0 1006
81 1 48 73 29.99818 1.0 0.0001 101.762 1 1.0 0.03700000047683716 2 1.0 0 1007
82 1 49 73 53.98173 1.0 0.00022231664830163437 101.762 1 1.0 0.03700000047683716 2 1.0 0 1007
83 1 50 73 50.532536 1.0 0.0001 101.75 1 1.0 0.03700000047683716 2 1.0 0 1007
84 1 51 73 50.126377 1.0 0.0001 101.75 1 1.0 0.03700000047683716 2 1.0 0 1007
85 1 52 73 50.09999 1.0 0.0001 101.75 1 1.0 0.03700000047683716 2 1.0 0 1007
86 1 53 73 52.330704 1.0 0.0001 101.75 1 1.0 0.03700000047683716 2 1.0 0 1007
87 1 54 73 50.0784 1.0 0.0001 101.75 1 1.0 0.03700000047683716 2 1.0 0 1007
88 1 55 73 43.708656 1.0 0.0001 101.75 1 1.0 0.03700000047683716 2 1.0 0 1007
89 1 55 72 19.914007 1.0 0.05614119776738573 101.75 1 1.0 0.03700000047683716 2 1.0 0 1007
90 1 56 72 51.7853 1.0 0.00017384634899831355 100.632 1 1.0 0.03700000047683716 2 1.0 0 1007
91 1 57 72 51.34264 1.0 0.0001 100.623 1 1.0 0.03700000047683716 2 1.0 0 1008
92 1 58 72 50.800865 1.0 0.0001 100.623 1 1.0 0.03700000047683716 2 1.0 0 1008
93 1 59 72 50.901546 1.0 0.0001 100.623 1 1.0 0.03700000047683716 2 1.0 0 1008
94 1 60 72 50.833286 1.0 0.0007082586120997857 100.623 1 1.0 0.03700000047683716 2 1.0 0 1008
95 1 61 72 50.404797 1.0 0.0001 100.587 1 1.0 0.03700000047683716 2 1.0 0 1008
96 1 62 72 50.635967 1.0 0.002468601011834112 100.583 1 1.0 0.03700000047683716 2 1.0 0 1008
97 1 63 72 46.788246 1.0 0.0027784168910266705 100.458 1 1.0 0.03700000047683716 2 1.0 0 1008
98 1 63 73 13.869483 1.0 0.0028840956468542322 100.328 1 1.0 0.03700000047683716 2 1.0 0 1008
99 1 64 73 58.43757 1.0 0.000838563311138322 100.288 1 1.0 0.03700000047683716 2 1.0 0 1008
100 1 65 73 24.636164 1.0 0.0001 100.239 1 1.0 0.03700000047683716 2 1.0 0 1008
101 1 65 73 26.590162 1.0 0.0001 100.239 1 1.0 0.03700000047683716 2 1.0 0 1009
102 1 66 73 5.9608727 1.0 0.0001 100.239 1 1.0 0.03700000047683716 2 1.0 0 1009
103 1 66 74 45.37167 1.0 0.0001 100.239 1 1.0 0.03700000047683716 2 1.0 0 1009
104 1 67 74 52.45353 1.0 0.00245927784676174 100.239 1 1.0 0.03700000047683716 2 1.0 0 1009
105 1 68 74 51.935246 1.0 0.0001 100.11 1 1.0 0.03700000047683716 2 1.0 0 1009
106 1 69 74 47.69542 1.0 0.0001 100.11 1 1.0 0.03700000047683716 2 1.0 0 1009
107 1 69 75 3.4796667 1.0 0.08679048262460962 100.11 1 1.0 0.03700000047683716 2 1.0 0 1009
108 1 70 75 52.211452 1.0 0.000497993741323376 99.808 1 1.0 0.03700000047683716 2 1.0 0 1009
109 1 71 75 52.197334 1.0 0.0006896038636525414 99.782 1 1.0 0.03700000047683716 2 1.0 0 1009
110 1 72 75 51.684208 1.0 0.0001 99.746 1 1.0 0.03700000047683716 2 1.0 0 1009
111 1 73 75 27.492058 1.0 0.0001 99.746 1 1.0 0.03700000047683716 2 1.0 0 1009
112 1 73 76 23.842983 1.0 0.003984451933868721 99.746 1 1.0 0.03700000047683716 2 1.0 0 1009
113 1 74 76 50.5648 1.0 0.0002768712403129958 99.651 1 1.0 0.03700000047683716 2 1.0 0 1009
114 1 75 76 50.188526 1.0 0.0022913178087291563 99.637 1 1.0 0.03700000047683716 2 1.0 0 1009
115 1 76 76 50.097168 1.0 0.0001 99.522 1 1.0 0.03700000047683716 2 1.0 0 1009
116 1 77 76 50.018295 1.0 0.0001 99.522 1 1.0 0.03700000047683716 2 1.0 0 1009
117 1 78 76 50.01731 1.0 0.0001 99.522 1 1.0 0.03700000047683716 2 1.0 0 1009
118 1 79 76 50.005615 1.0 0.0001 99.522 1 1.0 0.03700000047683716 2 1.0 0 1009
119 1 80 76 50.004944 1.0 0.0001 99.522 1 1.0 0.03700000047683716 2 1.0 0 1009
120 1 81 76 50.055836 1.0 0.0033362706761256066 99.522 1 1.0 0.03700000047683716 2 1.0 0 1009
121 1 82 76 50.32912 1.0 0.0001 99.355 1 1.0 0.03700000047683716 2 1.0 0 1009
122 1 83 76 21.188452 1.0 0.0001 99.355 1 1.0 0.03700000047683716 2 1.0 0 1009
123 1 83 76 30.045856 1.0 0.0001 99.355 1 1.0 0.03700000047683716 2 1.0 0 1010
124 1 84 76 30.722887 1.0 0.0001 99.355 1 1.0 0.03700000047683716 2 1.0 0 1010
125 1 84 77 21.31604 1.0 0.017967841783061603 99.355 1 1.0 0.03700000047683716 2 1.0 0 1010
126 1 85 77 58.33167 1.0 0.0001 98.972 1 1.0 0.03700000047683716 2 1.0 0 1010
127 1 86 77 51.520916 1.0 0.0001 98.972 1 1.0 0.03700000047683716 2 1.0 0 1010
128 1 87 77 51.546284 1.0 0.0001 98.972 1 1.0 0.03700000047683716 2 1.0 0 1010
129 1 88 77 9.546926 1.0 0.0063891782743564695 98.972 1 1.0 0.03700000047683716 2 1.0 0 1010
130 1 88 78 54.467125 1.0 0.0001 98.911 1 1.0 0.03700000047683716 2 1.0 0 1010
131 1 88 79 50.632435 1.0 0.0001 98.911 1 1.0 0.03700000047683716 2 1.0 0 1010
132 1 88 80 53.27773 1.0 0.0001 98.911 1 1.0 0.03700000047683716 2 1.0 0 1010
133 1 88 81 4.1955304 1.0 0.27052649464435796 98.911 1 1.0 0.03700000047683716 2 1.0 0 1010
134 1 87 81 50.920044 1.0 0.0040455833455195775 97.776 1 1.0 0.03700000047683716 2 1.0 0 1010
135 1 88 82 57.56559 1.0 0.0001 97.57 1 1.0 0.03700000047683716 2 1.0 0 1010
136 1 88 83 30.800074 1.0 0.0001 97.57 1 1.0 0.03700000047683716 2 1.0 0 1010
137 1 89 83 35.72415 1.0 0.001 97.57 1 1.0 0.03700000047683716 1 1.0 0 1010
