per,k,i,j,q,boundname
0,0,42,71,-0.0095,19/16__0
1,0,42,71,-0.0095,19/16__0
0,0,40,65,-0.0095,19/18__0
1,0,40,65,-0.0095,19/18__0
0,0,42,73,-0.0095,19/19__0
1,0,42,73,-0.0095,19/19__0
0,0,41,69,-0.0095,19/20__0
1,0,41,69,-0.0095,19/20__0
0,0,38,65,-0.0095,19/21__0
1,0,38,65,-0.0095,19/21__0
0,0,43,11,-0.008,21/14__0
1,0,43,11,-0.008,21/14__0
0,0,45,9,-0.008,21/16__0
1,0,45,9,-0.008,21/16__0
0,0,41,7,-0.008,21/5__0
1,0,41,7,-0.008,21/5__0
0,0,40,9,-0.008,21/6__0
1,0,40,9,-0.008,21/6__0
0,0,37,53,-0.005,2503__0
1,0,37,53,-0.005,2503__0
0,0,38,51,0.0,2505__0
0,0,16,16,-0.01,2550__0
1,0,16,16,-0.01,2550__0
0,0,18,12,-0.008,2551__0
1,0,18,12,-0.008,2551__0
0,0,17,18,-0.012,2559__0
1,0,17,18,-0.012,2559__0
0,0,4,44,-0.0225,4740__0
1,0,4,44,-0.0225,4740__0
0,0,5,44,-0.0225,4741__0
1,0,5,44,-0.0225,4741__0
0,0,33,8,0.0,5196__0
0,0,57,28,0.0,5257/1__0
0,0,58,28,0.0,5257/2__0
0,0,66,36,0.0,5352/1-2__0
0,0,41,65,0.0,5426/p1-p2__0
0,0,42,66,0.0,5426/r1-r2-r3__0
0,0,15,53,-0.008,5600/p1__0
1,0,15,53,-0.008,5600/p1__0
0,0,16,54,-0.008,5600/p2__0
1,0,16,54,-0.008,5600/p2__0
0,0,17,54,-0.008,5600/p3__0
1,0,17,54,-0.008,5600/p3__0
0,0,17,50,0.006,5600/r1__0
1,0,17,50,0.006,5600/r1__0
0,0,17,50,0.006,5600/r2__0
1,0,17,50,0.006,5600/r2__0
0,0,18,51,0.006,5600/r3__0
1,0,18,51,0.006,5600/r3__0
0,0,18,51,0.006,5600/r4__0
1,0,18,51,0.006,5600/r4__0
0,0,19,51,0.024,5600/sca__0
1,0,19,51,0.024,5600/sca__0
0,0,17,43,-0.0214,5636/1__0
1,0,17,43,-0.0214,5636/1__0
0,0,15,43,0.0214,5636/2__0
1,0,15,43,0.0214,5636/2__0
0,0,17,43,0.0214,5636/3__0
1,0,17,43,0.0214,5636/3__0
0,0,20,52,-0.006,5686/p1__0
1,0,20,52,-0.006,5686/p1__0
0,0,20,52,-0.006,5686/p2__0
1,0,20,52,-0.006,5686/p2__0
0,0,19,52,0.006,5686/r1__0
1,0,19,52,0.006,5686/r1__0
0,0,19,52,0.006,5686/r2__0
1,0,19,52,0.006,5686/r2__0
0,0,19,51,0.012,5686/sca__0
1,0,19,51,0.012,5686/sca__0
0,0,20,53,0.0,5700/p1__0
0,0,20,53,0.0,5700/r1__0
0,0,20,52,0.008,5700/sca__0
1,0,20,52,0.008,5700/sca__0
0,0,36,31,0.0,5740/p1__0
0,0,36,31,0.0,5740/p2__0
0,0,36,32,0.0,5740/p3__0
0,0,36,33,0.0,5740/p4__0
0,0,37,32,0.0,5740/p5__0
0,0,37,32,0.0,5740/p6__0
0,0,42,34,0.0,5740/r1__0
0,0,42,34,0.0,5740/r2__0
0,0,43,34,0.0,5740/r3__0
0,0,42,34,0.0,5740/r4__0
0,0,42,35,0.0,5740/r5__0
0,0,42,35,0.0,5740/r6__0
0,0,42,35,0.0,5740/r7__0
0,0,42,35,0.0,5740/r8__0
0,0,6,1,-0.0035,5814/1__0
1,0,6,1,-0.0035,5814/1__0
0,0,6,1,0.0,5814/2__0
0,0,53,27,0.006,5883/sca__0
1,0,53,27,0.006,5883/sca__0
0,0,18,2,0.0,5884/2__0
0,0,18,2,0.0,5884/3__0
0,0,24,19,-0.005,636__0
1,0,24,19,-0.005,636__0
0,0,22,20,-0.005,637__0
1,0,22,20,-0.005,637__0
0,0,74,62,0.0,6__0
0,0,71,60,0.0,77__0
0,0,72,57,0.0,78__0
0,0,4,26,0.0,80/1__0
0,0,4,26,0.0,80/2__0
0,0,4,27,0.0,80/3__0
0,0,4,27,0.0,80/4__0
0,0,5,28,0.0,80/5__0
0,0,5,28,0.0,80/6__0
0,0,5,28,0.0,80/7__0
0,0,5,29,0.0,80/8__0
0,0,72,56,0.0,81__0
0,0,19,19,0.0,82/1__0
0,0,19,18,0.0,82/2__0
0,0,19,19,0.0,82/3__0
0,0,20,19,0.0,82/4__0
0,0,20,55,-0.02,826__0
1,0,20,55,-0.02,826__0
0,0,16,44,-0.0214,828__0
1,0,16,44,-0.0214,828__0
0,0,28,18,-0.003,830__0
1,0,28,18,-0.003,830__0
0,0,18,54,-0.05,833__0
1,0,18,54,-0.05,833__0
0,0,3,67,0.0,838__0
0,0,31,17,0.0,878__0
0,0,38,57,0.0,p10_ln__0
0,0,38,56,0.0,p11_ln__0
0,0,37,56,0.0,p12_ln__0
0,0,54,32,0.0,p1_ex__0
0,0,36,59,0.0,p1_ln__0
0,0,53,27,0.0,p1_s1__0
0,0,50,28,0.0,p1_s2__0
0,0,55,29,0.0,p1_sky__0
0,0,54,32,0.0,p2_ex__0
0,0,36,58,0.0,p2_ln__0
0,0,53,27,0.0,p2_s1__0
0,0,50,27,0.0,p2_s2__0
0,0,55,30,0.0,p2_sky__0
0,0,54,33,0.0,p3_ex__0
0,0,36,59,0.0,p3_ln__0
0,0,53,27,0.0,p3_s1__0
0,0,50,27,0.0,p3_s2__0
0,0,54,30,0.0,p3_sky__0
0,0,54,33,0.0,p4_ex__0
0,0,36,58,0.0,p4_ln__0
0,0,54,27,0.0,p4_s1__0
0,0,54,31,0.0,p4_sky__0
0,0,36,58,0.0,p5_ln__0
0,0,38,58,0.0,p6_ln__0
0,0,39,58,0.0,p7_ln__0
0,0,38,57,0.0,p8_ln__0
0,0,38,57,0.0,p9_ln__0
0,0,46,39,0.0,pc2_ams__0
0,0,49,41,0.0,pc3_ams__0
0,0,48,55,0.0,prof_p2__0
0,0,50,50,0.0,r10_ln__0
0,0,57,33,0.0,r1_ex__0
0,0,47,47,0.0,r1_ln__0
0,0,56,27,0.0,r1_s1__0
0,0,51,28,0.0,r1_s2__0
0,0,57,29,0.0,r1_sky__0
0,0,57,34,0.0,r2_ex__0
0,0,47,48,0.0,r2_ln__0
0,0,56,27,0.0,r2_s1__0
0,0,51,28,0.0,r2_s2__0
0,0,58,28,0.0,r2_sky__0
0,0,57,34,0.0,r3_ex__0
0,0,48,48,0.0,r3_ln__0
0,0,56,27,0.0,r3_s1__0
0,0,51,28,0.0,r3_s2__0
0,0,58,29,0.0,r3_sky__0
0,0,57,34,0.0,r4_ex__0
0,0,48,48,0.0,r4_ln__0
0,0,56,27,0.0,r4_s1__0
0,0,52,28,0.0,r4_s2__0
0,0,57,29,0.0,r4_sky__0
0,0,57,35,0.0,r5_ex__0
0,0,48,49,0.0,r5_ln__0
0,0,49,49,0.0,r6_ln__0
0,0,49,49,0.0,r7_ln__0
0,0,49,50,0.0,r8_ln__0
0,0,50,50,0.0,r9_ln__0
0,0,53,27,0.0,s__0
0,0,37,54,0.0,sc_bonf__0
