#k i j q boundname
1 43 72 -0.0095 19/16__0
1 41 66 -0.0095 19/18__0
1 43 74 -0.0095 19/19__0
1 42 70 -0.0095 19/20__0
1 39 66 -0.0095 19/21__0
1 44 12 -0.008 21/14__0
1 46 10 -0.008 21/16__0
1 42 8 -0.008 21/5__0
1 41 10 -0.008 21/6__0
1 38 54 -0.005 2503__0
1 39 52 0 2505__0
1 17 17 -0.01 2550__0
1 19 13 -0.008 2551__0
1 18 19 -0.012 2559__0
1 5 45 -0.0225 4740__0
1 6 45 -0.0225 4741__0
1 34 9 0 5196__0
1 58 29 0 5257/1__0
1 59 29 0 5257/2__0
1 67 37 0 5352/1-2__0
1 42 66 0 5426/p1-p2__0
1 43 67 0 5426/r1-r2-r3__0
1 16 54 -0.008 5600/p1__0
1 17 55 -0.008 5600/p2__0
1 18 55 -0.008 5600/p3__0
1 18 51 0.006 5600/r1__0
1 18 51 0.006 5600/r2__0
1 19 52 0.006 5600/r3__0
1 19 52 0.006 5600/r4__0
1 20 52 0.024 5600/sca__0
1 18 44 -0.0214 5636/1__0
1 16 44 0.0214 5636/2__0
1 18 44 0.0214 5636/3__0
1 21 53 -0.006 5686/p1__0
1 21 53 -0.006 5686/p2__0
1 20 53 0.006 5686/r1__0
1 20 53 0.006 5686/r2__0
1 20 52 0.012 5686/sca__0
1 21 54 0 5700/p1__0
1 21 54 0 5700/r1__0
1 21 53 0.008 5700/sca__0
1 37 32 0 5740/p1__0
1 37 32 0 5740/p2__0
1 37 33 0 5740/p3__0
1 37 34 0 5740/p4__0
1 38 33 0 5740/p5__0
1 38 33 0 5740/p6__0
1 43 35 0 5740/r1__0
1 43 35 0 5740/r2__0
1 44 35 0 5740/r3__0
1 43 35 0 5740/r4__0
1 43 36 0 5740/r5__0
1 43 36 0 5740/r6__0
1 43 36 0 5740/r7__0
1 43 36 0 5740/r8__0
1 7 2 -0.0035 5814/1__0
1 7 2 0 5814/2__0
1 54 28 0.006 5883/sca__0
1 19 3 0 5884/2__0
1 19 3 0 5884/3__0
1 25 20 -0.005 636__0
1 23 21 -0.005 637__0
1 75 63 0 6__0
1 72 61 0 77__0
1 73 58 0 78__0
1 5 27 0 80/1__0
1 5 27 0 80/2__0
1 5 28 0 80/3__0
1 5 28 0 80/4__0
1 6 29 0 80/5__0
1 6 29 0 80/6__0
1 6 29 0 80/7__0
1 6 30 0 80/8__0
1 73 57 0 81__0
1 20 20 0 82/1__0
1 20 19 0 82/2__0
1 20 20 0 82/3__0
1 21 20 0 82/4__0
1 21 56 -0.02 826__0
1 17 45 -0.0214 828__0
1 29 19 -0.003 830__0
1 19 55 -0.05 833__0
1 4 68 0 838__0
1 32 18 0 878__0
1 39 58 0 p10_ln__0
1 39 57 0 p11_ln__0
1 38 57 0 p12_ln__0
1 55 33 0 p1_ex__0
1 37 60 0 p1_ln__0
1 54 28 0 p1_s1__0
1 51 29 0 p1_s2__0
1 56 30 0 p1_sky__0
1 55 33 0 p2_ex__0
1 37 59 0 p2_ln__0
1 54 28 0 p2_s1__0
1 51 28 0 p2_s2__0
1 56 31 0 p2_sky__0
1 55 34 0 p3_ex__0
1 37 60 0 p3_ln__0
1 54 28 0 p3_s1__0
1 51 28 0 p3_s2__0
1 55 31 0 p3_sky__0
1 55 34 0 p4_ex__0
1 37 59 0 p4_ln__0
1 55 28 0 p4_s1__0
1 55 32 0 p4_sky__0
1 37 59 0 p5_ln__0
1 39 59 0 p6_ln__0
1 40 59 0 p7_ln__0
1 39 58 0 p8_ln__0
1 39 58 0 p9_ln__0
1 47 40 0 pc2_ams__0
1 50 42 0 pc3_ams__0
1 49 56 0 prof_p2__0
1 51 51 0 r10_ln__0
1 58 34 0 r1_ex__0
1 48 48 0 r1_ln__0
1 57 28 0 r1_s1__0
1 52 29 0 r1_s2__0
1 58 30 0 r1_sky__0
1 58 35 0 r2_ex__0
1 48 49 0 r2_ln__0
1 57 28 0 r2_s1__0
1 52 29 0 r2_s2__0
1 59 29 0 r2_sky__0
1 58 35 0 r3_ex__0
1 49 49 0 r3_ln__0
1 57 28 0 r3_s1__0
1 52 29 0 r3_s2__0
1 59 30 0 r3_sky__0
1 58 35 0 r4_ex__0
1 49 49 0 r4_ln__0
1 57 28 0 r4_s1__0
1 53 29 0 r4_s2__0
1 58 30 0 r4_sky__0
1 58 36 0 r5_ex__0
1 49 50 0 r5_ln__0
1 50 50 0 r6_ln__0
1 50 50 0 r7_ln__0
1 50 51 0 r8_ln__0
1 51 51 0 r9_ln__0
1 54 28 0 s__0
1 38 55 0 sc_bonf__0
