total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
9,1.000000000000000,1,1,1,9,-49.55991307172440,1,,79
50,1.000000000000000,1,1,2,41,-18.06211614778385,2,,29583
108,1.000000000000000,1,1,3,58,-9.539559191378203,2,,3746
199,1.000000000000000,1,1,4,91,-5.758682172204033,2,,11142
299,1.000000000000000,1,1,5,100,-3.895386364008061,2,,25438
321,1.000000000000000,1,1,6,22,-1.305380954119585,2,,12685
338,1.000000000000000,1,1,7,17,-.9386841771701029,2,,6106
357,1.000000000000000,1,1,8,19,.4690418820474065,2,,25231
377,1.000000000000000,1,1,9,20,-.2791882466705147,2,,23860
398,1.000000000000000,1,1,10,21,-.3184406330549905,2,,4735
418,1.000000000000000,1,1,11,20,-.2110089331704330,2,,23775
439,1.000000000000000,1,1,12,21,-.2686066293288718,2,,23774
459,1.000000000000000,1,1,13,20,-.2056961262707659,2,,23689
478,1.000000000000000,1,1,14,19,-.1202924640265337,2,,4651
500,1.000000000000000,1,1,15,22,-.1122394801988662,2,,4651
518,1.000000000000000,1,1,16,18,-.1145749312977955,2,,4564
540,1.000000000000000,1,1,17,22,-.1110938448627508,2,,4564
558,1.000000000000000,1,1,18,18,-.1056619106441303,2,,4564
575,1.000000000000000,1,1,19,17,-.9808732871368875E-01,2,,4564
592,1.000000000000000,1,1,20,17,-.4628307604758675E-01,2,,4653
609,1.000000000000000,1,1,21,17,-.3968348571083880E-01,2,,4653
626,1.000000000000000,1,1,22,17,-.3532624192513367E-01,2,,4653
643,1.000000000000000,1,1,23,17,-.2941931495985273E-01,2,,4565
660,1.000000000000000,1,1,24,17,-.2595070037926916E-01,2,,4565
677,1.000000000000000,1,1,25,17,-.2290156218151651E-01,2,,4565
694,1.000000000000000,1,1,26,17,-.2004020328126899E-01,2,,4565
711,1.000000000000000,1,1,27,17,-.1748739463585025E-01,2,,4565
728,1.000000000000000,1,1,28,17,-.1527210632798415E-01,2,,4565
744,1.000000000000000,1,1,29,16,-.1333016354294614E-01,2,,4565
760,1.000000000000000,1,1,30,16,-.1156668869799660E-01,2,,4565
776,1.000000000000000,1,1,31,16,-.1002243148911930E-01,2,,4565
792,1.000000000000000,1,1,32,16,-.8743028537367081E-02,2,,4565
799,32.00000000000000,2,1,1,7,.9647921666859247,1,,2723
807,32.00000000000000,2,1,2,8,.3559207972830336E-01,1,,1779
813,32.00000000000000,2,1,3,6,-.1492865088886219E-01,2,,10370
816,32.00000000000000,2,1,4,3,.1066247496106598E-01,2,,10370
819,32.00000000000000,2,1,5,3,-.1781452344436120,2,SFR_0,6
821,32.00000000000000,2,1,6,2,.4823694054567701E-01,2,SFR_0,4
823,32.00000000000000,2,1,7,2,.1853378644229199E-01,2,SFR_0,4
824,32.00000000000000,2,1,8,1,.1007379144154564E-01,2,SFR_0,4
825,32.00000000000000,2,1,9,1,.4062459225186684E-02,2,SFR_0,4
834,61.00000000000000,3,1,1,9,-.1899932458076137,1,,2353
842,61.00000000000000,3,1,2,8,.4510082864800324E-01,1,,2353
847,61.00000000000000,3,1,3,5,-7.480078478821185,2,SFR_0,6
849,61.00000000000000,3,1,4,2,-1.365472995663737,2,SFR_0,6
851,61.00000000000000,3,1,5,2,-.1681782963055501,2,SFR_0,6
852,61.00000000000000,3,1,6,1,.3578127342235317E-01,2,SFR_0,4
853,61.00000000000000,3,1,7,1,.1376688815100301E-01,2,SFR_0,4
854,61.00000000000000,3,1,8,1,.1317080403817297E-01,2,SFR_0,4
855,61.00000000000000,3,1,9,1,.9156578144091732E-02,2,SFR_0,4
864,92.00000000000000,4,1,1,9,.4033846850500140,1,,1170
871,92.00000000000000,4,1,2,7,.7926736602485107E-01,1,,2467
875,92.00000000000000,4,1,3,4,-10.85939493300384,2,SFR_0,6
877,92.00000000000000,4,1,4,2,-.9757592044853535,2,SFR_0,6
879,92.00000000000000,4,1,5,2,-.9002298544535117E-01,2,SFR_0,6
880,92.00000000000000,4,1,6,1,.3713961911287016E-01,2,SFR_0,4
881,92.00000000000000,4,1,7,1,.1327407787736214E-01,2,SFR_0,4
882,92.00000000000000,4,1,8,1,.1013202935628648E-01,2,SFR_0,4
883,92.00000000000000,4,1,9,1,.7721316971886173E-02,2,SFR_0,4
891,122.0000000000000,5,1,1,8,.6958575134141824,1,,1208
898,122.0000000000000,5,1,2,7,-.1825949566820668,1,,478
902,122.0000000000000,5,1,3,4,.3725272558290271E-01,2,,10370
906,122.0000000000000,5,1,4,4,-.2675187080274100E-01,2,,10370
909,122.0000000000000,5,1,5,3,.1054575702511329E-01,2,,10370
912,122.0000000000000,5,1,6,3,-.3134783742098080E-02,2,,10370
919,153.0000000000000,6,1,1,7,-.9325228025580827,1,,2723
927,153.0000000000000,6,1,2,8,-.2181220042444920,1,,2471
931,153.0000000000000,6,1,3,4,-.2940449231527964E-01,1,,2471
935,153.0000000000000,6,1,4,4,-1.361008774894273,2,SFR_0,6
938,153.0000000000000,6,1,5,3,-.3843643975237343,2,SFR_0,18
940,153.0000000000000,6,1,6,2,-.1262997202180883,2,SFR_0,18
941,153.0000000000000,6,1,7,1,-.4079984495719683E-01,2,SFR_0,18
942,153.0000000000000,6,1,8,1,-.1515763131249822E-01,2,SFR_0,18
943,153.0000000000000,6,1,9,1,-.1136857826234557E-01,2,SFR_0,18
944,153.0000000000000,6,1,10,1,-.8555137006250118E-02,2,SFR_0,18
952,183.0000000000000,7,1,1,8,-4.214182628582648,1,,2723
962,183.0000000000000,7,1,2,10,.3469757326255944,1,,556
970,183.0000000000000,7,1,3,8,-.3743665545914610E-01,2,,10370
974,183.0000000000000,7,1,4,4,.1656597380883795E-01,2,,10370
977,183.0000000000000,7,1,5,3,-.1767327566388878,2,SFR_0,6
979,183.0000000000000,7,1,6,2,.6737817396817505E-01,2,SFR_0,4
981,183.0000000000000,7,1,7,2,.2771889967654627E-01,2,SFR_0,4
982,183.0000000000000,7,1,8,1,.1983135585370568E-01,2,SFR_0,4
983,183.0000000000000,7,1,9,1,.6719040799468728E-02,2,SFR_0,4
991,214.0000000000000,8,1,1,8,-.4981338671818207,1,,2997
1001,214.0000000000000,8,1,2,10,-.1303522661088437,2,,25411
1009,214.0000000000000,8,1,3,8,-.1390673855019031E-01,2,,10540
1015,214.0000000000000,8,1,4,6,1.435234913786261,2,SFR_0,16
1018,214.0000000000000,8,1,5,3,.3674959137245373,2,SFR_0,16
1021,214.0000000000000,8,1,6,3,.8032054305841171E-01,2,SFR_0,16
1023,214.0000000000000,8,1,7,2,.4369277665529991E-01,2,SFR_0,4
1024,214.0000000000000,8,1,8,1,.1673060262314533E-01,2,SFR_0,4
1025,214.0000000000000,8,1,9,1,.6213506395884407E-02,2,SFR_0,4
1034,245.0000000000000,9,1,1,9,1.884260483652952,1,,2723
1042,245.0000000000000,9,1,2,8,-.1197142059695580,1,,2353
1049,245.0000000000000,9,1,3,7,.2796952957487520E-01,1,,2353
1052,245.0000000000000,9,1,4,3,-1.395264214993950,2,SFR_0,6
1054,245.0000000000000,9,1,5,2,-.1732035354782369,2,SFR_0,6
1056,245.0000000000000,9,1,6,2,.5347166792844727E-01,2,SFR_0,4
1057,245.0000000000000,9,1,7,1,.3752226520555014E-01,2,SFR_0,4
1058,245.0000000000000,9,1,8,1,.1208027417522328E-01,2,SFR_0,4
1059,245.0000000000000,9,1,9,1,.9593472291671002E-02,2,SFR_0,4
1068,275.0000000000000,10,1,1,9,1.850968080081770,1,,2723
1076,275.0000000000000,10,1,2,8,-.4713747801389445E-01,1,,1427
1082,275.0000000000000,10,1,3,6,-.1593194923486863E-01,2,,10285
1086,275.0000000000000,10,1,4,4,-1.387509219743704,2,SFR_0,6
1088,275.0000000000000,10,1,5,2,-.1700977266106686,2,SFR_0,6
1090,275.0000000000000,10,1,6,2,.3038957508433247E-01,2,SFR_0,4
1091,275.0000000000000,10,1,7,1,.2489873053410183E-01,2,SFR_0,4
1092,275.0000000000000,10,1,8,1,.8510744025509625E-02,2,SFR_0,4
1100,306.0000000000000,11,1,1,8,1.150344500706240,1,,2723
1109,306.0000000000000,11,1,2,9,.3598011312209337E-01,2,,20522
1116,306.0000000000000,11,1,3,7,-.1363381177191059E-01,2,,10285
1120,306.0000000000000,11,1,4,4,-1.315371766443648,2,SFR_0,6
1122,306.0000000000000,11,1,5,2,-.1857816852287562,2,SFR_0,6
1124,306.0000000000000,11,1,6,2,-.3139794138854883E-01,2,SFR_0,4
1125,306.0000000000000,11,1,7,1,-.2503149081105081E-01,2,SFR_0,4
1126,306.0000000000000,11,1,8,1,-.9945410417215424E-02,2,SFR_0,4
1134,336.0000000000000,12,1,1,8,-.7350985268794830,1,,2419
1141,336.0000000000000,12,1,2,7,.3793586112459479E-01,2,,11029
1145,336.0000000000000,12,1,3,4,-.1158551054447798E-01,2,,10285
1148,336.0000000000000,12,1,4,3,-1.458407447509295,2,SFR_0,6
1150,336.0000000000000,12,1,5,2,-.1812013568823252,2,SFR_0,6
1152,336.0000000000000,12,1,6,2,-.2348331685366273E-01,2,SFR_0,6
1153,336.0000000000000,12,1,7,1,.1196382100577881E-01,2,SFR_0,4
1154,336.0000000000000,12,1,8,1,.4583055190645866E-02,2,SFR_0,4
1161,367.0000000000000,13,1,1,7,-.2024027919545119,1,,2419
1168,367.0000000000000,13,1,2,7,-.4005223217234288E-01,1,,1402
1172,367.0000000000000,13,1,3,4,-.1280953433308696E-01,2,,10285
1175,367.0000000000000,13,1,4,3,-1.474722871801349,2,SFR_0,6
1178,367.0000000000000,13,1,5,3,-.1817786728226955,2,SFR_0,6
1180,367.0000000000000,13,1,6,2,-.2450656081797008E-01,2,SFR_0,6
1181,367.0000000000000,13,1,7,1,.5832555901578074E-02,2,SFR_0,4
