X	Y	x	y	zone	parval1	k	i	j	dercom	offset	parlbnd	parubnd	scale	
625.0	9375.0	625.0	9375.0	1.0	1.0	0.0	2.0	2.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
1875.0	9375.0	1875.0	9375.0	1.0	1.0	0.0	2.0	7.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
3125.0	9375.0	3125.0	9375.0	1.0	1.0	0.0	2.0	12.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
4375.0	9375.0	4375.0	9375.0	1.0	1.0	0.0	2.0	17.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
625.0	8125.0	625.0	8125.0	1.0	1.0	0.0	7.0	2.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
1875.0	8125.0	1875.0	8125.0	1.0	1.0	0.0	7.0	7.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
3125.0	8125.0	3125.0	8125.0	1.0	1.0	0.0	7.0	12.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
4375.0	8125.0	4375.0	8125.0	1.0	1.0	0.0	7.0	17.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
625.0	6875.0	625.0	6875.0	1.0	1.0	0.0	12.0	2.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
3125.0	6875.0	3125.0	6875.0	1.0	1.0	0.0	12.0	12.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
4375.0	6875.0	4375.0	6875.0	1.0	1.0	0.0	12.0	17.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
625.0	5625.0	625.0	5625.0	1.0	1.0	0.0	17.0	2.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
3125.0	5625.0	3125.0	5625.0	1.0	1.0	0.0	17.0	12.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
4375.0	5625.0	4375.0	5625.0	1.0	1.0	0.0	17.0	17.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
625.0	4375.0	625.0	4375.0	1.0	1.0	0.0	22.0	2.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
1875.0	4375.0	1875.0	4375.0	1.0	1.0	0.0	22.0	7.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
3125.0	4375.0	3125.0	4375.0	1.0	1.0	0.0	22.0	12.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
4375.0	4375.0	4375.0	4375.0	1.0	1.0	0.0	22.0	17.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
625.0	3125.0	625.0	3125.0	1.0	1.0	0.0	27.0	2.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
1875.0	3125.0	1875.0	3125.0	1.0	1.0	0.0	27.0	7.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
3125.0	3125.0	3125.0	3125.0	1.0	1.0	0.0	27.0	12.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
4375.0	3125.0	4375.0	3125.0	1.0	1.0	0.0	27.0	17.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
625.0	1875.0	625.0	1875.0	1.0	1.0	0.0	32.0	2.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
1875.0	1875.0	1875.0	1875.0	1.0	1.0	0.0	32.0	7.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
3125.0	1875.0	3125.0	1875.0	1.0	1.0	0.0	32.0	12.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
4375.0	1875.0	4375.0	1875.0	1.0	1.0	0.0	32.0	17.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
1875.0	625.0	1875.0	625.0	1.0	1.0	0.0	37.0	7.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
3125.0	625.0	3125.0	625.0	1.0	1.0	0.0	37.0	12.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
4375.0	625.0	4375.0	625.0	1.0	1.0	0.0	37.0	17.0	1.0	0.0	1.00000001e-010	11000000512.0	1.0	
