Easting,Northing,Elevation
353214.799,8549716.140,58.925
353245.085,8549716.140,59.267
353275.372,8549716.140,59.609
353305.658,8549716.140,59.951
353335.945,8549716.140,60.293
353366.231,8549716.140,60.635
353396.517,8549716.140,60.977
353426.804,8549716.140,61.319
353457.090,8549716.140,61.661
353487.376,8549716.140,62.002
353517.663,8549716.140,62.344
353547.949,8549716.140,62.686
353578.236,8549716.140,63.028
353608.522,8549716.140,63.370
353638.808,8549716.140,63.712
353669.095,8549716.140,64.054
353699.381,8549716.140,64.396
353729.668,8549716.140,64.738
353759.954,8549716.140,65.080
353790.240,8549716.140,65.422
353820.527,8549716.140,65.764
353850.813,8549716.140,66.106
353881.100,8549716.140,66.448
353911.386,8549716.140,66.790
353941.672,8549716.140,67.131
353971.959,8549716.140,67.473
354002.245,8549716.140,67.815
354032.531,8549716.140,68.157
354062.818,8549716.140,68.499
354093.104,8549716.140,68.841
354123.391,8549716.140,69.183
354153.677,8549716.140,69.525
354183.963,8549716.140,69.867
354214.250,8549716.140,70.209
354244.536,8549716.140,70.551
354274.823,8549716.140,70.893
354305.109,8549716.140,71.235
354335.395,8549716.140,71.577
354365.682,8549716.140,71.919
354395.968,8549716.140,72.260
354426.255,8549716.140,72.602
354456.541,8549716.140,72.944
354486.827,8549716.140,73.286
354517.114,8549716.140,73.628
354547.400,8549716.140,73.970
354577.687,8549716.140,74.312
354607.973,8549716.140,74.654
354638.259,8549716.140,74.996
354668.546,8549716.140,75.338
354698.832,8549716.140,75.680
354729.118,8549716.140,76.022
354759.405,8549716.140,76.364
354789.691,8549716.140,76.706
354819.978,8549716.140,77.048
354850.264,8549716.140,77.389
354880.550,8549716.140,77.731
354910.837,8549716.140,78.073
354941.123,8549716.140,78.415
354971.410,8549716.140,78.757
355001.696,8549716.140,79.099
355031.982,8549716.140,79.441
355062.269,8549716.140,79.783
355092.555,8549716.140,80.125
355122.842,8549716.140,80.467
355153.128,8549716.140,80.809
355183.414,8549716.140,81.151
355213.701,8549716.140,81.493
355243.987,8549716.140,81.835
355274.273,8549716.140,82.177
355304.560,8549716.140,82.518
355334.846,8549716.140,82.860
355365.133,8549716.140,83.202
355395.419,8549716.140,83.544
355425.705,8549716.140,83.886
355455.992,8549716.140,84.228
355486.278,8549716.140,84.570
355516.565,8549716.140,84.912
355546.851,8549716.140,85.254
355577.137,8549716.140,85.596
355607.424,8549716.140,85.938
355637.710,8549716.140,86.280
355667.997,8549716.140,86.622
355698.283,8549716.140,86.964
355728.569,8549716.140,87.306
355758.856,8549716.140,87.647
355789.142,8549716.140,87.989
355819.428,8549716.140,88.331
355849.715,8549716.140,88.673
355880.001,8549716.140,89.015
355910.288,8549716.140,89.357
355940.574,8549716.140,89.699
355970.860,8549716.140,90.041
356001.147,8549716.140,90.383
356031.433,8549716.140,90.725
356061.720,8549716.140,91.067
356092.006,8549716.140,91.409
356122.292,8549716.140,91.751
356152.579,8549716.140,92.093
356182.865,8549716.140,92.435
356213.152,8549716.140,92.776
356243.438,8549716.140,93.118
356273.724,8549716.140,93.460
356304.011,8549716.140,93.802
356334.297,8549716.140,94.144
356364.584,8549716.140,94.486
356394.870,8549716.140,94.828
356425.156,8549716.140,95.170
356455.443,8549716.140,95.512
356485.729,8549716.140,95.854
356516.015,8549716.140,96.196
356546.302,8549716.140,96.538
356576.588,8549716.140,96.880
356606.875,8549716.140,97.222
356637.161,8549716.140,97.564
356667.447,8549716.140,97.905
353214.799,8549685.854,58.925
353245.085,8549685.854,59.267
353275.372,8549685.854,59.609
353305.658,8549685.854,59.951
353335.945,8549685.854,60.293
353366.231,8549685.854,60.635
353396.517,8549685.854,60.977
353426.804,8549685.854,61.319
353457.090,8549685.854,61.661
353487.376,8549685.854,62.002
353517.663,8549685.854,62.344
353547.949,8549685.854,62.686
353578.236,8549685.854,63.028
353608.522,8549685.854,63.370
353638.808,8549685.854,63.712
353669.095,8549685.854,64.054
353699.381,8549685.854,64.396
353729.668,8549685.854,64.738
353759.954,8549685.854,65.080
353790.240,8549685.854,65.422
353820.527,8549685.854,65.764
353850.813,8549685.854,66.106
353881.100,8549685.854,66.448
353911.386,8549685.854,66.790
353941.672,8549685.854,67.131
353971.959,8549685.854,67.473
354002.245,8549685.854,67.815
354032.531,8549685.854,68.157
354062.818,8549685.854,68.499
354093.104,8549685.854,68.841
354123.391,8549685.854,69.183
354153.677,8549685.854,69.525
354183.963,8549685.854,69.867
354214.250,8549685.854,70.209
354244.536,8549685.854,70.551
354274.823,8549685.854,70.893
354305.109,8549685.854,71.235
354335.395,8549685.854,71.577
354365.682,8549685.854,71.919
354395.968,8549685.854,72.260
354426.255,8549685.854,72.602
354456.541,8549685.854,72.944
354486.827,8549685.854,73.286
354517.114,8549685.854,73.628
354547.400,8549685.854,73.970
354577.687,8549685.854,74.312
354607.973,8549685.854,74.654
354638.259,8549685.854,74.996
354668.546,8549685.854,75.338
354698.832,8549685.854,75.680
354729.118,8549685.854,76.022
354759.405,8549685.854,76.364
354789.691,8549685.854,76.706
354819.978,8549685.854,77.048
354850.264,8549685.854,77.389
354880.550,8549685.854,77.731
354910.837,8549685.854,78.073
354941.123,8549685.854,78.415
354971.410,8549685.854,78.757
355001.696,8549685.854,79.099
355031.982,8549685.854,79.441
355062.269,8549685.854,79.783
355092.555,8549685.854,80.125
355122.842,8549685.854,80.467
355153.128,8549685.854,80.809
355183.414,8549685.854,81.151
355213.701,8549685.854,81.493
355243.987,8549685.854,81.835
355274.273,8549685.854,82.177
355304.560,8549685.854,82.518
355334.846,8549685.854,82.860
355365.133,8549685.854,83.202
355395.419,8549685.854,83.544
355425.705,8549685.854,83.886
355455.992,8549685.854,84.228
355486.278,8549685.854,84.570
355516.565,8549685.854,84.912
355546.851,8549685.854,85.254
355577.137,8549685.854,85.596
355607.424,8549685.854,85.938
355637.710,8549685.854,86.280
355667.997,8549685.854,86.622
355698.283,8549685.854,86.964
355728.569,8549685.854,87.306
355758.856,8549685.854,87.647
355789.142,8549685.854,87.989
355819.428,8549685.854,88.331
355849.715,8549685.854,88.673
355880.001,8549685.854,89.015
355910.288,8549685.854,89.357
355940.574,8549685.854,89.699
355970.860,8549685.854,90.041
356001.147,8549685.854,90.383
356031.433,8549685.854,90.725
356061.720,8549685.854,91.067
356092.006,8549685.854,91.409
356122.292,8549685.854,91.751
356152.579,8549685.854,92.093
356182.865,8549685.854,92.435
356213.152,8549685.854,92.776
356243.438,8549685.854,93.118
356273.724,8549685.854,93.460
356304.011,8549685.854,93.802
356334.297,8549685.854,94.144
356364.584,8549685.854,94.486
356394.870,8549685.854,94.828
356425.156,8549685.854,95.170
356455.443,8549685.854,95.512
356485.729,8549685.854,95.854
356516.015,8549685.854,96.196
356546.302,8549685.854,96.538
356576.588,8549685.854,96.880
356606.875,8549685.854,97.222
356637.161,8549685.854,97.564
356667.447,8549685.854,97.905
353214.799,8549655.568,58.925
353245.085,8549655.568,59.267
353275.372,8549655.568,59.609
353305.658,8549655.568,59.951
353335.945,8549655.568,60.293
353366.231,8549655.568,60.635
353396.517,8549655.568,60.977
353426.804,8549655.568,61.319
353457.090,8549655.568,61.661
353487.376,8549655.568,62.002
353517.663,8549655.568,62.344
353547.949,8549655.568,62.686
353578.236,8549655.568,63.028
353608.522,8549655.568,63.370
353638.808,8549655.568,63.712
353669.095,8549655.568,64.054
353699.381,8549655.568,64.396
353729.668,8549655.568,64.738
353759.954,8549655.568,65.080
353790.240,8549655.568,65.422
353820.527,8549655.568,65.764
353850.813,8549655.568,66.106
353881.100,8549655.568,66.448
353911.386,8549655.568,66.790
353941.672,8549655.568,67.131
353971.959,8549655.568,67.473
354002.245,8549655.568,67.815
354032.531,8549655.568,68.157
354062.818,8549655.568,68.499
354093.104,8549655.568,68.841
354123.391,8549655.568,69.183
354153.677,8549655.568,69.525
354183.963,8549655.568,69.867
354214.250,8549655.568,70.209
354244.536,8549655.568,70.551
354274.823,8549655.568,70.893
354305.109,8549655.568,71.235
354335.395,8549655.568,71.577
354365.682,8549655.568,71.919
354395.968,8549655.568,72.260
354426.255,8549655.568,72.602
354456.541,8549655.568,72.944
354486.827,8549655.568,73.286
354517.114,8549655.568,73.628
354547.400,8549655.568,73.970
354577.687,8549655.568,74.312
354607.973,8549655.568,74.654
354638.259,8549655.568,74.996
354668.546,8549655.568,75.338
354698.832,8549655.568,75.680
354729.118,8549655.568,76.022
354759.405,8549655.568,76.364
354789.691,8549655.568,76.706
354819.978,8549655.568,77.048
354850.264,8549655.568,77.389
354880.550,8549655.568,77.731
354910.837,8549655.568,78.073
354941.123,8549655.568,78.415
354971.410,8549655.568,78.757
355001.696,8549655.568,79.099
355031.982,8549655.568,79.441
355062.269,8549655.568,79.783
355092.555,8549655.568,80.125
355122.842,8549655.568,80.467
355153.128,8549655.568,80.809
355183.414,8549655.568,81.151
355213.701,8549655.568,81.493
355243.987,8549655.568,81.835
355274.273,8549655.568,82.177
355304.560,8549655.568,82.518
355334.846,8549655.568,82.860
355365.133,8549655.568,83.202
355395.419,8549655.568,83.544
355425.705,8549655.568,83.886
355455.992,8549655.568,84.228
355486.278,8549655.568,84.570
355516.565,8549655.568,84.912
355546.851,8549655.568,85.254
355577.137,8549655.568,85.596
355607.424,8549655.568,85.938
355637.710,8549655.568,86.280
355667.997,8549655.568,86.622
355698.283,8549655.568,86.964
355728.569,8549655.568,87.306
355758.856,8549655.568,87.647
355789.142,8549655.568,87.989
355819.428,8549655.568,88.331
355849.715,8549655.568,88.673
355880.001,8549655.568,89.015
355910.288,8549655.568,89.357
355940.574,8549655.568,89.699
355970.860,8549655.568,90.041
356001.147,8549655.568,90.383
356031.433,8549655.568,90.725
356061.720,8549655.568,91.067
356092.006,8549655.568,91.409
356122.292,8549655.568,91.751
