time,PERIMETER-HEAD,PERIMETER-HEADS
1.000000000000,.3000000000000000E+31,-6030.224327693484
32.00000000000,.3000000000000000E+31,-4087.666219078265
61.00000000000,.3000000000000000E+31,-4296.776486683906
92.00000000000,.3000000000000000E+31,-6262.974282257272
122.0000000000,.3000000000000000E+31,-9020.747147624181
153.0000000000,.3000000000000000E+31,-12051.59683063539
183.0000000000,.3000000000000000E+31,-2746.292894640713
214.0000000000,.3000000000000000E+31,-3022.753035549761
245.0000000000,.3000000000000000E+31,-3763.269443287315
275.0000000000,.3000000000000000E+31,-4478.450970632352
306.0000000000,.3000000000000000E+31,-5219.262244731289
336.0000000000,.3000000000000000E+31,-5357.121013574137
367.0000000000,.3000000000000000E+31,-5447.370300294360
