total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
8,1.000000000000000,1,1,1,8,-47.45752322738139,1,,79
87,1.000000000000000,1,1,2,79,-18.03303457095512,2,,29583
187,1.000000000000000,1,1,3,100,-9.699531187011473,2,,3574
257,1.000000000000000,1,1,4,70,-7.760345994046759,2,,10971
322,1.000000000000000,1,1,5,65,-4.581145338547969,2,,11228
422,1.000000000000000,1,1,6,100,-2.516668592535211,2,,25437
437,1.000000000000000,1,1,7,15,-1.412111769313526,2,,12650
454,1.000000000000000,1,1,8,17,-.5777788380858055,2,,6323
472,1.000000000000000,1,1,9,18,-.4288624368120963,2,,4738
489,1.000000000000000,1,1,10,17,-.4131279711082243,2,,23862
510,1.000000000000000,1,1,11,21,-.3544638887216252,2,,4736
537,1.000000000000000,1,1,12,27,-.4671295764429715,2,,23860
557,1.000000000000000,1,1,13,20,-.2917883762868314,2,,23775
578,1.000000000000000,1,1,14,21,-.2664959567773053,2,,23774
599,1.000000000000000,1,1,15,21,-.2000281177307670,2,,4649
619,1.000000000000000,1,1,16,20,-.1367985097261908,2,,4649
639,1.000000000000000,1,1,17,20,-.1174705460908854,2,,4564
658,1.000000000000000,1,1,18,19,-.1168876247617732,2,,4564
677,1.000000000000000,1,1,19,19,-.1138239709136997,2,,4564
695,1.000000000000000,1,1,20,18,-.1081736685859482,2,,4564
713,1.000000000000000,1,1,21,18,-.1009571130522886,2,,4564
731,1.000000000000000,1,1,22,18,-.4812855870346766E-01,2,,4653
748,1.000000000000000,1,1,23,17,-.4119767163973620E-01,2,,4653
765,1.000000000000000,1,1,24,17,-.3667461968285579E-01,2,,4653
782,1.000000000000000,1,1,25,17,-.3032175991580743E-01,2,,4565
799,1.000000000000000,1,1,26,17,-.2686024787828956E-01,2,,4565
816,1.000000000000000,1,1,27,17,-.2358455946580307E-01,2,,4565
832,1.000000000000000,1,1,28,16,-.2049860679613857E-01,2,,4565
849,1.000000000000000,1,1,29,17,-.1809745291478748E-01,2,,4565
