,cellid_layer,cellid_row,cellid_column,q,boundname,per
0,2,24,2,-396.867,pleasant_2-13-2,0
1,2,17,2,-409.9,pleasant_2-9-2,0
2,3,23,44,0.0,pleasant_3-12-23,0
3,3,25,26,0.0,pleasant_3-13-14,0
4,3,24,54,-878.654,pleasant_3-13-28,0
5,3,33,2,0.0,pleasant_3-17-2,0
6,3,47,52,-48.9226,pleasant_3-24-27,0
7,3,5,6,-248.618,pleasant_3-3-4,0
8,3,8,2,-400.061,pleasant_3-5-2,0
0,2,24,2,0.0,pleasant_2-13-2,1
1,2,17,2,0.0,pleasant_2-9-2,1
2,3,23,44,0.0,pleasant_3-12-23,1
3,3,25,26,0.0,pleasant_3-13-14,1
4,3,24,54,0.0,pleasant_3-13-28,1
5,3,33,2,0.0,pleasant_3-17-2,1
6,3,47,52,0.0,pleasant_3-24-27,1
7,3,5,6,0.0,pleasant_3-3-4,1
8,3,8,2,0.0,pleasant_3-5-2,1
0,2,24,2,0.0,pleasant_2-13-2,4
1,2,17,2,0.0,pleasant_2-9-2,4
2,3,23,44,0.0,pleasant_3-12-23,4
3,3,25,26,0.0,pleasant_3-13-14,4
4,3,24,54,0.0,pleasant_3-13-28,4
5,3,33,2,0.0,pleasant_3-17-2,4
6,3,47,52,0.0,pleasant_3-24-27,4
7,3,5,6,0.0,pleasant_3-3-4,4
8,3,8,2,0.0,pleasant_3-5-2,4
0,2,24,2,-926.736,pleasant_2-13-2,5
1,2,17,2,-865.317,pleasant_2-9-2,5
2,3,23,44,0.0,pleasant_3-12-23,5
3,3,25,26,0.0,pleasant_3-13-14,5
4,3,24,54,-944.903,pleasant_3-13-28,5
5,3,33,2,0.0,pleasant_3-17-2,5
6,3,47,52,0.0,pleasant_3-24-27,5
7,3,5,6,-88.1347,pleasant_3-3-4,5
8,3,8,2,-321.492,pleasant_3-5-2,5
0,2,24,2,-4428.36,pleasant_2-13-2,6
1,2,17,2,-3719.55,pleasant_2-9-2,6
2,3,23,44,0.0,pleasant_3-12-23,6
3,3,25,26,0.0,pleasant_3-13-14,6
4,3,24,54,-4451.65,pleasant_3-13-28,6
5,3,33,2,0.0,pleasant_3-17-2,6
6,3,47,52,-68.1374,pleasant_3-24-27,6
7,3,5,6,-2451.34,pleasant_3-3-4,6
8,3,8,2,-2828.93,pleasant_3-5-2,6
0,2,24,2,-5699.18,pleasant_2-13-2,7
1,2,17,2,-4456.68,pleasant_2-9-2,7
2,3,23,44,0.0,pleasant_3-12-23,7
3,3,25,26,0.0,pleasant_3-13-14,7
4,3,24,54,-4308.04,pleasant_3-13-28,7
5,3,33,2,0.0,pleasant_3-17-2,7
6,3,47,52,-527.516,pleasant_3-24-27,7
7,3,5,6,-2969.93,pleasant_3-3-4,7
8,3,8,2,-4579.13,pleasant_3-5-2,7
0,2,24,2,-1027.5,pleasant_2-13-2,8
1,2,17,2,-864.136,pleasant_2-9-2,8
2,3,23,44,0.0,pleasant_3-12-23,8
3,3,25,26,0.0,pleasant_3-13-14,8
4,3,24,54,-2584.83,pleasant_3-13-28,8
5,3,33,2,0.0,pleasant_3-17-2,8
6,3,47,52,-316.509,pleasant_3-24-27,8
7,3,5,6,-899.524,pleasant_3-3-4,8
8,3,8,2,-2204.58,pleasant_3-5-2,8
0,2,24,2,-99.1399,pleasant_2-13-2,9
1,2,17,2,-282.43,pleasant_2-9-2,9
2,3,23,44,0.0,pleasant_3-12-23,9
3,3,25,26,0.0,pleasant_3-13-14,9
4,3,24,54,-953.924,pleasant_3-13-28,9
5,3,33,2,0.0,pleasant_3-17-2,9
6,3,47,52,-163.53,pleasant_3-24-27,9
7,3,5,6,-622.265,pleasant_3-3-4,9
8,3,8,2,-311.331,pleasant_3-5-2,9
0,2,24,2,0.0,pleasant_2-13-2,10
1,2,17,2,0.0,pleasant_2-9-2,10
2,3,23,44,0.0,pleasant_3-12-23,10
3,3,25,26,0.0,pleasant_3-13-14,10
4,3,24,54,0.0,pleasant_3-13-28,10
5,3,33,2,0.0,pleasant_3-17-2,10
6,3,47,52,0.0,pleasant_3-24-27,10
7,3,5,6,0.0,pleasant_3-3-4,10
8,3,8,2,0.0,pleasant_3-5-2,10
