time,time,EAST,WEST,NORTH,SOUTH
1.0,1.0,-34777.17452193388,6212.364586878549,17421.97640453179,-9693.413528308189
32.0,32.0,-34508.24178512418,6363.316749890812,17572.83999682072,-9487.079654579393
61.0,61.0,-34204.57596475573,6300.560998786032,17485.62667000923,-9557.938536062386
92.0,92.0,-34234.77610206636,5908.645867918112,17351.3806603078,-9853.130777306424
122.0,122.0,-34721.88934348463,5359.082083764849,17203.87807287882,-10100.99077406601
153.0,153.0,-35609.75189775645,5478.587868054593,17177.62537596436,-10051.75251021138
183.0,183.0,-35249.03630137001,8009.599413158045,17620.78328720099,-9402.035592429038
214.0,214.0,-34495.96787072276,9007.179908379305,17046.9073061501,-9495.269852520158
245.0,245.0,-33940.84539188722,6967.96785374608,16874.23272575705,-9555.94539207008
275.0,275.0,-33586.71651831664,5490.915427678666,16728.86081202555,-9609.3425733586
306.0,306.0,-33386.28871315624,4795.528721893082,16653.18819200842,-9663.840534915078
336.0,336.0,-33274.92268374852,5088.609781484536,16615.04096693249,-9691.355642899469
367.0,367.0,-33166.65473376079,5182.12471673971,16594.91584281607,-9715.01811545766
