rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name
1,62,0,0,62,1,1,51.259396,1.0,0.007861970926841712,107.059,1,1.0,0.0,0.0,0.0,0.0,2,2,-0.55082583,1001,0
2,145,0,1,62,1,2,50.696762,1.0,0.0018146176496171666,106.656,1,1.0,0.0,0.0,0.0,0.0,3,2,-0.49984777,1001,0
3,228,0,2,62,1,3,50.113888,1.0,0.0001,106.564,1,1.0,0.0,0.0,0.0,0.0,4,2,-0.44944245,1001,0
4,311,0,3,62,1,4,52.0423,1.0,0.0044771599969712465,106.564,1,1.0,0.0,0.0,0.0,0.0,5,2,-0.39836434,1001,0
5,394,0,4,62,1,5,27.091263,1.0,0.0001,106.331,1,1.0,0.0,0.0,0.0,0.0,6,2,-0.35879758,1001,0
6,395,0,4,63,1,6,31.655796,1.0,0.0001,106.331,1,1.0,0.0,0.0,0.0,0.0,7,2,-0.32942402,1001,0
7,478,0,5,63,1,7,50.340794,1.0,0.0001,106.331,1,1.0,0.0,0.0,0.0,0.0,8,2,-0.28842574,1001,0
8,561,0,6,63,1,8,50.210945,1.0,0.0001,106.331,1,1.0,0.0,0.0,0.0,0.0,9,2,-0.23814987,1001,0
9,644,0,7,63,1,9,50.547234,1.0,0.0001,106.331,1,1.0,0.0,0.0,0.0,0.0,10,2,-0.18777078,1001,0
10,727,0,8,63,1,10,7.924251,1.0,0.025491806982867564,106.331,1,1.0,0.0,0.0,0.0,0.0,11,2,-0.15853505,1001,0
11,727,0,8,63,2,1,47.346462,1.0,0.0001,106.129,1,1.0,0.0,0.0,0.0,0.0,12,3,-0.48716214,1002,0
12,810,0,9,63,2,2,26.540583,1.0,0.002863403562322973,106.129,1,1.0,0.0,0.0,0.0,0.0,13,3,-0.45021862,1002,0
13,811,0,9,64,2,3,29.704847,1.0,0.0001,106.053,1,1.0,0.0,0.0,0.0,0.0,14,3,-0.4220959,1002,0
14,894,0,10,64,2,4,59.295174,1.0,0.0001,106.053,1,1.0,0.0,0.0,0.0,0.0,15,3,-0.37759587,1002,0
15,977,0,11,64,2,5,7.35052,1.0,0.09278244180176422,106.053,1,1.0,0.0,0.0,0.0,0.0,16,3,-0.34427303,1002,0
16,978,0,11,65,2,6,53.057568,1.0,0.007180961185293574,105.371,1,1.0,0.0,0.0,0.0,0.0,17,3,-0.31406897,1002,0
17,979,0,11,66,2,7,54.168896,1.0,0.0001,104.99,1,1.0,0.0,0.0,0.0,0.0,18,3,-0.26045576,1002,0
18,980,0,11,67,2,8,11.69748,1.0,0.0001,104.99,1,1.0,0.0,0.0,0.0,0.0,19,3,-0.22752257,1002,0
19,1063,0,12,67,2,9,50.918186,1.0,0.0001,104.99,1,1.0,0.0,0.0,0.0,0.0,20,3,-0.19621474,1002,0
20,1146,0,13,67,2,10,38.633995,1.0,0.0001,104.99,1,1.0,0.0,0.0,0.0,0.0,21,3,-0.15143864,1002,0
21,1145,0,13,66,2,11,14.001202,1.0,0.0001,104.99,1,1.0,0.0,0.0,0.0,0.0,22,3,-0.12512104,1002,0
22,1228,0,14,66,2,12,58.95767,1.0,0.0001,104.99,1,1.0,0.0,0.0,0.0,0.0,23,3,-0.088641606,1002,0
23,1311,0,15,66,2,13,53.183456,1.0,0.0001,104.99,1,1.0,0.0,0.0,0.0,0.0,24,3,-0.032571044,1002,0
24,1394,0,16,66,2,14,5.9793153,1.0,0.03411674103014841,104.99,1,1.0,0.0,0.0,0.0,0.0,25,3,-0.0029896577,1002,0
25,1394,0,16,66,3,1,41.623817,1.0,0.0001,104.786,1,1.0,0.0,0.0,0.0,0.0,26,4,-0.46762455,1003,0
